[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  96   0   0   1|  21k   83k|   0     0 |   0     0 | 239   966 
  1   1  98   0   0   1|   0     0 |  58k 1569k|   0     0 | 296  1174 
  0   1  98   0   0   1|   0     0 |  50k 1487k|   0     0 | 403  1101 
  1   1  97   0   0   1|   0     0 |  52k 1561k|   0     0 | 470  1131 
  1   1  98   0   0   0|   0     0 |  54k 1631k|   0     0 | 230  1132 
  1   1  97   0   0   1|   0     0 |  56k 1518k|   0     0 | 147  1137 
  1   1  98   0   0   1|   0     0 |  52k 1565k|   0     0 | 153  1093 
  0   1  99   0   0   1|   0     0 |  54k 1618k|   0     0 | 120  1124 
  1   0  99   0   0   1|   0     0 |  58k 1576k|   0     0 | 103  1167 
  1   1  97   0   0   1|   0     0 |  54k 1616k|   0     0 | 117  1135 
  0   1  96   2   0   1|   0    48k|  52k 1553k|   0     0 | 126  1165 
  2   1  97   0   0   1|   0     0 |  55k 1498k|   0     0 | 106  1076 
  1   0  98   0   0   1|   0     0 |  52k 1565k|   0     0 | 128  1119 
  1   1  98   0   0   1|   0     0 |  53k 1594k|   0     0 | 116  1132 
  1   1  98   0   0   1|   0     0 |  58k 1572k|   0     0 | 118  1127 
  1   2  97   0   0   1|   0     0 |  53k 1590k|   0     0 | 119  1146 
  1   0  99   0   0   1|   0     0 |  54k 1614k|   0     0 | 122  1153 
  1   2  96   0   0   1|   0     0 |  59k 1593k|   0     0 | 110  1141 
  1   1  98   0   0   1|   0     0 |  53k 1586k|   0     0 |  53  1120 
  1   1  98   0   0   1|   0     0 |  52k 1565k|   0     0 |  36  1117 
  1   1  97   0   0   1|   0     0 |  58k 1576k|   0     0 |  55  1200 
  1   1  98   0   0   1|   0     0 |  54k 1602k|   0     0 |  39  1137 
  0   1  98   0   0   1|   0     0 |  54k 1627k|   0     0 |  66  1143 
  1   0  99   0   0   0|   0     0 |  61k 1683k|   0     0 | 150  1196 
  1   2  97   0   0   0|   0     0 |  54k 1602k|   0     0 | 110  1150 
  1   1  98   0   0   1|   0     0 |  49k 1459k|   0     0 | 168  1061 
  1   1  99   0   0   0|   0     0 |  58k 1572k|   0     0 | 106  1129 
  1   1  99   0   0   0|   0     0 |  54k 1602k|   0     0 |  38  1133 
  0   1  98   0   0   1|   0     0 |  54k 1606k|   0     0 |  67  1139 
  2   1  97   0   0   1|   0     0 |  57k 1552k|   0     0 |  71  1112 
  0   1  99   0   0   0|   0     0 |  52k 1565k|   0     0 |  44  1145 
  1   1  98   0   0   1|   0     0 |  54k 1606k|   0     0 |  37  1138 
  1   1  98   0   0   1|   0     0 |  55k 1502k|   0     0 |  42  1113 
  1   1  97   0   0   1|   0  8192B|  54k 1606k|   0     0 |  39  1161 
  1   1  98   0   0   1|   0     0 |  54k 1631k|   0     0 |  42  1162 
  1   1  98   0   0   0|   0     0 |  56k 1519k|   0     0 |  51  1131 
  1   0  98   0   0   1|   0     0 |  52k 1549k|   0     0 |  36  1116 
  1   1  98   0   0   1|   0     0 |  53k 1573k|   0     0 |  39  1127 
  1   0  99   0   0   0|   0    36k|  57k 1543k|   0     0 |  37  1114 
  1   0  99   0   0   1|   0     0 |  54k 1610k|   0     0 |  27  1140 
  0   1  97   1   0   1|   0    16k|  51k 1532k|   0     0 |  50  1160 
  1   1  97   1   0   1|   0  4096B|  58k 1572k|   0     0 |  37  1157 
  0   1  99   0   0   0|   0     0 |  52k 1557k|   0     0 |  37  1107 
  1   1  98   0   0   0|   0     0 |  53k 1590k|   0     0 |  63  1118 
  1   1  98   0   0   1|   0    16k|  57k 1543k|   0     0 | 136  1103 
  1   1  99   0   0   0|   0     0 |  52k 1561k|   0     0 | 111  1133 
  1   0  98   0   0   2|   0     0 |  53k 1586k|   0     0 | 160  1136 
  1   1  97   0   0   1|   0     0 |  56k 1527k|   0     0 | 249  1108 
  1   1  97   0   0   1|   0     0 |  52k 1561k|   0     0 | 411  1146 
  1   1  98   0   0   0|   0     0 |  54k 1627k|   0     0 | 183  1162 
  2   1  97   0   0   1|   0     0 |  57k 1552k|   0     0 |  73  1154 
  1   1  98   0   0   1|   0     0 |  54k 1602k|   0     0 | 138  1135 
  1   1  98   0   0   1|   0     0 |  53k 1582k|   0     0 |  51  1119 
  1   1  98   0   0   0|   0     0 |  58k 1576k|   0     0 |  51  1132 
  0   1  98   0   0   1|   0     0 |  53k 1582k|   0     0 |  34  1140 
  1   1  97   0   0   1|   0     0 |  53k 1594k|   0     0 |  52  1165 
  1   0  98   0   0   1|   0     0 |  59k 1601k|   0     0 |  42  1153 
  1   1  98   0   0   0|   0     0 |  52k 1558k|   0     0 |  33  1131 
  1   1  98   0   0   1|   0     0 |  55k 1571k|   0     0 |  57  1197 
  1   1  98   0   0   1|   0     0 |  61k 1654k|   0     0 |  70  1163 
  1   1  98   0   0   1|   0     0 |  53k 1582k|   0     0 |  53  1147 
  1   1  98   0   0   1|   0     0 |  52k 1553k|   0     0 |  39  1104 
  1   0  99   0   0   1|   0     0 |  62k 1696k|   0     0 |  51  1211 
  1   1  98   0   0   1|   0     0 |  55k 1631k|   0     0 |  40  1147 
  1   0  98   0   0   1|   0     0 |  55k 1635k|   0     0 |  53  1145 
  1   2  96   0   0   1|   0     0 |  59k 1613k|   0     0 | 104  1186 
  1   0  98   0   0   1|   0     0 |  51k 1508k|   0     0 |  86  1112 
  1   1  98   0   0   1|   0     0 |  54k 1606k|   0     0 | 112  1145 
  1   1  98   0   0   0|   0     0 |  59k 1601k|   0     0 | 103  1144 
  1   1  98   0   0   1|   0     0 |  52k 1561k|   0     0 |  45  1096 
  1   1  97   0   0   1|   0     0 |  45k 1328k|   0     0 |  50  1040 
