[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  5  10  82   1   0   3|  19k   61k|   0     0 |   0     0 |  18   991 
 16  41  20   0   0  23|   0     0 |  33M 1081k|   0     0 |  18   925 
 18  53  12   0   0  18|   0     0 |  35M 1144k|   0     0 |  19   520 
 17  50  11   0   0  22|   0     0 |  35M 1152k|   0     0 |  18   563 
 16  57  10   0   0  16|   0     0 |  35M 1135k|   0     0 |  18   472 
 13  51  13   0   0  23|   0     0 |  36M 1157k|   0     0 |  18   510 
 12  53  13   0   0  22|   0     0 |  35M 1150k|   0     0 |  18   553 
 17  49  11   0   0  23|   0     0 |  36M 1164k|   0     0 |  19   418 
 14  50  14   0   0  23|   0     0 |  36M 1171k|   0     0 |  18   434 
 19  52  15   0   0  14|   0     0 |  34M 1108k|   0     0 |  18   528 
 10  55  12   0   0  23|   0     0 |  35M 1145k|   0     0 |  18   512 
 17  50  12   0   0  22|   0     0 |  36M 1170k|   0     0 |  19   446 
 17  50  11   0   0  22|   0     0 |  35M 1144k|   0     0 |  18   482 
 21  42  13   0   0  24|   0     0 |  36M 1175k|   0     0 |  18   477 
 13  49  13   0   0  26|   0     0 |  34M 1123k|   0     0 |  18   517 
 16  56  12   0   0  16|   0     0 |  35M 1151k|   0     0 |  18   535 
 13  47  14   0   0  26|   0     0 |  35M 1143k|   0     0 |  19   527 
 18  51  12   0   0  19|   0     0 |  36M 1176k|   0     0 |  18   491 
 16  51  11   0   0  22|   0     0 |  35M 1156k|   0     0 |  18   492 
  9  54   8   0   0  28|   0     0 |  35M 1143k|   0     0 |  18   492 
 17  49  12   0   0  22|   0     0 |  36M 1182k|   0     0 |  19   484 
 19  52  12   0   0  17|   0     0 |  35M 1154k|   0     0 |  18   475 
 16  52  10   0   0  22|   0     0 |  36M 1181k|   0     0 |  18   483 
 14  57  14   0   0  16|   0     0 |  36M 1170k|   0     0 |  18   487 
 19  47  10   0   0  23|   0     0 |  34M 1104k|   0     0 |  18   502 
 16  51   5   6   0  22|   0    72k|  36M 1178k|   0     0 |  18   495 
 18  52  12   0   0  18|   0     0 |  36M 1178k|   0     0 |  19   418 
 19  49  10   0   0  22|   0     0 |  35M 1143k|   0     0 |  18   424 
 18  47  10   0   0  25|   0     0 |  36M 1189k|   0     0 |  18   457 
 18  55  10   0   0  18|   0     0 |  35M 1131k|   0     0 |  18   440 
 15  53  12   0   0  19|   0     0 |  35M 1147k|   0     0 |  18   523 
 18  45  14   0   0  23|   0     0 |  36M 1183k|   0     0 |  19   425 
 14  57   9   0   0  20|   0     0 |  36M 1193k|   0     0 |  18   413 
 12  52  15   0   0  21|   0  4096B|  35M 1154k|   0     0 |  18   503 
 17  49   9   0   0  25|   0     0 |  35M 1151k|   0     0 |  19   504 
 16  52  11   0   0  21|   0     0 |  36M 1175k|   0     0 |  18   439 
 14  53  11   0   0  22|   0     0 |  36M 1161k|   0     0 |  18   518 
 17  46   9   0   0  28|   0     0 |  35M 1158k|   0     0 |  18   507 
