[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   3  90   0   0   1|  21k  237k|   0     0 |   0     0 |1247  3424 
 30   8  60   0   0   2|   0     0 |  11M   11M|   0     0 |4374    12k
 19   7  72   0   0   2|   0     0 |  12M   12M|   0     0 |4832    12k
 12   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |4691    12k
 11   8  79   0   0   1|   0     0 |  12M   13M|   0     0 |5140    13k
 12   6  82   0   0   1|   0     0 |  12M   12M|   0     0 |5013    12k
 12   6  80   0   0   1|   0     0 |  12M   12M|   0     0 |5161    13k
 13   7  79   0   0   1|   0     0 |  13M   13M|   0     0 |5401    13k
 16   8  75   0   0   1|   0     0 |  12M   12M|   0     0 |4939    12k
 12   7  81   0   0   1|   0     0 |  13M   13M|   0     0 |5290    13k
 12   6  81   0   0   2|   0     0 |  12M   13M|   0     0 |5306    13k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5112    13k
 14   6  80   0   0   1|   0     0 |  12M   12M|   0     0 |5091    12k
 20   8  71   0   0   1|   0     0 |  12M   12M|   0     0 |5084    12k
 12   6  80   0   0   1|   0     0 |  12M   12M|   0     0 |5278    13k
 12   6  80   0   0   1|   0     0 |  12M   12M|   0     0 |5210    13k
 15   6  77   0   0   1|   0     0 |  12M   12M|   0     0 |5191    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5234    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5029    12k
 11   7  81   0   0   1|   0     0 |  13M   13M|   0     0 |5391    13k
 12   7  79   0   0   2|   0    80k|  12M   12M|   0     0 |5310    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5143    12k
 13   7  79   0   0   1|   0    32k|  12M   12M|   0     0 |5246    13k
 12   7  80   0   0   1|   0     0 |  13M   13M|   0     0 |5432    13k
 13   6  80   0   0   1|   0     0 |  12M   12M|   0     0 |5345    13k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5252    13k
 11   6  82   0   0   1|   0     0 |  12M   12M|   0     0 |5099    12k
 13   7  79   0   0   1|   0     0 |  12M   12M|   0     0 |5333    12k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5147    12k
 10   8  82   0   0   1|   0     0 |  12M   12M|   0     0 |5212    12k
 13   7  79   0   0   1|   0     0 |  12M   12M|   0     0 |5368    13k
 11   6  82   0   0   1|   0     0 |  12M   12M|   0     0 |5020    12k
 12   6  81   0   0   1|   0  8192B|  12M   12M|   0     0 |4996    13k
 16   7  76   0   0   1|   0     0 |  13M   13M|   0     0 |5483    13k
 12   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5124    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5285    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5090    12k
 14   8  76   0   0   1|   0     0 |  12M   12M|   0     0 |5363    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5263    13k
 13   7  80   0   0   0|   0     0 |  12M   12M|   0     0 |4981    12k
 15   6  78   0   0   1|   0     0 |  13M   13M|   0     0 |5447    13k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5344    13k
 13   5  81   0   0   1|   0     0 |  12M   12M|   0     0 |5337    13k
 11   7  80   0   0   1|   0     0 |  13M   13M|   0     0 |5457    13k
 12   7  81   0   0   1|   0     0 |  13M   13M|   0     0 |5421    13k
 12   6  82   0   0   1|   0     0 |  12M   12M|   0     0 |5221    13k
 11   7  80   0   0   2|   0     0 |  12M   12M|   0     0 |5330    13k
 11   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5259    13k
 12   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |4877    12k
 11   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5283    13k
 12   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5424    13k
 12   6  80   0   0   1|   0    20k|  12M   12M|   0     0 |5013    12k
 12   8  79   0   0   1|   0    92k|  12M   12M|   0     0 |5246    13k
 12   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5090    12k
 11   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5407    13k
 12   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5350    13k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5076    12k
 11   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5250    13k
 12   8  80   0   0   1|   0     0 |  12M   12M|   0     0 |5205    13k
 12   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5123    13k
 12   7  81   0   0   1|   0     0 |  12M   12M|   0     0 |5228    12k
 12   7  80   0   0   1|   0     0 |  11M   11M|   0     0 |5044    12k
 12   8  79   0   0   1|   0     0 |  12M   12M|   0     0 |5342    13k
 13   6  81   0   0   1|   0    16k|  12M   12M|   0     0 |5072    12k
 12   7  81   0   0   0|   0     0 |  12M   12M|   0     0 |5539    13k
 11   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5177    12k
 13   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |5175    13k
 11   8  80   0   0   1|   0     0 |  12M   12M|   0     0 |5294    13k
 11   7  80   0   0   1|   0     0 |  12M   12M|   0     0 |5181    13k
 11   6  81   0   0   1|   0     0 |  12M   12M|   0     0 |4995    12k
 10   8  81   0   0   1|   0     0 |  11M   11M|   0     0 |4843    12k
