[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  5   2  92   0   0   0|  21k  231k|   0     0 |   0     0 |1340  3632 
 27   9  62   0   0   1|   0     0 |  14M   14M|   0     0 |5598    16k
 17   7  75   0   0   1|   0     0 |  16M   16M|   0     0 |6299    17k
 15   8  76   0   0   1|   0     0 |  16M   16M|   0     0 |6786    17k
 16   6  76   1   0   1|   0    52k|  16M   16M|   0     0 |6611    17k
 15   7  77   0   0   1|   0     0 |  17M   17M|   0     0 |6940    18k
 15   6  77   0   0   2|   0     0 |  15M   15M|   0     0 |6615    17k
 13   7  79   0   0   1|   0     0 |  17M   17M|   0     0 |6716    17k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |6874    18k
 12   6  81   0   0   1|   0     0 |  16M   16M|   0     0 |6620    17k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |6803    18k
 16   7  75   0   0   1|   0     0 |  17M   17M|   0     0 |6596    17k
 16   6  77   0   0   1|   0     0 |  17M   17M|   0     0 |6823    18k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |6968    18k
 13   7  79   0   0   1|   0     0 |  17M   17M|   0     0 |6931    18k
 14   5  80   0   0   1|   0     0 |  17M   17M|   0     0 |6902    18k
 12   7  80   0   0   1|   0  4096B|  17M   17M|   0     0 |7129    18k
 13   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |7053    17k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |7516    18k
 12   6  81   0   0   1|   0     0 |  16M   16M|   0     0 |6656    16k
 11   6  82   0   0   1|   0     0 |  17M   17M|   0     0 |7333    18k
 12   6  81   0   0   1|   0    12k|  17M   17M|   0     0 |7026    18k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |6976    17k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7332    18k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7170    18k
 11   6  82   0   0   1|   0     0 |  16M   16M|   0     0 |6714    17k
 12   7  80   0   0   1|   0    32k|  17M   17M|   0     0 |7501    19k
 14   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7016    18k
 12   7  80   0   0   1|   0     0 |  16M   16M|   0     0 |6610    17k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7035    18k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |7051    18k
 13   7  80   0   0   0|   0  8192B|  17M   17M|   0     0 |6935    18k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |6532    17k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |7235    18k
 12   5  82   0   0   1|   0     0 |  16M   16M|   0     0 |6829    17k
 13   6  79   0   0   1|   0    40k|  17M   17M|   0     0 |6968    18k
 12   6  81   0   0   1|   0    40k|  17M   17M|   0     0 |7290    18k
 11   7  82   0   0   1|   0     0 |  17M   17M|   0     0 |6781    17k
 12   7  81   0   0   1|   0     0 |  16M   16M|   0     0 |6566    16k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |6983    18k
 12   6  81   0   0   1|   0     0 |  16M   16M|   0     0 |7112    18k
 12   6  82   0   0   1|   0     0 |  17M   17M|   0     0 |7199    18k
 11   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |7059    18k
 14   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |6750    17k
 11   7  81   0   0   1|   0     0 |  17M   17M|   0     0 |6657    17k
 11   6  82   0   0   1|   0     0 |  16M   16M|   0     0 |6906    17k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |6939    18k
 12   6  82   0   0   1|   0     0 |  17M   17M|   0     0 |7084    18k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7367    18k
 13   5  80   0   0   1|   0     0 |  17M   17M|   0     0 |6985    18k
 13   7  79   0   0   1|   0     0 |  16M   16M|   0     0 |6743    17k
 12   6  82   0   0   1|   0     0 |  17M   17M|   0     0 |7219    18k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |7256    18k
 12   5  82   0   0   1|   0     0 |  17M   17M|   0     0 |6912    18k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |6788    18k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |6966    18k
 13   6  81   0   0   0|   0     0 |  17M   17M|   0     0 |7126    18k
 13   6  81   0   0   0|   0    20k|  17M   17M|   0     0 |7053    18k
 12   6  81   0   0   1|   0     0 |  18M   18M|   0     0 |7359    19k
 12   7  80   0   0   1|   0     0 |  16M   16M|   0     0 |6800    17k
 12   7  81   0   0   1|   0     0 |  16M   16M|   0     0 |7044    17k
 11   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |7085    18k
 12   6  82   0   0   1|   0    16k|  17M   17M|   0     0 |7125    18k
 11   6  82   0   0   1|   0     0 |  17M   17M|   0     0 |7096    18k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |7155    18k
 12   6  80   1   0   1|   0    20k|  16M   16M|   0     0 |6958    17k
 11   6  82   0   0   0|   0     0 |  16M   16M|   0     0 |6672    17k
 12   6  81   0   0   1|   0     0 |  17M   17M|   0     0 |7572    19k
 12   7  80   0   0   1|   0     0 |  17M   17M|   0     0 |6887    18k
 13   6  80   0   0   1|   0     0 |  17M   17M|   0     0 |7277    18k
 11   6  82   0   0   1|   0     0 |  15M   15M|   0     0 |6094    15k
