[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  96   0   0   1|  19k   77k|   0     0 |   0     0 | 239   981 
  4   6  84   0   0   6|   0     0 | 358k   11M|   0     0 | 725  3085 
  4   5  88   0   0   4|   0     0 | 383k   11M|   0     0 | 622  2747 
  4   4  89   0   0   4|   0     0 | 398k   12M|   0     0 | 772  3175 
  3   6  89   0   0   3|   0     0 | 379k   11M|   0     0 | 610  2797 
  2   3  92   0   0   4|   0     0 | 373k   11M|   0     0 | 648  2685 
  3   4  88   0   0   5|   0     0 | 395k   12M|   0     0 | 754  3146 
  3   4  89   0   0   4|   0     0 | 388k   12M|   0     0 | 651  2978 
  3   4  87   0   0   6|   0     0 | 382k   11M|   0     0 | 660  2775 
  2   4  89   0   0   5|   0     0 | 394k   12M|   0     0 | 670  2986 
  4   5  86   0   0   6|   0     0 | 398k   12M|   0     0 | 765  3092 
  2   2  89   0   0   6|   0     0 | 390k   12M|   0     0 | 740  3198 
  2   5  89   0   0   4|   0     0 | 397k   12M|   0     0 | 729  3085 
  2   7  85   0   0   6|   0     0 | 389k   12M|   0     0 | 668  3006 
  2   5  88   0   0   5|   0     0 | 381k   11M|   0     0 | 696  2976 
  4   7  85   0   0   4|   0     0 | 399k   12M|   0     0 | 697  3087 
  3   4  87   1   0   6|   0    56k| 398k   12M|   0     0 | 717  2932 
  2   5  86   0   0   7|   0     0 | 381k   11M|   0     0 | 678  2818 
  4   7  85   0   0   5|   0     0 | 383k   11M|   0     0 | 685  2855 
  2   6  88   0   0   5|   0     0 | 389k   12M|   0     0 | 659  2928 
  2   6  88   0   0   4|   0     0 | 376k   11M|   0     0 | 658  2695 
  4   7  84   0   0   5|   0     0 | 391k   11M|   0     0 | 681  2887 
  4   5  87   0   0   5|   0     0 | 398k   12M|   0     0 | 764  3091 
  2   3  90   0   0   4|   0     0 | 395k   12M|   0     0 | 663  2927 
  3   5  88   0   0   5|   0     0 | 386k   11M|   0     0 | 610  2599 
  2   5  89   0   0   4|   0   520k| 377k   11M|   0     0 | 697  2666 
  2   3  92   0   0   3|   0     0 | 319k 9624k|   0     0 | 660  2475 
  3   3  91   0   0   3|   0     0 | 310k 8953k|   0     0 | 624  2554 
  2   4  91   0   0   3|   0     0 | 356k   11M|   0     0 | 726  2711 
  2   4  92   0   0   3|   0     0 | 277k 8248k|   0     0 | 625  2498 
  3   4  90   0   0   4|   0     0 | 304k 8458k|   0     0 | 569  2623 
  1   5  87   0   0   7|   0     0 | 388k   12M|   0     0 | 613  2846 
  1   5  89   0   0   5|   0     0 | 384k   11M|   0     0 | 693  2839 
  3   6  86   0   0   5|   0     0 | 365k   11M|   0     0 | 603  2625 
  3   4  88   0   0   5|   0     0 | 389k   12M|   0     0 | 615  2830 
  2   6  88   0   0   4|   0  8192B| 385k   11M|   0     0 | 596  2693 
  4   3  89   0   0   5|   0     0 | 400k   12M|   0     0 | 673  2807 
  1   4  89   0   0   6|   0     0 | 389k   12M|   0     0 | 680  3015 
  2   5  90   0   0   3|   0     0 | 384k   11M|   0     0 | 651  2917 
  4   6  88   0   0   2|   0     0 | 382k   11M|   0     0 | 678  2818 
  2   4  89   0   0   5|   0     0 | 395k   12M|   0     0 | 752  2998 
  2   6  89   0   0   4|   0     0 | 398k   12M|   0     0 | 689  3005 
  2   7  88   0   0   3|   0     0 | 382k   11M|   0     0 | 637  2798 
  6   4  86   0   0   4|   0     0 | 396k   12M|   0     0 | 649  2731 
  3   5  88   0   0   4|   0     0 | 392k   12M|   0     0 | 731  2905 
  3   4  88   0   0   5|   0     0 | 381k   11M|   0     0 | 723  2838 
  3   3  89   1   0   4|   0    40k| 392k   12M|   0     0 | 674  2839 
  3   6  88   0   0   3|   0     0 | 393k   12M|   0     0 | 785  2927 
  3   4  88   0   0   5|   0     0 | 381k   11M|   0     0 | 705  2829 
  3   6  87   0   0   5|   0     0 | 396k   12M|   0     0 | 757  2941 
  2   4  90   0   0   5|   0    48k| 387k   11M|   0     0 | 670  2725 
  3   7  88   0   0   3|   0     0 | 392k   12M|   0     0 | 764  2957 
  4   7  85   0   0   5|   0     0 | 400k   12M|   0     0 | 697  2833 
  3   4  88   0   0   5|   0     0 | 392k   12M|   0     0 | 724  2853 
  4   5  89   0   0   2|   0     0 | 388k   11M|   0     0 | 719  2684 
  3   4  87   0   0   5|   0     0 | 383k   11M|   0     0 | 674  2624 
  4   5  88   0   0   4|   0     0 | 398k   12M|   0     0 | 754  3030 
  1   5  89   0   0   5|   0     0 | 382k   11M|   0     0 | 681  2793 
  4   6  86   0   0   4|   0     0 | 388k   11M|   0     0 | 686  2677 
  2   4  88   0   0   6|   0     0 | 387k   12M|   0     0 | 745  2925 
  2   6  88   0   0   4|   0     0 | 375k   11M|   0     0 | 612  2660 
  5   4  87   0   0   5|   0     0 | 384k   11M|   0     0 | 629  2784 
  3   7  85   0   0   6|   0     0 | 393k   12M|   0     0 | 722  2805 
  4   4  88   0   0   5|   0     0 | 385k   11M|   0     0 | 721  2860 
  3   7  87   0   0   3|   0     0 | 402k   12M|   0     0 | 723  2806 
  3   4  89   0   0   4|   0     0 | 381k   11M|   0     0 | 621  2771 
