[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  4   9  82   1   0   3|  20k   64k|   0     0 |   0     0 |  18  1003 
 13  25  46   0   0  16|   0     0 |  23M  763k|   0     0 |  18  2298 
 13  30  39   0   0  19|   0     0 |  23M  754k|   0     0 |  18  2134 
 13  34  40   0   0  13|   0     0 |  23M  767k|   0     0 |  18  1918 
 11  37  40   0   0  12|   0     0 |  24M  773k|   0     0 |  19  2250 
 15  34  34   0   0  16|   0     0 |  24M  781k|   0     0 |  18  1995 
 12  26  43   0   0  18|   0     0 |  24M  785k|   0     0 |  18  1962 
 10  35  38   0   0  18|   0     0 |  24M  798k|   0     0 |  18  1878 
  9  35  41   0   0  15|   0     0 |  23M  756k|   0     0 |  18  1968 
  9  28  46   0   0  16|   0     0 |  24M  778k|   0     0 |  19  2019 
 10  35  39   0   0  16|   0     0 |  24M  786k|   0     0 |  18  1962 
 10  31  40   0   0  18|   0     0 |  23M  753k|   0     0 |  18  1974 
  9  32  41   0   0  18|   0     0 |  24M  774k|   0     0 |  18  1860 
 15  31  38   0   0  16|   0     0 |  25M  800k|   0     0 |  19  1899 
 13  38  37   0   0  12|   0     0 |  24M  776k|   0     0 |  18  1839 
 15  28  38   1   0  17|   0    76k|  23M  760k|   0     0 |  18  1998 
 11  29  45   0   0  15|   0     0 |  24M  779k|   0     0 |  18  1977 
 12  31  40   0   0  18|   0     0 |  24M  779k|   0     0 |  19  2039 
 11  35  38   0   0  16|   0     0 |  24M  780k|   0     0 |  19  1926 
 10  35  42   0   0  13|   0    64k|  25M  813k|   0     0 |  18  1928 
 15  34  35   0   0  15|   0     0 |  23M  769k|   0     0 |  18  1898 
 13  31  43   0   0  12|   0     0 |  24M  780k|   0     0 |  18  1945 
 17  28  45   0   0  11|   0     0 |  24M  780k|   0     0 |  18  2070 
 14  36  39   0   0  11|   0     0 |  24M  787k|   0     0 |  19  2026 
 13  31  41   0   0  15|   0     0 |  24M  776k|   0     0 |  18  2032 
 13  39  32   0   0  16|   0     0 |  24M  778k|   0     0 |  18  1880 
 15  35  36   0   0  15|   0     0 |  23M  750k|   0     0 |  18  1853 
 15  31  41   0   0  13|   0     0 |  23M  763k|   0     0 |  18  1837 
 15  33  37   0   0  15|   0     0 |  23M  756k|   0     0 |  19  1901 
 18  22  45   0   0  15|   0     0 |  24M  780k|   0     0 |  18  2015 
 13  31  38   0   0  18|   0     0 |  24M  779k|   0     0 |  18  1952 
 12  35  41   0   0  12|   0     0 |  23M  761k|   0     0 |  18  1870 
 16  31  36   0   0  17|   0     0 |  23M  765k|   0     0 |  19  1993 
 13  36  38   0   0  13|   0     0 |  24M  777k|   0     0 |  18  1988 
 13  36  39   0   0  13|   0     0 |  24M  776k|   0     0 |  18  1832 
 18  30  39   0   0  13|   0     0 |  24M  778k|   0     0 |  18  1979 
 12  32  44   0   0  12|   0     0 |  24M  771k|   0     0 |  18  2000 
 10  31  46   0   0  13|   0     0 |  24M  799k|   0     0 |  19  1931 
 16  32  38   0   0  14|   0     0 |  24M  770k|   0     0 |  18  1912 
 13  33  40   0   0  15|   0     0 |  24M  786k|   0     0 |  18  1819 
 13  30  41   0   0  16|   0     0 |  24M  780k|   0     0 |  18  1915 
  9  36  37   0   0  18|   0     0 |  23M  761k|   0     0 |  18  1943 
 13  32  41   0   0  15|   0     0 |  23M  765k|   0     0 |  18  2024 
 14  31  43   0   0  12|   0     0 |  24M  785k|   0     0 |  19  2189 
 15  32  44   0   0   9|   0     0 |  24M  792k|   0     0 |  18  1947 
 11  35  36   0   0  18|   0    24k|  24M  784k|   0     0 |  18  1961 
 12  39  33   0   0  16|   0     0 |  24M  765k|   0     0 |  18  1909 
 10  31  44   0   0  14|   0     0 |  24M  778k|   0     0 |  19  2051 
 15  33  38   0   0  15|   0     0 |  23M  765k|   0     0 |  18  2196 
 15  29  40   0   0  16|   0     0 |  24M  780k|   0     0 |  18  1962 
  8  36  39   0   0  16|   0  4096B|  24M  777k|   0     0 |  18  1870 
 18  32  36   0   0  14|   0     0 |  22M  728k|   0     0 |  18  1841 
 10  35  37   0   0  18|   0     0 |  24M  773k|   0     0 |  19  1880 
 10  35  40   0   0  15|   0     0 |  23M  766k|   0     0 |  18  1884 
 16  32  37   0   0  15|   0     0 |  23M  752k|   0     0 |  18  1939 
 10  35  42   0   0  13|   0     0 |  23M  767k|   0     0 |  18  1967 
 12  34  37   0   0  17|   0     0 |  23M  755k|   0     0 |  18  1823 
 17  38  30   0   0  15|   0     0 |  23M  766k|   0     0 |  19  1907 
 12  36  41   0   0  12|   0     0 |  24M  787k|   0     0 |  18  1875 
 12  36  38   0   0  14|   0     0 |  24M  776k|   0     0 |  18  1755 
 17  28  36   0   0  20|   0     0 |  23M  762k|   0     0 |  18  1867 
 14  35  32   0   0  19|   0     0 |  23M  751k|   0     0 |  18  1921 
 12  34  37   0   0  17|   0     0 |  23M  764k|   0     0 |  19  2030 
 14  36  37   0   0  14|   0     0 |  23M  744k|   0     0 |  18  1696 
 15  35  36   0   0  15|   0     0 |  24M  782k|   0     0 |  18  1955 
 13  34  35   0   0  18|   0     0 |  24M  769k|   0     0 |  18  1975 
