[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  95   1   0   1|  47k  197k|   0     0 |   0     0 | 328  1310 
  3   5  88   0   0   5|   0     0 |4529k  159k|   0     0 | 594  2580 
  2   4  91   0   0   4|   0     0 |4292k  152k|   0     0 | 594  2283 
  3   2  90   0   0   4|   0    40k|4405k  150k|   0     0 | 537  2165 
  1   3  90   0   0   5|   0     0 |4350k  147k|   0     0 | 514  2313 
  2   3  93   0   0   3|   0     0 |4208k  145k|   0     0 | 496  2166 
  1   4  91   0   0   3|   0     0 |4382k  148k|   0     0 | 454  2097 
  2   2  92   0   0   4|   0     0 |4264k  144k|   0     0 | 477  2109 
  1   3  91   0   0   5|   0     0 |4453k  154k|   0     0 | 475  2142 
  1   3  92   0   0   3|   0     0 |4376k  148k|   0     0 | 472  2049 
  2   4  91   0   0   3|   0     0 |4228k  143k|   0     0 | 496  2153 
  2   2  90   0   0   6|   0     0 |4355k  150k|   0     0 | 508  2222 
  0   3  91   0   0   5|   0     0 |4259k  144k|   0     0 | 468  2104 
  2   2  92   0   0   5|   0     0 |4304k  145k|   0     0 | 468  2034 
  2   2  91   0   0   5|   0     0 |4410k  152k|   0     0 | 532  2280 
  1   2  93   0   0   4|   0     0 |4368k  148k|   0     0 | 494  2106 
  2   2  93   0   0   3|   0     0 |4327k  146k|   0     0 | 484  2211 
  1   3  92   0   0   4|   0     0 |4309k  148k|   0     0 | 475  2178 
  1   3  93   0   0   3|   0     0 |4268k  144k|   0     0 | 510  2194 
  2   1  93   0   0   4|   0     0 |4363k  148k|   0     0 | 465  2099 
  2   3  90   0   0   4|   0     0 |4283k  148k|   0     0 | 486  2130 
  2   2  93   0   0   4|   0     0 |4258k  145k|   0     0 | 456  2128 
  2   2  93   0   0   3|   0     0 |4346k  147k|   0     0 | 508  2189 
  2   3  91   0   0   4|   0     0 |4238k  146k|   0     0 | 478  2153 
  2   3  92   0   0   4|   0     0 |4289k  145k|   0     0 | 487  2194 
  2   2  91   0   0   6|   0     0 |4302k  145k|   0     0 | 549  2274 
  1   2  90   0   0   6|   0     0 |4274k  147k|   0     0 | 524  2228 
  2   2  93   0   0   4|   0     0 |4289k  145k|   0     0 | 442  2075 
  2   3  92   0   0   4|   0     0 |4385k  148k|   0     0 | 513  2263 
  1   3  92   0   0   4|   0     0 |4350k  150k|   0     0 | 488  2229 
  2   3  93   0   0   3|   0     0 |4392k  149k|   0     0 | 504  2179 
  2   2  91   2   0   5|   0    48k|4415k  149k|   0     0 | 466  2114 
  2   3  92   0   0   3|   0     0 |4323k  149k|   0     0 | 485  2176 
  1   2  94   0   0   4|   0     0 |4313k  146k|   0     0 | 475  2144 
