1         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets           0.00          ---          ---      0.00000         0.00 
Gets         470.01       468.64         1.37     68.07700      1898.30 
Waits          0.00          ---          ---      0.00000          --- 
Totals       470.01       468.64         1.37     68.07700      1898.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET      16.000         0.01
GET      17.000         0.01
GET      18.000         0.02
GET      19.000         0.02
GET      21.000         0.02
GET      22.000         0.03
GET      23.000         0.03
GET      24.000         0.05
GET      25.000         0.06
GET      26.000         0.06
GET      27.000         0.08
GET      28.000         0.12
GET      29.000         0.14
GET      30.000         0.16
GET      31.000         0.17
GET      32.000         0.21
GET      33.000         0.25
GET      34.000         0.28
GET      35.000         0.31
GET      36.000         0.39
GET      37.000         0.41
GET      38.000         0.43
GET      39.000         0.46
GET      40.000         0.48
GET      41.000         0.52
GET      42.000         0.64
GET      43.000         0.74
GET      44.000         0.95
GET      45.000         1.29
GET      46.000         1.87
GET      47.000         3.01
GET      48.000         4.63
GET      49.000         6.60
GET      50.000         8.27
GET      51.000         9.58
GET      52.000        10.45
GET      53.000        11.01
GET      54.000        11.47
GET      55.000        11.91
GET      56.000        12.41
GET      57.000        13.37
GET      58.000        14.86
GET      59.000        17.37
GET      60.000        20.89
GET      61.000        25.54
GET      62.000        32.31
GET      63.000        39.35
GET      64.000        45.60
GET      65.000        50.43
GET      66.000        53.63
GET      67.000        55.75
GET      68.000        57.23
GET      69.000        58.35
GET      70.000        59.26
GET      71.000        60.22
GET      72.000        61.46
GET      73.000        62.95
GET      74.000        65.49
GET      75.000        68.93
GET      76.000        73.45
GET      77.000        78.41
GET      78.000        83.54
GET      79.000        86.99
GET      80.000        89.28
GET      81.000        90.83
GET      82.000        91.86
GET      83.000        92.61
GET      84.000        93.17
GET      85.000        93.58
GET      86.000        93.89
GET      87.000        94.24
GET      88.000        94.70
GET      89.000        95.16
GET      90.000        95.69
GET      91.000        96.43
GET      92.000        97.27
GET      93.000        97.98
GET      94.000        98.60
GET      95.000        98.95
GET      96.000        99.17
GET      97.000        99.34
GET      98.000        99.43
GET      99.000        99.46
GET     100.000        99.64
GET     110.000        99.95
GET     120.000        99.99
GET     130.000       100.00
GET     280.000       100.00
---
