[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   7  87   1   0   1|  49k  149k|   0     0 |   0     0 |  19  1186 
  1   0  99   0   0   0|   0     0 |5422B 2782B|   0     0 |  18    70 
  0   2  97   0   0   1|   0     0 | 118k 3352k|   0     0 |  18   955 
  3  14  82   0   0   1|   0     0 | 440k   12M|   0     0 |  18  1861 
  4  10  85   0   0   1|   0     0 | 453k   12M|   0     0 |  18  1560 
  1   8  89   0   0   2|   0     0 | 431k   12M|   0     0 |  19  1696 
  4  10  86   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1518 
  2  10  86   0   0   2|   0     0 | 433k   12M|   0     0 |  18  1568 
  2  11  85   0   0   2|   0     0 | 426k   12M|   0     0 |  18  1575 
  2  10  86   0   0   2|   0     0 | 413k   12M|   0     0 |  24  1429 
  5  13  80   0   0   2|   0     0 | 447k   12M|   0     0 |  18  1509 
  1   7  90   0   0   1|   0     0 | 427k   12M|   0     0 |  18  1523 
  3   8  88   0   0   1|   0     0 | 425k   12M|   0     0 |  18  1415 
  2  10  86   0   0   2|   0     0 | 432k   12M|   0     0 |  18  1547 
  1   5  91   0   0   2|   0     0 | 429k   12M|   0     0 |  19  1408 
  2   6  89   0   0   2|   0     0 | 427k   12M|   0     0 |  18  1480 
  3   8  86   0   0   3|   0     0 | 440k   12M|   0     0 |  18  1556 
  2   8  88   0   0   2|   0     0 | 426k   12M|   0     0 |  18  1592 
  2  11  84   0   0   3|   0     0 | 434k   12M|   0     0 |  18  1701 
  3  13  84   0   0   0|   0     0 | 428k   12M|   0     0 |  19  1566 
  2   6  90   0   0   2|   0  4096B| 429k   12M|   0     0 |  18  1526 
  2   9  88   0   0   0|   0     0 | 422k   12M|   0     0 |  18  1479 
  2   9  87   0   0   1|   0     0 | 436k   12M|   0     0 |  18  1444 
  2  11  85   0   0   2|   0     0 | 425k   12M|   0     0 |  18  1535 
  2   7  89   0   0   1|   0     0 | 426k   12M|   0     0 |  19  1478 
  4   8  86   0   0   2|   0     0 | 433k   12M|   0     0 |  18  1379 
  0  11  89   0   0   0|   0     0 | 425k   12M|   0     0 |  18  1530 
  2   6  89   0   0   2|   0     0 | 430k   12M|   0     0 |  18  1544 
  4   9  82   0   0   4|   0     0 | 433k   12M|   0     0 |  18  1583 
  2   8  90   0   0   0|   0     0 | 433k   12M|   0     0 |  19  1529 
  3   6  89   0   0   2|   0     0 | 424k   12M|   0     0 |  18  1613 
  3   9  84   1   0   3|   0    36k| 435k   12M|   0     0 |  18  1693 
  1   8  89   0   0   2|   0     0 | 433k   12M|   0     0 |  18  1456 
  1  10  88   0   0   1|   0     0 | 430k   12M|   0     0 |  18  1550 
  2   9  88   0   0   1|   0     0 | 433k   12M|   0     0 |  19  1493 
  3   6  89   0   0   1|   0     0 | 426k   12M|   0     0 |  18  1576 
  0   8  91   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1486 
  1   9  89   0   0   1|   0     0 | 427k   12M|   0     0 |  18  1529 
  4  11  83   0   0   2|   0     0 | 441k   12M|   0     0 |  19  1590 
  0   6  93   0   0   1|   0     0 | 426k   12M|   0     0 |  18  1422 
  0   8  91   0   0   1|   0     0 | 427k   12M|   0     0 |  18  1464 
  4   8  86   0   0   2|   0  8192B| 430k   12M|   0     0 |  19  1615 
