1         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets        1262.76          ---          ---     25.33500      5100.84 
Gets           0.00         0.00         0.00      0.00000         0.00 
Waits          0.00          ---          ---      0.00000          --- 
Totals      1262.76         0.00         0.00     25.33500      5100.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       4.300         0.00
SET       5.300         0.00
SET       5.500         0.00
SET       5.900         0.00
SET       6.000         0.01
SET       6.200         0.01
SET       6.700         0.01
SET       7.000         0.01
SET       7.300         0.01
SET       7.400         0.02
SET       7.500         0.02
SET       7.700         0.02
SET       7.800         0.02
SET       7.900         0.03
SET       8.000         0.03
SET       8.100         0.03
SET       8.200         0.03
SET       8.400         0.04
SET       8.500         0.04
SET       8.600         0.04
SET       8.700         0.05
SET       8.800         0.05
SET       8.900         0.06
SET       9.000         0.06
SET       9.100         0.06
SET       9.200         0.07
SET       9.300         0.08
SET       9.400         0.08
SET       9.500         0.09
SET       9.600         0.10
SET       9.700         0.10
SET       9.800         0.11
SET       9.900         0.12
SET      10.000         0.17
SET      11.000         0.27
SET      12.000         0.42
SET      13.000         0.84
SET      14.000         1.87
SET      15.000         3.40
SET      16.000         4.90
SET      17.000         6.27
SET      18.000         7.68
SET      19.000        10.10
SET      20.000        15.38
SET      21.000        25.22
SET      22.000        36.88
SET      23.000        47.40
SET      24.000        55.42
SET      25.000        61.25
SET      26.000        65.32
SET      27.000        68.54
SET      28.000        71.93
SET      29.000        75.43
SET      30.000        79.41
SET      31.000        83.43
SET      32.000        87.25
SET      33.000        90.62
SET      34.000        93.33
SET      35.000        95.10
SET      36.000        96.28
SET      37.000        97.09
SET      38.000        97.62
SET      39.000        98.04
SET      40.000        98.37
SET      41.000        98.64
SET      42.000        98.89
SET      43.000        99.07
SET      44.000        99.25
SET      45.000        99.36
SET      46.000        99.45
SET      47.000        99.55
SET      48.000        99.63
SET      49.000        99.67
SET      50.000        99.72
SET      51.000        99.78
SET      52.000        99.80
SET      53.000        99.83
SET      54.000        99.86
SET      55.000        99.88
SET      56.000        99.89
SET      57.000        99.90
SET      58.000        99.91
SET      59.000        99.92
SET      60.000        99.92
SET      61.000        99.93
SET      62.000        99.93
SET      63.000        99.93
SET      64.000        99.94
SET      65.000        99.95
SET      66.000        99.95
SET      67.000        99.96
SET      68.000        99.96
SET      69.000        99.96
SET      70.000        99.97
SET      71.000        99.97
SET      73.000        99.97
SET      74.000        99.97
SET      76.000        99.98
SET      78.000        99.98
SET      83.000        99.98
SET      84.000        99.98
SET      86.000        99.99
SET      88.000        99.99
SET      96.000        99.99
SET      98.000        99.99
SET     110.000       100.00
SET     120.000       100.00
---
---
