2         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets           0.00          ---          ---      0.00000         0.00 
Gets        2931.64      2923.43         8.21     21.82500     11841.72 
Waits          0.00          ---          ---      0.00000          --- 
Totals      2931.64      2923.43         8.21     21.82500     11841.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       2.000         0.00
GET       2.200         0.00
GET       2.400         0.00
GET       2.600         0.00
GET       2.700         0.00
GET       2.800         0.01
GET       2.900         0.01
GET       3.000         0.01
GET       3.100         0.01
GET       3.200         0.01
GET       3.300         0.01
GET       3.400         0.02
GET       3.500         0.02
GET       3.600         0.02
GET       3.700         0.02
GET       3.800         0.02
GET       3.900         0.03
GET       4.000         0.03
GET       4.100         0.03
GET       4.200         0.03
GET       4.300         0.03
GET       4.400         0.03
GET       4.500         0.04
GET       4.600         0.04
GET       4.700         0.04
GET       4.800         0.04
GET       4.900         0.05
GET       5.000         0.05
GET       5.100         0.05
GET       5.200         0.05
GET       5.300         0.05
GET       5.400         0.06
GET       5.500         0.06
GET       5.600         0.06
GET       5.700         0.07
GET       5.800         0.07
GET       5.900         0.08
GET       6.000         0.08
GET       6.100         0.09
GET       6.200         0.09
GET       6.300         0.10
GET       6.400         0.10
GET       6.500         0.11
GET       6.600         0.11
GET       6.700         0.11
GET       6.800         0.12
GET       6.900         0.13
GET       7.000         0.14
GET       7.100         0.15
GET       7.200         0.16
GET       7.300         0.16
GET       7.400         0.17
GET       7.500         0.18
GET       7.600         0.19
GET       7.700         0.20
GET       7.800         0.21
GET       7.900         0.22
GET       8.000         0.23
GET       8.100         0.25
GET       8.200         0.27
GET       8.300         0.28
GET       8.400         0.29
GET       8.500         0.31
GET       8.600         0.34
GET       8.700         0.36
GET       8.800         0.38
GET       8.900         0.40
GET       9.000         0.42
GET       9.100         0.45
GET       9.200         0.47
GET       9.300         0.50
GET       9.400         0.53
GET       9.500         0.55
GET       9.600         0.58
GET       9.700         0.61
GET       9.800         0.64
GET       9.900         0.68
GET      10.000         0.92
GET      11.000         1.55
GET      12.000         2.57
GET      13.000         4.11
GET      14.000         6.33
GET      15.000         9.46
GET      16.000        14.00
GET      17.000        21.41
GET      18.000        30.82
GET      19.000        39.12
GET      20.000        46.33
GET      21.000        52.76
GET      22.000        58.88
GET      23.000        64.71
GET      24.000        70.05
GET      25.000        75.35
GET      26.000        80.76
GET      27.000        85.80
GET      28.000        89.85
GET      29.000        92.83
GET      30.000        94.81
GET      31.000        96.22
GET      32.000        97.17
GET      33.000        97.77
GET      34.000        98.20
GET      35.000        98.53
GET      36.000        98.78
GET      37.000        98.97
GET      38.000        99.14
GET      39.000        99.25
GET      40.000        99.36
GET      41.000        99.45
GET      42.000        99.53
GET      43.000        99.59
GET      44.000        99.63
GET      45.000        99.67
GET      46.000        99.69
GET      47.000        99.71
GET      48.000        99.72
GET      49.000        99.73
GET      50.000        99.73
GET      51.000        99.74
GET      52.000        99.74
GET      53.000        99.75
GET      54.000        99.75
GET      55.000        99.76
GET      56.000        99.76
GET      57.000        99.77
GET      58.000        99.77
GET      59.000        99.78
GET      60.000        99.80
GET      61.000        99.80
GET      62.000        99.82
GET      63.000        99.84
GET      64.000        99.85
GET      65.000        99.87
GET      66.000        99.88
GET      67.000        99.89
GET      68.000        99.90
GET      69.000        99.91
GET      70.000        99.92
GET      71.000        99.93
GET      72.000        99.93
GET      73.000        99.94
GET      74.000        99.94
GET      75.000        99.95
GET      76.000        99.95
GET      77.000        99.96
GET      78.000        99.96
GET      79.000        99.96
GET      80.000        99.96
GET      81.000        99.96
GET      83.000        99.96
GET      84.000        99.97
GET      85.000        99.97
GET      86.000        99.97
GET      88.000        99.97
GET      90.000        99.97
GET      91.000        99.97
GET      96.000        99.97
GET      98.000        99.97
GET      99.000        99.97
GET     100.000        99.98
GET     110.000        99.98
GET     120.000        99.98
GET     140.000        99.99
GET     150.000        99.99
GET     160.000       100.00
GET     170.000       100.00
GET     180.000       100.00
GET     270.000       100.00
---
