2         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         890.27          ---          ---     71.88000      3596.19 
Gets           0.00         0.00         0.00      0.00000         0.00 
Waits          0.00          ---          ---      0.00000          --- 
Totals       890.27         0.00         0.00     71.88000      3596.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      42.000         0.00
SET      43.000         0.01
SET      44.000         0.02
SET      45.000         0.04
SET      46.000         0.10
SET      47.000         0.18
SET      48.000         0.29
SET      49.000         0.42
SET      50.000         0.63
SET      51.000         0.95
SET      52.000         1.45
SET      53.000         2.05
SET      54.000         2.82
SET      55.000         3.75
SET      56.000         4.89
SET      57.000         6.30
SET      58.000         8.09
SET      59.000        10.28
SET      60.000        13.03
SET      61.000        15.82
SET      62.000        18.85
SET      63.000        22.43
SET      64.000        26.33
SET      65.000        30.44
SET      66.000        34.66
SET      67.000        38.83
SET      68.000        42.81
SET      69.000        46.87
SET      70.000        50.99
SET      71.000        54.94
SET      72.000        58.54
SET      73.000        61.93
SET      74.000        65.28
SET      75.000        68.45
SET      76.000        71.44
SET      77.000        74.18
SET      78.000        76.58
SET      79.000        78.83
SET      80.000        81.00
SET      81.000        83.08
SET      82.000        84.84
SET      83.000        86.40
SET      84.000        87.74
SET      85.000        89.09
SET      86.000        90.28
SET      87.000        91.41
SET      88.000        92.38
SET      89.000        93.22
SET      90.000        93.99
SET      91.000        94.65
SET      92.000        95.25
SET      93.000        95.79
SET      94.000        96.28
SET      95.000        96.72
SET      96.000        97.11
SET      97.000        97.49
SET      98.000        97.81
SET      99.000        98.09
SET     100.000        99.14
SET     110.000        99.61
SET     120.000        99.76
SET     130.000        99.81
SET     140.000        99.87
SET     150.000        99.91
SET     160.000        99.92
SET     170.000        99.93
SET     180.000        99.94
SET     190.000        99.95
SET     200.000        99.95
SET     210.000        99.95
SET     220.000        99.97
SET     230.000       100.00
SET     240.000       100.00
---
---
