Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,51,0.019395,207419,1,50,0,0.000000
1,0,0.000000,0,47,0.020086,194950,0,47,0,0.000000
2,0,0.000000,0,48,0.022044,199094,0,48,0,0.000000
3,0,0.000000,0,48,0.020894,199098,0,48,0,0.000000
4,0,0.000000,0,50,0.019791,207392,0,50,0,0.000000
5,0,0.000000,0,49,0.020036,203238,0,49,0,0.000000
6,0,0.000000,0,48,0.021094,199094,0,48,0,0.000000
7,0,0.000000,0,48,0.020912,199092,0,48,0,0.000000
8,0,0.000000,0,43,0.023238,178354,0,43,0,0.000000
9,0,0.000000,0,48,0.020690,199094,0,48,0,0.000000
10,0,0.000000,0,43,0.022951,178360,0,43,0,0.000000
11,0,0.000000,0,50,0.020586,207396,0,50,0,0.000000
12,0,0.000000,0,48,0.020791,199092,0,48,0,0.000000
13,0,0.000000,0,44,0.022773,178367,1,43,0,0.000000
14,0,0.000000,0,46,0.021497,186677,1,45,0,0.000000
15,0,0.000000,0,46,0.021993,186671,1,45,0,0.000000
16,0,0.000000,0,42,0.023712,174216,0,42,0,0.000000
17,0,0.000000,0,45,0.022224,186646,0,45,0,0.000000
18,0,0.000000,0,49,0.020384,203240,0,49,0,0.000000
19,0,0.000000,0,50,0.019084,207378,0,50,0,0.000000
20,0,0.000000,0,48,0.021840,199096,0,48,0,0.000000
21,0,0.000000,0,43,0.022483,178348,0,43,0,0.000000
22,0,0.000000,0,48,0.021509,199094,0,48,0,0.000000
23,0,0.000000,0,49,0.020406,203244,0,49,0,0.000000
24,0,0.000000,0,47,0.021101,194942,0,47,0,0.000000
25,0,0.000000,0,49,0.020666,203248,0,49,0,0.000000
26,0,0.000000,0,51,0.019511,211534,0,51,0,0.000000
27,0,0.000000,0,44,0.022820,182502,0,44,0,0.000000
28,0,0.000000,0,46,0.021593,186673,1,45,0,0.000000
29,0,0.000000,0,45,0.021860,186652,0,45,0,0.000000
30,0,0.000000,0,49,0.020773,203236,0,49,0,0.000000
31,0,0.000000,0,49,0.020361,203238,0,49,0,0.000000
32,0,0.000000,0,47,0.021339,194946,0,47,0,0.000000
33,0,0.000000,0,45,0.022259,186650,0,45,0,0.000000
34,0,0.000000,0,45,0.022200,186654,0,45,0,0.000000
35,0,0.000000,0,45,0.022283,186650,0,45,0,0.000000
36,0,0.000000,0,48,0.020792,199098,0,48,0,0.000000
37,0,0.000000,0,41,0.024207,165927,1,40,0,0.000000
38,0,0.000000,0,51,0.019757,211538,0,51,0,0.000000
39,0,0.000000,0,52,0.019025,215690,0,52,0,0.000000
40,0,0.000000,0,52,0.019452,211561,1,51,0,0.000000
41,0,0.000000,0,47,0.021246,194942,0,47,0,0.000000
42,0,0.000000,0,48,0.020816,199096,0,48,0,0.000000
43,0,0.000000,0,50,0.020032,207394,0,50,0,0.000000
44,0,0.000000,0,48,0.020530,199094,0,48,0,0.000000
45,0,0.000000,0,51,0.019876,211536,0,51,0,0.000000
46,0,0.000000,0,46,0.021709,190800,0,46,0,0.000000
47,0,0.000000,0,43,0.022946,178356,0,43,0,0.000000
48,0,0.000000,0,46,0.021954,190802,0,46,0,0.000000
49,0,0.000000,0,46,0.021725,190796,0,46,0,0.000000
50,0,0.000000,0,49,0.019814,203238,0,49,0,0.000000
51,0,0.000000,0,48,0.021498,199090,0,48,0,0.000000
52,0,0.000000,0,50,0.019982,207390,0,50,0,0.000000
53,0,0.000000,0,50,0.019910,207394,0,50,0,0.000000
54,0,0.000000,0,48,0.020885,199088,0,48,0,0.000000
55,0,0.000000,0,46,0.021800,190794,0,46,0,0.000000
56,0,0.000000,0,49,0.020173,203238,0,49,0,0.000000
57,0,0.000000,0,48,0.021111,199094,0,48,0,0.000000
58,0,0.000000,0,39,0.025424,161764,0,39,0,0.000000
59,0,0.000000,0,49,0.020522,203240,0,49,0,0.000000
60,0,0.000000,0,46,0.021412,190782,0,46,0,0.000000
61,0,0.000000,0,43,0.023619,178350,0,43,0,0.000000
62,0,0.000000,0,52,0.018939,215682,0,52,0,0.000000
63,0,0.000000,0,46,0.021725,186677,1,45,0,0.000000
64,0,0.000000,0,48,0.020924,199094,0,48,0,0.000000
65,0,0.000000,0,47,0.021479,194944,0,47,0,0.000000
66,0,0.000000,0,46,0.021746,190792,0,46,0,0.000000
67,0,0.000000,0,49,0.020077,199117,1,48,0,0.000000
68,0,0.000000,0,52,0.019430,211559,1,51,0,0.000000
69,0,0.000000,0,68,0.014769,277921,1,67,0,0.000000
70,0,0.000000,0,1,0.013393,4148,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   3.500,0.03
   3.900,0.06
   4.000,0.15
   4.300,0.21
   4.400,0.24
   4.700,0.33
   4.800,0.36
   4.900,0.39
   5.000,0.48
   5.100,0.57
   5.300,0.60
   5.500,0.66
   5.600,0.75
   5.700,0.87
   5.800,0.93
   5.900,1.02
   6.000,1.05
   6.100,1.17
   6.300,1.20
   6.400,1.23
   6.500,1.29
   6.600,1.44
   6.700,1.50
   6.800,1.53
   6.900,1.56
   7.000,1.62
   7.100,1.71
   7.200,1.86
   7.400,1.89
   7.500,1.92
   7.700,1.95
   7.800,2.07
   8.000,2.10
   8.100,2.25
   8.200,2.28
   8.300,2.34
   8.400,2.43
   8.500,2.46
   8.600,2.58
   8.700,2.64
   8.800,2.76
   9.000,2.82
   9.200,2.85
   9.300,2.94
   9.400,3.00
   9.500,3.03
   9.600,3.27
   9.700,3.39
   9.800,3.48
   9.900,3.57
  10.000,4.14
  11.000,5.13
  12.000,7.04
  13.000,10.25
  14.000,13.82
  15.000,21.67
  16.000,32.31
  17.000,43.08
  18.000,51.29
  19.000,57.34
  20.000,62.71
  21.000,66.16
  22.000,68.62
  23.000,71.31
  24.000,73.26
  25.000,76.44
  26.000,79.53
  27.000,82.40
  28.000,85.34
  29.000,88.37
  30.000,90.53
  31.000,92.57
  32.000,93.50
  33.000,94.00
  34.000,94.33
  35.000,94.54
  36.000,94.75
  37.000,95.05
  38.000,95.26
  39.000,95.56
  40.000,95.77
  41.000,96.31
  42.000,96.73
  43.000,97.06
  44.000,97.51
  45.000,97.96
  46.000,98.14
  47.000,98.38
  49.000,98.47
  50.000,98.50
  52.000,98.59
  53.000,98.65
  54.000,98.71
  55.000,98.77
  56.000,98.83
  57.000,98.92
  58.000,99.04
  59.000,99.16
  60.000,99.25
  61.000,99.31
  62.000,99.40
  63.000,99.43
  64.000,99.46
  66.000,99.52
  68.000,99.55
  74.000,99.61
  75.000,99.64
  76.000,99.76
  77.000,99.82
  78.000,99.85
  81.000,99.91
  85.000,99.94
  91.000,99.97
  97.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent

Full-Test WAIT Latency
Latency (<= msec),Percent
