1         Threads
32        Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets           0.00          ---          ---      0.00000         0.00 
Gets        1467.39      1463.79         3.60     21.80100      5929.26 
Waits          0.00          ---          ---      0.00000          --- 
Totals      1467.39      1463.79         3.60     21.80100      5929.26 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       1.900         0.00
GET       2.100         0.00
GET       2.200         0.00
GET       2.300         0.00
GET       2.400         0.01
GET       2.500         0.01
GET       2.600         0.01
GET       2.700         0.01
GET       2.800         0.02
GET       2.900         0.03
GET       3.000         0.04
GET       3.100         0.04
GET       3.200         0.05
GET       3.300         0.06
GET       3.400         0.08
GET       3.500         0.09
GET       3.600         0.09
GET       3.700         0.10
GET       3.800         0.12
GET       3.900         0.15
GET       4.000         0.18
GET       4.100         0.20
GET       4.200         0.23
GET       4.300         0.25
GET       4.400         0.29
GET       4.500         0.31
GET       4.600         0.35
GET       4.700         0.38
GET       4.800         0.41
GET       4.900         0.45
GET       5.000         0.49
GET       5.100         0.53
GET       5.200         0.56
GET       5.300         0.60
GET       5.400         0.65
GET       5.500         0.69
GET       5.600         0.73
GET       5.700         0.75
GET       5.800         0.79
GET       5.900         0.85
GET       6.000         0.89
GET       6.100         0.92
GET       6.200         0.96
GET       6.300         1.01
GET       6.400         1.06
GET       6.500         1.11
GET       6.600         1.16
GET       6.700         1.19
GET       6.800         1.24
GET       6.900         1.28
GET       7.000         1.32
GET       7.100         1.37
GET       7.200         1.40
GET       7.300         1.43
GET       7.400         1.46
GET       7.500         1.50
GET       7.600         1.54
GET       7.700         1.57
GET       7.800         1.61
GET       7.900         1.66
GET       8.000         1.70
GET       8.100         1.73
GET       8.200         1.77
GET       8.300         1.81
GET       8.400         1.86
GET       8.500         1.90
GET       8.600         1.95
GET       8.700         1.98
GET       8.800         2.03
GET       8.900         2.07
GET       9.000         2.13
GET       9.100         2.16
GET       9.200         2.19
GET       9.300         2.24
GET       9.400         2.28
GET       9.500         2.33
GET       9.600         2.40
GET       9.700         2.46
GET       9.800         2.53
GET       9.900         2.59
GET      10.000         2.93
GET      11.000         3.86
GET      12.000         5.51
GET      13.000         8.05
GET      14.000        11.81
GET      15.000        18.43
GET      16.000        28.24
GET      17.000        37.71
GET      18.000        45.56
GET      19.000        52.02
GET      20.000        57.35
GET      21.000        61.22
GET      22.000        63.95
GET      23.000        66.24
GET      24.000        68.48
GET      25.000        71.14
GET      26.000        74.33
GET      27.000        77.85
GET      28.000        81.72
GET      29.000        85.45
GET      30.000        88.60
GET      31.000        91.36
GET      32.000        93.11
GET      33.000        93.96
GET      34.000        94.48
GET      35.000        94.90
GET      36.000        95.18
GET      37.000        95.38
GET      38.000        95.53
GET      39.000        95.79
GET      40.000        96.07
GET      41.000        96.38
GET      42.000        96.73
GET      43.000        97.11
GET      44.000        97.53
GET      45.000        97.87
GET      46.000        98.16
GET      47.000        98.43
GET      48.000        98.57
GET      49.000        98.64
GET      50.000        98.69
GET      51.000        98.72
GET      52.000        98.74
GET      53.000        98.77
GET      54.000        98.81
GET      55.000        98.86
GET      56.000        98.92
GET      57.000        99.01
GET      58.000        99.09
GET      59.000        99.21
GET      60.000        99.31
GET      61.000        99.37
GET      62.000        99.44
GET      63.000        99.50
GET      64.000        99.53
GET      65.000        99.54
GET      66.000        99.56
GET      67.000        99.57
GET      68.000        99.58
GET      69.000        99.58
GET      70.000        99.59
GET      71.000        99.62
GET      72.000        99.64
GET      73.000        99.67
GET      74.000        99.71
GET      75.000        99.73
GET      76.000        99.76
GET      77.000        99.78
GET      78.000        99.80
GET      79.000        99.81
GET      80.000        99.81
GET      81.000        99.82
GET      82.000        99.83
GET      83.000        99.83
GET      84.000        99.83
GET      85.000        99.83
GET      86.000        99.83
GET      87.000        99.84
GET      88.000        99.86
GET      89.000        99.87
GET      90.000        99.88
GET      91.000        99.88
GET      92.000        99.89
GET      93.000        99.89
GET      94.000        99.90
GET      95.000        99.90
GET      96.000        99.90
GET      97.000        99.90
GET      98.000        99.91
GET      99.000        99.91
GET     100.000        99.93
GET     110.000        99.95
GET     120.000        99.97
GET     130.000        99.98
GET     140.000        99.99
GET     150.000        99.99
GET     160.000       100.00
GET     180.000       100.00
GET     200.000       100.00
---
