[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  97   0   0   0|  47k  592k|   0     0 |   0     0 | 265   808 
 33  15  50   0   0   3|   0     0 |  18M   18M|   0     0 |5522    16k
 20  12  66   0   0   3|   0     0 |  22M   22M|   0     0 |3163    12k
 13   8  77   0   0   2|   0     0 |  18M   18M|   0     0 |2735    10k
 14   9  75   0   0   2|   0     0 |  19M   19M|   0     0 |2988    10k
 16   9  72   0   0   2|   0     0 |  19M   19M|   0     0 |3237    10k
 12   8  77   0   0   2|   0     0 |  19M   19M|   0     0 |3315  9996 
 13   9  75   0   0   2|   0     0 |  19M   19M|   0     0 |3603    10k
 16   8  74   0   0   2|   0     0 |  19M   19M|   0     0 |3459    10k
 22   9  67   0   0   3|   0     0 |  18M   18M|   0     0 |3129  9466 
 18   9  70   0   0   2|   0     0 |  19M   19M|   0     0 |3053  9527 
 18   8  71   0   0   2|   0    44k|  18M   18M|   0     0 |3012  9602 
 16   8  73   0   0   2|   0     0 |  18M   18M|   0     0 |3180  9696 
 15   9  74   0   0   2|   0     0 |  18M   18M|   0     0 |3191  9726 
 17   8  72   0   0   3|   0     0 |  19M   19M|   0     0 |3467    10k
 17   8  72   0   0   3|   0     0 |  18M   18M|   0     0 |3215  9735 
 14   7  76   0   0   3|   0    32k|  18M   18M|   0     0 |3190  9542 
 15   9  74   0   0   2|   0     0 |  18M   18M|   0     0 |3446  9874 
 15   9  74   0   0   2|   0     0 |  18M   19M|   0     0 |3296  9886 
 15   9  74   0   0   2|   0     0 |  20M   20M|   0     0 |3522    11k
 15   8  76   0   0   1|   0     0 |  19M   19M|   0     0 |3160  9883 
 13   9  76   0   0   2|   0     0 |  19M   18M|   0     0 |3354    10k
 14   8  76   0   0   2|   0     0 |  19M   19M|   0     0 |3091  9860 
 15   8  74   0   0   3|   0     0 |  19M   19M|   0     0 |3013  9913 
 14   7  77   0   0   2|   0     0 |  19M   19M|   0     0 |3279    10k
 14   8  76   0   0   3|   0     0 |  19M   19M|   0     0 |3099  9788 
 12   7  79   0   0   2|   0     0 |  19M   19M|   0     0 |3405    10k
 13   7  78   0   0   3|   0    32k|  18M   18M|   0     0 |3545    10k
 11   6  80   0   0   2|   0     0 |  19M   19M|   0     0 |3540    10k
 11   8  80   0   0   2|   0     0 |  18M   18M|   0     0 |3553    10k
 12   9  77   0   0   2|   0     0 |  19M   19M|   0     0 |3444    10k
 12   7  79   0   0   2|   0     0 |  19M   19M|   0     0 |3533    11k
 11   8  80   0   0   2|   0  8192B|  17M   17M|   0     0 |3434  9676 
 11   8  79   0   0   3|   0     0 |  18M   18M|   0     0 |3307  9710 
 11   8  79   0   0   2|   0     0 |  18M   18M|   0     0 |3516    10k
 11   7  80   0   0   2|   0     0 |  18M   18M|   0     0 |3472  9965 
 12   6  79   0   0   2|   0     0 |  19M   19M|   0     0 |3613    10k
 11   8  79   0   0   3|   0     0 |  17M   17M|   0     0 |3280  9491 
 10   8  79   0   0   2|   0     0 |  18M   18M|   0     0 |3482    10k
 12   8  78   0   0   2|   0     0 |  18M   18M|   0     0 |3603    10k
 12   9  78   0   0   2|   0     0 |  18M   18M|   0     0 |3532    10k
 11   8  79   0   0   2|   0     0 |  19M   19M|   0     0 |3486    10k
 12   8  77   0   0   3|   0    72k|  19M   19M|   0     0 |3627    11k
 12   9  76   0   0   2|   0     0 |  20M   20M|   0     0 |3279    10k
 12   9  78   0   0   2|   0     0 |  18M   18M|   0     0 |3443    10k
 11   8  79   0   0   2|   0     0 |  19M   19M|   0     0 |3494    10k
 11   6  80   0   0   2|   0     0 |  19M   19M|   0     0 |3392    10k
 12   7  79   0   0   2|   0     0 |  18M   18M|   0     0 |3282  9819 
 13   7  78   0   0   2|   0     0 |  19M   19M|   0     0 |3551    10k
 11   7  80   0   0   2|   0     0 |  18M   18M|   0     0 |3206  9507 
 11   7  80   0   0   2|   0     0 |  18M   18M|   0     0 |3475  9865 
 11   8  79   0   0   2|   0     0 |  19M   19M|   0     0 |3629    10k
 11   8  79   0   0   2|   0     0 |  18M   18M|   0     0 |3331  9589 
 11   8  79   0   0   2|   0     0 |  18M   18M|   0     0 |3303  9475 
 11   8  80   0   0   2|   0     0 |  17M   18M|   0     0 |3375  9402 
 11   7  80   0   0   2|   0     0 |  18M   18M|   0     0 |3505  9644 
 11   7  80   0   0   2|   0     0 |  19M   19M|   0     0 |3565  9829 
 11   8  79   0   0   2|   0    28k|  18M   18M|   0     0 |3588    10k
 11   8  79   0   0   2|   0     0 |  19M   19M|   0     0 |3631    10k
 11   7  80   0   0   2|   0     0 |  19M   19M|   0     0 |3715    11k
 12   6  79   0   0   2|   0     0 |  17M   17M|   0     0 |3509  9958 
 12   7  79   0   0   2|   0     0 |  18M   18M|   0     0 |3628    10k
 12   7  79   0   0   1|   0     0 |  17M   17M|   0     0 |3633    10k
 11   7  80   0   0   2|   0    16k|  18M   18M|   0     0 |3488    10k
 12   9  78   0   0   2|   0     0 |  19M   19M|   0     0 |3518    10k
 12   7  79   0   0   2|   0     0 |  19M   19M|   0     0 |3563    10k
 11   7  79   0   0   3|   0     0 |  19M   19M|   0     0 |3670    10k
 12   7  80   0   0   2|   0     0 |  19M   18M|   0     0 |3433  9981 
 11   7  79   0   0   2|   0     0 |  18M   18M|   0     0 |3492    10k
 11   7  79   0   0   2|   0     0 |  19M   19M|   0     0 |3472    10k
 12   8  78   0   0   3|   0     0 |  19M   19M|   0     0 |3670    11k
