Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,36,0.027738,145199,1,35,0,0.000000
1,0,0.000000,0,42,0.023778,174214,0,42,0,0.000000
2,0,0.000000,0,40,0.024733,165908,0,40,0,0.000000
3,0,0.000000,0,43,0.023358,178360,0,43,0,0.000000
4,0,0.000000,0,43,0.023189,178358,0,43,0,0.000000
5,0,0.000000,0,40,0.024884,165914,0,40,0,0.000000
6,0,0.000000,0,44,0.023031,182498,0,44,0,0.000000
7,0,0.000000,0,42,0.023678,174208,0,42,0,0.000000
8,0,0.000000,0,42,0.023503,174208,0,42,0,0.000000
9,0,0.000000,0,42,0.023572,174204,0,42,0,0.000000
10,0,0.000000,0,41,0.023725,170060,0,41,0,0.000000
11,0,0.000000,0,41,0.025330,170060,0,41,0,0.000000
12,0,0.000000,0,43,0.023619,178360,0,43,0,0.000000
13,0,0.000000,0,40,0.024795,165916,0,40,0,0.000000
14,0,0.000000,0,40,0.024434,165910,0,40,0,0.000000
15,0,0.000000,0,43,0.023994,174223,1,42,0,0.000000
16,0,0.000000,0,39,0.025224,157641,1,38,0,0.000000
17,0,0.000000,0,40,0.025260,165912,0,40,0,0.000000
18,0,0.000000,0,43,0.022848,174231,1,42,0,0.000000
19,0,0.000000,0,42,0.024282,174208,0,42,0,0.000000
20,0,0.000000,0,39,0.025173,161766,0,39,0,0.000000
21,0,0.000000,0,45,0.022683,186638,0,45,0,0.000000
22,0,0.000000,0,41,0.023985,170056,0,41,0,0.000000
23,0,0.000000,0,38,0.026663,157616,0,38,0,0.000000
24,0,0.000000,0,39,0.025301,161758,0,39,0,0.000000
25,0,0.000000,0,40,0.025073,165914,0,40,0,0.000000
26,0,0.000000,0,39,0.025444,161762,0,39,0,0.000000
27,0,0.000000,0,42,0.023815,174206,0,42,0,0.000000
28,0,0.000000,0,39,0.026044,161764,0,39,0,0.000000
29,0,0.000000,0,39,0.025349,161768,0,39,0,0.000000
30,0,0.000000,0,37,0.026985,153468,0,37,0,0.000000
31,0,0.000000,0,42,0.023681,174204,0,42,0,0.000000
32,0,0.000000,0,43,0.023621,174227,1,42,0,0.000000
33,0,0.000000,0,44,0.022846,182506,0,44,0,0.000000
34,0,0.000000,0,42,0.023597,174204,0,42,0,0.000000
35,0,0.000000,0,40,0.024806,165908,0,40,0,0.000000
36,0,0.000000,0,42,0.024173,174206,0,42,0,0.000000
37,0,0.000000,0,41,0.024090,170058,0,41,0,0.000000
38,0,0.000000,0,43,0.023296,178354,0,43,0,0.000000
39,0,0.000000,0,47,0.021381,194950,0,47,0,0.000000
40,0,0.000000,0,43,0.023050,178354,0,43,0,0.000000
41,0,0.000000,0,42,0.023677,174210,0,42,0,0.000000
42,0,0.000000,0,40,0.024843,161781,1,39,0,0.000000
43,0,0.000000,0,42,0.024154,174210,0,42,0,0.000000
44,0,0.000000,0,40,0.025215,165912,0,40,0,0.000000
45,0,0.000000,0,42,0.023600,174212,0,42,0,0.000000
46,0,0.000000,0,43,0.023293,174229,1,42,0,0.000000
47,0,0.000000,0,40,0.024939,165908,0,40,0,0.000000
48,0,0.000000,0,41,0.024619,170060,0,41,0,0.000000
49,0,0.000000,0,44,0.022735,182510,0,44,0,0.000000
50,0,0.000000,0,44,0.022755,182500,0,44,0,0.000000
51,0,0.000000,0,42,0.023830,174208,0,42,0,0.000000
52,0,0.000000,0,40,0.024507,165908,0,40,0,0.000000
53,0,0.000000,0,42,0.024071,174208,0,42,0,0.000000
54,0,0.000000,0,44,0.022500,182506,0,44,0,0.000000
55,0,0.000000,0,45,0.022524,186656,0,45,0,0.000000
56,0,0.000000,0,44,0.022667,182500,0,44,0,0.000000
57,0,0.000000,0,42,0.023503,174202,0,42,0,0.000000
58,0,0.000000,0,40,0.025307,165906,0,40,0,0.000000
59,0,0.000000,0,38,0.025882,157616,0,38,0,0.000000
60,0,0.000000,0,43,0.023523,178356,0,43,0,0.000000
61,0,0.000000,0,39,0.025514,161766,0,39,0,0.000000
62,0,0.000000,0,42,0.024043,174204,0,42,0,0.000000
63,0,0.000000,0,41,0.023935,170056,0,41,0,0.000000
64,0,0.000000,0,43,0.023686,178350,0,43,0,0.000000
65,0,0.000000,0,40,0.025005,165916,0,40,0,0.000000
66,0,0.000000,0,41,0.024147,170054,0,41,0,0.000000
67,0,0.000000,0,44,0.022757,182506,0,44,0,0.000000
