Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,133,0.007482,550140,0,0.000000,0,0,0,0,0.000000
1,146,0.006816,603920,0,0.000000,0,0,0,0,0.000000
2,139,0.007225,574970,0,0.000000,0,0,0,0,0.000000
3,151,0.006637,624589,0,0.000000,0,0,0,0,0.000000
4,139,0.007139,574958,0,0.000000,0,0,0,0,0.000000
5,151,0.006642,624594,0,0.000000,0,0,0,0,0.000000
6,144,0.006941,595634,0,0.000000,0,0,0,0,0.000000
7,136,0.007305,562541,0,0.000000,0,0,0,0,0.000000
8,147,0.006841,608058,0,0.000000,0,0,0,0,0.000000
9,136,0.007371,562547,0,0.000000,0,0,0,0,0.000000
10,138,0.007210,570816,0,0.000000,0,0,0,0,0.000000
11,148,0.006791,612187,0,0.000000,0,0,0,0,0.000000
12,141,0.007080,583222,0,0.000000,0,0,0,0,0.000000
13,135,0.007388,558410,0,0.000000,0,0,0,0,0.000000
14,138,0.007255,570822,0,0.000000,0,0,0,0,0.000000
15,144,0.006967,595640,0,0.000000,0,0,0,0,0.000000
16,145,0.006891,599783,0,0.000000,0,0,0,0,0.000000
17,147,0.006810,608046,0,0.000000,0,0,0,0,0.000000
18,149,0.006698,616323,0,0.000000,0,0,0,0,0.000000
19,139,0.007156,574950,0,0.000000,0,0,0,0,0.000000
20,141,0.007056,583222,0,0.000000,0,0,0,0,0.000000
21,135,0.007421,558417,0,0.000000,0,0,0,0,0.000000
22,135,0.007447,558412,0,0.000000,0,0,0,0,0.000000
23,134,0.007426,554280,0,0.000000,0,0,0,0,0.000000
24,141,0.007107,583236,0,0.000000,0,0,0,0,0.000000
25,145,0.006918,599786,0,0.000000,0,0,0,0,0.000000
26,142,0.007001,587361,0,0.000000,0,0,0,0,0.000000
27,136,0.007346,562556,0,0.000000,0,0,0,0,0.000000
28,145,0.006942,599761,0,0.000000,0,0,0,0,0.000000
29,138,0.007236,570843,0,0.000000,0,0,0,0,0.000000
30,139,0.007139,574949,0,0.000000,0,0,0,0,0.000000
31,85,0.009610,351591,0,0.000000,0,0,0,0,0.000000
32,81,0.014706,335040,0,0.000000,0,0,0,0,0.000000
33,141,0.007041,583233,0,0.000000,0,0,0,0,0.000000
34,147,0.006854,608055,0,0.000000,0,0,0,0,0.000000
35,146,0.006846,603912,0,0.000000,0,0,0,0,0.000000
36,147,0.006772,608047,0,0.000000,0,0,0,0,0.000000
37,140,0.007165,579107,0,0.000000,0,0,0,0,0.000000
38,147,0.006760,608053,0,0.000000,0,0,0,0,0.000000
39,139,0.007220,574949,0,0.000000,0,0,0,0,0.000000
40,141,0.007064,583243,0,0.000000,0,0,0,0,0.000000
41,142,0.007037,587375,0,0.000000,0,0,0,0,0.000000
42,142,0.007020,587367,0,0.000000,0,0,0,0,0.000000
43,148,0.006753,612198,0,0.000000,0,0,0,0,0.000000
44,140,0.007146,579083,0,0.000000,0,0,0,0,0.000000
45,149,0.006740,616319,0,0.000000,0,0,0,0,0.000000
46,148,0.006782,612185,0,0.000000,0,0,0,0,0.000000
47,139,0.007163,574978,0,0.000000,0,0,0,0,0.000000
48,148,0.006726,612186,0,0.000000,0,0,0,0,0.000000
49,141,0.007065,583224,0,0.000000,0,0,0,0,0.000000
50,148,0.006795,612170,0,0.000000,0,0,0,0,0.000000
51,150,0.006695,620474,0,0.000000,0,0,0,0,0.000000
52,137,0.007245,566689,0,0.000000,0,0,0,0,0.000000
