[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6  11  78   3   0   2|  35k  214k|   0     0 |   0     0 |  20  1112 
  0   4  93   0   0   3|   0     0 |  17M  584k|   0     0 |  18   455 
  8  26  56   0   0   9|   0     0 |  57M 1883k|   0     0 |  20   695 
 15  53  14   0   0  19|   0     0 |  72M 2391k|   0     0 |  18   316 
 15  51  14   0   0  19|   0     0 |  73M 2452k|   0     0 |  19   438 
 18  46  18   0   0  19|   0    72k|  73M 2436k|   0     0 |  20   414 
 14  47  22   0   0  18|   0     0 |  73M 2411k|   0     0 |  18   363 
 17  41  21   0   0  21|   0     0 |  73M 2442k|   0     0 |  20   387 
 21  57   7   0   0  14|   0     0 |  73M 2387k|   0     0 |  18   255 
 18  40  22   0   0  19|   0     0 |  73M 2443k|   0     0 |  21   372 
 14  49  18   0   0  19|   0     0 |  73M 2440k|   0     0 |  18   337 
 14  51  16   0   0  19|   0     0 |  72M 2410k|   0     0 |  20   424 
 16  45  19   0   0  20|   0     0 |  74M 2458k|   0     0 |  18   354 
 12  50  19   0   0  19|   0     0 |  73M 2432k|   0     0 |  20   344 
 16  51  16   0   0  17|   0     0 |  73M 2436k|   0     0 |  19   367 
 16  57  10   0   0  17|   0     0 |  73M 2413k|   0     0 |  20   259 
 14  41  26   0   0  20|   0     0 |  73M 2418k|   0     0 |  18   407 
 15  53  17   0   0  15|   0     0 |  73M 2426k|   0     0 |  20   355 
 11  49  18   0   0  21|   0     0 |  73M 2432k|   0     0 |  18   335 
 17  49  14   0   0  20|   0     0 |  73M 2419k|   0     0 |  21   351 
 17  43  21   0   0  19|   0     0 |  73M 2426k|   0     0 |  18   444 
 15  42  19   0   0  24|   0     0 |  73M 2432k|   0     0 |  20   427 
 15  48  17   0   0  20|   0     0 |  73M 2450k|   0     0 |  18   376 
 18  48  15   0   0  18|   0     0 |  72M 2404k|   0     0 |  21   391 
 13  50  21   0   0  16|   0     0 |  73M 2435k|   0     0 |  18   395 
 15  47  16   0   0  22|   0     0 |  73M 2449k|   0     0 |  20   310 
 13  48  19   0   0  20|   0  4096B|  73M 2401k|   0     0 |  18   448 
 13  51  14   0   0  22|   0     0 |  73M 2439k|   0     0 |  20   328 
 17  51  14   0   0  17|   0     0 |  73M 2411k|   0     0 |  19   362 
 16  55  12   0   0  17|   0     0 |  73M 2428k|   0     0 |  20   331 
 15  45  17   0   0  23|   0     0 |  73M 2432k|   0     0 |  18   366 
 14  41  25   0   0  20|   0  4096B|  73M 2444k|   0     0 |  20   458 
 21  47  11   0   0  21|   0     0 |  73M 2397k|   0     0 |  18   332 
 12  49  19   0   0  19|   0     0 |  73M 2425k|   0     0 |  21   405 
 19  44  16   0   0  21|   0     0 |  73M 2423k|   0     0 |  18   389 
