[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  4   8  84   2   0   2|  18k  118k|   0     0 |   0     0 |  19   915 
  0   2  97   0   0   1|   0     0 | 373k   10M|   0     0 |  20  1555 
  1   5  94   0   0   0|   0     0 | 413k   11M|   0     0 |  19  1695 
  0   4  96   0   0   0|   0     0 | 410k   11M|   0     0 |  20  1670 
  2   5  93   0   0   0|   0     0 | 374k   10M|   0     0 |  18  1563 
  3   5  91   0   0   1|   0    24k| 416k   11M|   0     0 |  20  1730 
  1   6  92   0   0   1|   0     0 | 430k   12M|   0     0 |  18  1735 
  1   5  94   0   0   0|   0     0 | 389k   11M|   0     0 |  21  1568 
  2   3  95   0   0   0|   0     0 | 401k   11M|   0     0 |  18  1604 
  1   4  95   0   0   0|   0     0 | 423k   12M|   0     0 |  20  1808 
  0   3  97   0   0   0|   0     0 | 434k   12M|   0     0 |  18  1804 
  3   6  91   0   0   0|   0     0 | 419k   11M|   0     0 |  21  1710 
  0   2  98   0   0   0|   0     0 | 431k   12M|   0     0 |  18  1754 
  1   4  95   0   0   0|   0     0 | 433k   12M|   0     0 |  20  1843 
  2   4  93   0   0   1|   0     0 | 408k   11M|   0     0 |  18  1679 
  2   5  92   0   0   1|   0     0 | 446k   12M|   0     0 |  20  1842 
  1   5  91   3   0   0|   0    28k| 412k   11M|   0     0 |  19  1727 
  2   6  92   0   0   0|   0     0 | 453k   12M|   0     0 |  20  1912 
  4   4  92   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1855 
  1   3  96   0   0   0|   0     0 | 428k   12M|   0     0 |  20  1784 
  1   3  96   0   0   0|   0     0 | 436k   12M|   0     0 |  18  1838 
  1   6  92   0   0   1|   0     0 | 419k   12M|   0     0 |  21  1829 
  0   5  95   0   0   0|   0     0 | 339k 9645k|   0     0 |  18  1353 
  2   6  92   0   0   0|   0     0 | 411k   11M|   0     0 |  20  1751 
  3   7  89   0   0   1|   0     0 | 406k   11M|   0     0 |  18  1719 
  1   6  93   0   0   0|   0     0 | 419k   12M|   0     0 |  20  1665 
  3   1  96   0   0   0|   0     0 | 401k   11M|   0     0 |  19  1606 
  1   6  93   0   0   0|   0     0 | 397k   11M|   0     0 |  20  1637 
  2   6  92   0   0   0|   0     0 | 414k   11M|   0     0 |  18  1756 
  1   5  94   0   0   0|   0     0 | 395k   11M|   0     0 |  20  1738 
  1   3  96   0   0   0|   0     0 | 422k   12M|   0     0 |  18  1691 
  1   5  94   0   0   0|   0     0 | 383k   11M|   0     0 |  21  1540 
  2   2  95   0   0   1|   0     0 | 433k   12M|   0     0 |  18  1754 
  1   5  94   0   0   0|   0     0 | 437k   12M|   0     0 |  20  1885 
  1   5  93   0   0   1|   0     0 | 400k   11M|   0     0 |  18  1652 
  4   4  92   0   0   0|   0     0 | 438k   12M|   0     0 |  20  1926 
  1   6  93   0   0   0|   0  4096B| 428k   12M|   0     0 |  19  1754 
  1   2  96   0   0   1|   0     0 | 367k   10M|   0     0 |  20  1416 
  2   2  95   0   0   1|   0     0 | 223k 6180k|   0     0 |  18   982 
  2   7  91   0   0   0|   0     0 | 445k   12M|   0     0 |  20  1796 
  1   3  96   0   0   0|   0     0 | 415k   12M|   0     0 |  18  1733 
  1   6  93   0   0   0|   0     0 | 445k   12M|   0     0 |  21  1850 
  1   5  93   0   0   1|   0     0 | 432k   12M|   0     0 |  18  1817 
  2   4  94   0   0   0|   0     0 | 422k   12M|   0     0 |  20  1760 
  1   2  97   0   0   0|   0     0 | 440k   12M|   0     0 |  18  1942 
  1   6  92   0   0   1|   0     0 | 428k   12M|   0     0 |  19  1798 
  2   4  91   3   0   0|   0    32k| 425k   12M|   0     0 |  20  1785 
  0   3  96   0   0   1|   0    32k| 435k   12M|   0     0 |  18  1863 
  3   6  91   0   0   0|   0     0 | 405k   11M|   0     0 |  20  1622 
  0   4  96   0   0   0|   0     0 | 334k 9491k|   0     0 |  18  1390 
  1   4  95   0   0   0|   0     0 | 369k   10M|   0     0 |  21  1602 
  1   4  94   0   0   1|   0     0 | 427k   12M|   0     0 |  18  1790 
  1   7  91   0   0   1|   0     0 | 433k   12M|   0     0 |  20  1804 
  4   6  89   0   0   1|   0     0 | 425k   12M|   0     0 |  18  1760 
  1   4  95   0   0   0|   0     0 | 416k   12M|   0     0 |  20  1797 
  1   5  92   0   0   1|   0     0 | 440k   12M|   0     0 |  19  1907 
  2   6  92   0   0   0|   0     0 | 434k   12M|   0     0 |  20  1811 
  1   8  91   0   0   0|   0     0 | 431k   12M|   0     0 |  18  1754 
  0   3  97   0   0   0|   0     0 | 422k   12M|   0     0 |  20  1843 
  3   3  94   0   0   0|   0     0 | 369k   10M|   0     0 |  18  1549 
  2   2  95   0   0   1|   0     0 | 239k 6764k|   0     0 |  21  1037 
  1   3  95   0   0   1|   0     0 | 411k   11M|   0     0 |  18  1670 
  2   7  91   0   0   0|   0     0 | 425k   12M|   0     0 |  20  1762 
  0   5  95   0   0   0|   0     0 | 382k   11M|   0     0 |  18  1659 
  1   3  96   0   0   0|   0     0 | 294k 8371k|   0     0 |  20  1228 
  2   4  93   0   0   1|   0     0 | 420k   12M|   0     0 |  19  1857 
  2   4  94   0   0   0|   0     0 | 438k   12M|   0     0 |  20  1936 
  1   6  93   0   0   0|   0     0 | 392k   11M|   0     0 |  18  1568 
  2   5  93   0   0   0|   0     0 | 441k   12M|   0     0 |  20  1885 
  2   5  92   0   0   1|   0     0 | 415k   11M|   0     0 |  18  1694 
  3   4  93   0   0   0|   0     0 | 433k   12M|   0     0 |  21  1967 
  0   4  96   0   0   0|   0     0 | 352k   10M|   0     0 |  18  1481 
  3   5  92   0   0   0|   0     0 | 377k   10M|   0     0 |  20  1589 
  2   5  93   0   0   0|   0     0 | 386k   11M|   0     0 |  18  1633 
  2   7  90   0   0   1|   0     0 | 363k   10M|   0     0 |  20  1519 
  1   3  96   0   0   0|   0     0 | 420k   12M|   0     0 |  19  1807 
  2   5  91   2   0   0|   0    12k| 436k   12M|   0     0 |  20  1799 
  2   4  94   0   0   0|   0     0 | 422k   12M|   0     0 |  18  1705 
  2   4  94   0   0   0|   0  8192B| 449k   12M|   0     0 |  20  1818 
  1   1  98   0   0   0|   0     0 | 419k   12M|   0     0 |  19  1685 
  1   4  95   0   0   0|   0     0 | 438k   12M|   0     0 |  20  1920 
  2   5  93   0   0   0|   0     0 | 424k   12M|   0     0 |  18  1720 
  0   1  99   0   0   0|   0     0 | 377k   10M|   0     0 |  20  1525 
  2   4  94   0   0   0|   0     0 | 377k   10M|   0     0 |  18  1576 
  3   3  94   0   0   0|   0     0 | 398k   11M|   0     0 |  21  1688 
  1   5  94   0   0   0|   0     0 | 354k   10M|   0     0 |  18  1458 
  1   4  95   0   0   0|   0     0 | 391k   11M|   0     0 |  20  1610 
  1   2  96   0   0   1|   0     0 | 363k   10M|   0     0 |  18  1496 
  2   8  89   0   0   1|   0     0 | 409k   11M|   0     0 |  20  1770 
  0   4  96   0   0   0|   0     0 | 396k   11M|   0     0 |  19  1699 
  1   6  93   0   0   0|   0     0 | 412k   11M|   0     0 |  20  1676 
  2   6  92   0   0   0|   0     0 | 391k   11M|   0     0 |  18  1626 
  1   4  95   0   0   0|   0     0 | 437k   12M|   0     0 |  20  1905 
  1   5  94   0   0   0|   0     0 | 407k   11M|   0     0 |  18  1701 
  0   5  95   0   0   0|   0     0 | 402k   11M|   0     0 |  21  1675 
  2   4  94   0   0   0|   0     0 | 414k   11M|   0     0 |  18  1762 
  1   6  93   0   0   0|   0     0 | 420k   12M|   0     0 |  20  1722 
  0   6  94   0   0   0|   0     0 | 393k   11M|   0     0 |  18  1573 
  1   3  96   0   0   0|   0     0 | 432k   12M|   0     0 |  20  1755 
  1   5  93   0   0   1|   0     0 | 433k   12M|   0     0 |  19  1802 
  2   4  94   0   0   0|   0     0 | 307k 8725k|   0     0 |  20  1319 
