[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   2  94   1   0   2|  16k  116k|   0     0 |   0     0 | 396  1591 
  3   7  86   0   0   5|   0     0 |  24M  869k|   0     0 | 622  2835 
  4   5  86   0   0   5|   0     0 |  24M  861k|   0     0 | 640  2826 
  3   4  89   0   0   5|   0     0 |  24M  858k|   0     0 | 657  2829 
  4   7  86   0   0   4|   0     0 |  24M  865k|   0     0 | 638  2961 
  3   5  90   0   0   3|   0     0 |  24M  858k|   0     0 | 693  2937 
  2   6  89   0   0   3|   0     0 |  24M  858k|   0     0 | 667  2904 
  5   4  85   0   0   6|   0     0 |  24M  869k|   0     0 | 672  2935 
  3   6  87   0   0   5|   0     0 |  24M  859k|   0     0 | 624  2886 
  3   7  86   0   0   5|   0     0 |  24M  857k|   0     0 | 656  2935 
  4   6  85   0   0   5|   0     0 |  24M  860k|   0     0 | 662  2981 
  3   7  85   0   0   6|   0     0 |  24M  870k|   0     0 | 636  2961 
  4   6  87   0   0   3|   0     0 |  24M  857k|   0     0 | 704  3009 
  2   5  88   0   0   5|   0     0 |  24M  861k|   0     0 | 692  2963 
  3   5  88   0   0   4|   0     0 |  24M  862k|   0     0 | 673  2894 
  3   5  88   0   0   5|   0     0 |  24M  857k|   0     0 | 675  2911 
  4   4  88   0   0   4|   0     0 |  24M  861k|   0     0 | 656  2936 
  3   5  88   0   0   4|   0     0 |  24M  857k|   0     0 | 655  3048 
  5   5  85   0   0   5|   0     0 |  24M  858k|   0     0 | 675  2980 
  3   8  86   0   0   4|   0     0 |  24M  867k|   0     0 | 685  3050 
  3   5  86   1   0   5|   0    28k|  24M  860k|   0     0 | 638  3063 
  2   7  86   0   0   5|   0     0 |  24M  860k|   0     0 | 692  3035 
  5   5  86   0   0   4|   0  8192B|  24M  858k|   0     0 | 659  2991 
  4   6  87   0   0   3|   0     0 |  24M  860k|   0     0 | 674  2928 
  3   6  88   0   0   4|   0     0 |  24M  860k|   0     0 | 644  3029 
  3   8  87   0   0   3|   0     0 |  24M  862k|   0     0 | 700  3117 
  4   5  87   0   0   4|   0     0 |  25M  876k|   0     0 | 655  3054 
  2   7  89   0   0   3|   0   128k|  24M  860k|   0     0 | 724  3032 
  4   7  85   0   0   4|   0     0 |  24M  859k|   0     0 | 716  2977 
  3   6  88   0   0   4|   0     0 |  24M  860k|   0     0 | 707  2980 
  5   4  87   0   0   5|   0     0 |  24M  858k|   0     0 | 676  3054 
  2   7  87   0   0   5|   0     0 |  24M  860k|   0     0 | 678  2837 
  4   6  86   0   0   4|   0  8192B|  24M  860k|   0     0 | 669  2789 
  3   7  86   0   0   5|   0     0 |  24M  860k|   0     0 | 696  2896 
  4   6  87   0   0   4|   0     0 |  24M  866k|   0     0 | 630  2839 
  5   6  85   0   0   5|   0     0 |  24M  859k|   0     0 | 669  2919 
  3   7  86   0   0   5|   0     0 |  24M  865k|   0     0 | 675  2860 
  3   8  86   0   0   4|   0     0 |  24M  858k|   0     0 | 661  2874 
  2   5  88   0   0   6|   0     0 |  24M  859k|   0     0 | 636  2860 
  3   5  87   0   0   5|   0     0 |  24M  860k|   0     0 | 652  2894 
  3   6  88   0   0   3|   0     0 |  24M  859k|   0     0 | 710  2901 
  4   5  88   0   0   4|   0     0 |  24M  864k|   0     0 | 678  3089 
  3   7  86   0   0   4|   0     0 |  24M  858k|   0     0 | 587  2839 
  4   7  86   0   0   4|   0     0 |  24M  860k|   0     0 | 700  2914 
  3   5  89   0   0   4|   0     0 |  24M  866k|   0     0 | 664  2913 
  3   7  87   0   0   3|   0     0 |  24M  860k|   0     0 | 663  2940 
  4   5  87   0   0   4|   0     0 |  24M  860k|   0     0 | 660  2830 
  4   5  88   0   0   3|   0     0 |  24M  861k|   0     0 | 681  2984 
  4   6  86   0   0   4|   0     0 |  24M  862k|   0     0 | 594  2862 
  4   7  85   0   0   5|   0     0 |  24M  847k|   0     0 | 669  2874 
  4   6  85   1   0   5|   0    44k|  24M  847k|   0     0 | 673  2837 
  4   6  87   0   0   4|   0     0 |  24M  864k|   0     0 | 647  2963 
  3   7  88   0   0   3|   0    36k|  24M  862k|   0     0 | 699  2872 
  3   4  90   0   0   3|   0     0 |  24M  845k|   0     0 | 578  2772 
  3   5  89   0   0   4|   0     0 |  24M  866k|   0     0 | 702  2938 
  4   4  89   0   0   3|   0     0 |  24M  864k|   0     0 | 630  2937 
  3   6  88   0   0   4|   0     0 |  24M  860k|   0     0 | 677  2885 
  2   5  89   0   0   4|   0     0 |  24M  855k|   0     0 | 638  2737 
  4   7  86   0   0   4|   0     0 |  24M  860k|   0     0 | 669  2925 
  4   7  87   0   0   3|   0     0 |  24M  863k|   0     0 | 653  3058 
  4   7  86   0   0   4|   0     0 |  23M  831k|   0     0 | 616  2828 
  3   5  85   0   0   7|   0     0 |  25M  884k|   0     0 | 686  2838 
  3   5  87   0   0   5|   0     0 |  24M  861k|   0     0 | 666  2829 
  3   6  86   0   0   4|   0    16k|  24M  856k|   0     0 | 634  2925 
  4   5  88   0   0   2|   0     0 |  24M  861k|   0     0 | 629  2805 
  4   6  86   0   0   5|   0     0 |  24M  863k|   0     0 | 687  2963 
  3   7  87   0   0   3|   0     0 |  24M  859k|   0     0 | 638  2995 
  4   6  86   0   0   4|   0     0 |  24M  860k|   0     0 | 702  2968 
  5   5  85   0   0   6|   0     0 |  24M  859k|   0     0 | 691  2974 
  3   6  88   0   0   4|   0     0 |  24M  860k|   0     0 | 671  3008 
  4   7  85   0   0   5|   0     0 |  24M  862k|   0     0 | 707  2854 
  4   5  87   0   0   5|   0     0 |  24M  864k|   0     0 | 717  2927 
  4   6  86   0   0   4|   0     0 |  24M  854k|   0     0 | 663  2868 
  3   6  87   0   0   4|   0     0 |  24M  860k|   0     0 | 708  2864 
  5   6  86   0   0   4|   0     0 |  24M  864k|   0     0 | 686  2860 
  2   7  88   0   0   3|   0     0 |  24M  859k|   0     0 | 676  2954 
  4   5  88   0   0   3|   0     0 |  24M  857k|   0     0 | 655  2861 
  4   7  85   0   0   4|   0     0 |  24M  871k|   0     0 | 654  3060 
  2   5  91   0   0   2|   0     0 |  22M  782k|   0     0 | 577  2836 
  3   5  89   0   0   4|   0     0 |  22M  783k|   0     0 | 574  2736 
  4   4  87   1   0   4|   0    20k|  24M  862k|   0     0 | 652  2907 
  4   4  87   0   0   5|   0     0 |  24M  859k|   0     0 | 646  2914 
  3   7  88   0   0   3|   0     0 |  24M  859k|   0     0 | 695  3014 
  5   6  86   0   0   4|   0     0 |  24M  861k|   0     0 | 640  2903 
  3   7  87   0   0   4|   0     0 |  24M  859k|   0     0 | 630  2992 
  2   7  89   0   0   3|   0     0 |  24M  860k|   0     0 | 721  2988 
  3   5  88   0   0   5|   0     0 |  24M  862k|   0     0 | 636  2977 
  3   4  89   0   0   4|   0     0 |  24M  858k|   0     0 | 624  2917 
  3   5  90   0   0   3|   0     0 |  24M  859k|   0     0 | 710  2867 
  2   5  90   0   0   3|   0     0 |  21M  752k|   0     0 | 684  2580 
  1   5  91   0   0   3|   0     0 |  20M  703k|   0     0 | 668  2361 
  4   5  88   0   0   4|   0     0 |  24M  858k|   0     0 | 617  2905 
  3   7  88   0   0   3|   0     0 |  24M  864k|   0     0 | 640  2890 
  3   7  86   0   0   4|   0     0 |  24M  858k|   0     0 | 641  2936 
  4   8  86   0   0   3|   0     0 |  24M  863k|   0     0 | 661  2984 
