1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         178.68          ---          ---      5.81500       721.77 
Gets         178.68       178.62         0.06      5.36500       723.53 
Waits          0.00          ---          ---      0.00000          --- 
Totals       357.36       178.62         0.06      5.59000      1445.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.11
SET       1.800         0.39
SET       1.900         0.77
SET       2.000         1.54
SET       2.100         2.65
SET       2.200         4.28
SET       2.300         6.09
SET       2.400         8.32
SET       2.500        10.98
SET       2.600        13.46
SET       2.700        16.12
SET       2.800        18.49
SET       2.900        20.89
SET       3.000        23.12
SET       3.100        25.38
SET       3.200        27.61
SET       3.300        29.57
SET       3.400        31.51
SET       3.500        33.24
SET       3.600        35.05
SET       3.700        36.68
SET       3.800        38.12
SET       3.900        39.40
SET       4.000        40.57
SET       4.100        41.71
SET       4.200        42.67
SET       4.300        43.59
SET       4.400        44.40
SET       4.500        45.21
SET       4.600        45.95
SET       4.700        46.56
SET       4.800        47.17
SET       4.900        47.92
SET       5.000        48.41
SET       5.100        48.96
SET       5.200        49.52
SET       5.300        50.03
SET       5.400        50.52
SET       5.500        51.00
SET       5.600        51.37
SET       5.700        51.77
SET       5.800        52.32
SET       5.900        52.79
SET       6.000        53.25
SET       6.100        53.75
SET       6.200        54.39
SET       6.300        54.89
SET       6.400        55.47
SET       6.500        56.05
SET       6.600        56.81
SET       6.700        57.45
SET       6.800        58.31
SET       6.900        59.13
SET       7.000        60.14
SET       7.100        61.02
SET       7.200        62.14
SET       7.300        63.34
SET       7.400        64.45
SET       7.500        65.86
SET       7.600        67.60
SET       7.700        69.49
SET       7.800        71.44
SET       7.900        73.21
SET       8.000        75.23
SET       8.100        77.09
SET       8.200        78.60
SET       8.300        80.36
SET       8.400        82.08
SET       8.500        83.40
SET       8.600        84.64
SET       8.700        85.81
SET       8.800        86.79
SET       8.900        87.74
SET       9.000        88.61
SET       9.100        89.50
SET       9.200        90.28
SET       9.300        90.97
SET       9.400        91.53
SET       9.500        92.02
SET       9.600        92.49
SET       9.700        92.95
SET       9.800        93.35
SET       9.900        93.72
SET      10.000        95.23
SET      11.000        96.87
SET      12.000        97.80
SET      13.000        98.45
SET      14.000        98.98
SET      15.000        99.30
SET      16.000        99.56
SET      17.000        99.74
SET      18.000        99.83
SET      19.000        99.90
SET      20.000        99.94
SET      22.000        99.95
SET      24.000        99.98
SET      25.000        99.98
SET      27.000        99.99
SET      29.000       100.00
---
GET       1.300         0.06
GET       1.400         0.15
GET       1.500         0.58
GET       1.600         1.26
GET       1.700         2.51
GET       1.800         4.52
GET       1.900         7.05
GET       2.000         9.89
GET       2.100        12.76
GET       2.200        15.92
GET       2.300        18.63
GET       2.400        21.18
GET       2.500        23.42
GET       2.600        25.21
GET       2.700        26.98
GET       2.800        28.60
GET       2.900        29.93
GET       3.000        31.03
GET       3.100        31.98
GET       3.200        32.86
GET       3.300        33.69
GET       3.400        34.49
GET       3.500        35.09
GET       3.600        35.81
GET       3.700        36.57
GET       3.800        37.21
GET       3.900        37.75
GET       4.000        38.28
GET       4.100        38.76
GET       4.200        39.21
GET       4.300        39.79
GET       4.400        40.32
GET       4.500        40.91
GET       4.600        41.39
GET       4.700        42.12
GET       4.800        42.80
GET       4.900        43.57
GET       5.000        44.33
GET       5.100        45.07
GET       5.200        45.92
GET       5.300        46.63
GET       5.400        47.50
GET       5.500        48.64
GET       5.600        49.51
GET       5.700        50.58
GET       5.800        51.74
GET       5.900        53.04
GET       6.000        54.22
GET       6.100        55.47
GET       6.200        56.71
GET       6.300        57.85
GET       6.400        59.36
GET       6.500        60.81
GET       6.600        62.48
GET       6.700        64.33
GET       6.800        66.06
GET       6.900        67.79
GET       7.000        69.72
GET       7.100        71.46
GET       7.200        73.42
GET       7.300        75.11
GET       7.400        76.85
GET       7.500        78.84
GET       7.600        80.69
GET       7.700        82.53
GET       7.800        84.36
GET       7.900        85.94
GET       8.000        87.26
GET       8.100        88.38
GET       8.200        89.52
GET       8.300        90.48
GET       8.400        91.34
GET       8.500        92.05
GET       8.600        92.71
GET       8.700        93.28
GET       8.800        93.79
GET       8.900        94.27
GET       9.000        94.70
GET       9.100        95.02
GET       9.200        95.31
GET       9.300        95.65
GET       9.400        95.92
GET       9.500        96.15
GET       9.600        96.31
GET       9.700        96.51
GET       9.800        96.68
GET       9.900        96.79
GET      10.000        97.54
GET      11.000        98.41
GET      12.000        98.80
GET      13.000        99.10
GET      14.000        99.34
GET      15.000        99.53
GET      16.000        99.70
GET      17.000        99.86
GET      18.000        99.90
GET      19.000        99.92
GET      20.000        99.94
GET      21.000        99.96
GET      22.000        99.97
GET      23.000        99.98
GET      50.000        99.99
GET      52.000       100.00
---
