1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         199.12          ---          ---      5.23600       804.34 
Gets         199.11       199.04         0.07      4.79500       806.21 
Waits          0.00          ---          ---      0.00000          --- 
Totals       398.23       199.04         0.07      5.01500      1610.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.02
SET       1.600         0.09
SET       1.700         0.17
SET       1.800         0.59
SET       1.900         1.34
SET       2.000         2.53
SET       2.100         4.51
SET       2.200         6.64
SET       2.300         9.40
SET       2.400        12.29
SET       2.500        15.51
SET       2.600        18.94
SET       2.700        21.99
SET       2.800        24.96
SET       2.900        27.65
SET       3.000        30.46
SET       3.100        33.08
SET       3.200        35.20
SET       3.300        37.18
SET       3.400        39.01
SET       3.500        40.38
SET       3.600        41.91
SET       3.700        43.45
SET       3.800        44.74
SET       3.900        45.97
SET       4.000        47.16
SET       4.100        48.06
SET       4.200        48.92
SET       4.300        49.81
SET       4.400        50.53
SET       4.500        51.10
SET       4.600        51.74
SET       4.700        52.38
SET       4.800        53.01
SET       4.900        53.53
SET       5.000        54.11
SET       5.100        54.65
SET       5.200        55.21
SET       5.300        55.73
SET       5.400        56.25
SET       5.500        56.78
SET       5.600        57.41
SET       5.700        57.93
SET       5.800        58.40
SET       5.900        59.09
SET       6.000        59.74
SET       6.100        60.59
SET       6.200        61.27
SET       6.300        62.08
SET       6.400        62.95
SET       6.500        64.01
SET       6.600        64.92
SET       6.700        66.10
SET       6.800        67.34
SET       6.900        68.78
SET       7.000        70.23
SET       7.100        71.67
SET       7.200        73.17
SET       7.300        74.85
SET       7.400        76.46
SET       7.500        78.19
SET       7.600        79.93
SET       7.700        81.50
SET       7.800        83.05
SET       7.900        84.40
SET       8.000        85.62
SET       8.100        86.85
SET       8.200        87.73
SET       8.300        88.75
SET       8.400        89.63
SET       8.500        90.43
SET       8.600        91.01
SET       8.700        91.67
SET       8.800        92.17
SET       8.900        92.77
SET       9.000        93.22
SET       9.100        93.57
SET       9.200        93.92
SET       9.300        94.23
SET       9.400        94.61
SET       9.500        94.91
SET       9.600        95.21
SET       9.700        95.41
SET       9.800        95.62
SET       9.900        95.85
SET      10.000        96.93
SET      11.000        98.01
SET      12.000        98.59
SET      13.000        98.95
SET      14.000        99.27
SET      15.000        99.54
SET      16.000        99.68
SET      17.000        99.82
SET      18.000        99.86
SET      19.000        99.92
SET      20.000        99.93
SET      21.000        99.94
SET      22.000        99.95
SET      23.000        99.96
SET      24.000        99.97
SET      26.000        99.98
SET      30.000        99.99
SET      31.000        99.99
SET      52.000       100.00
---
GET       1.100         0.01
GET       1.300         0.09
GET       1.400         0.39
GET       1.500         1.10
GET       1.600         2.43
GET       1.700         4.68
GET       1.800         7.68
GET       1.900        11.33
GET       2.000        15.31
GET       2.100        19.15
GET       2.200        22.61
GET       2.300        25.85
GET       2.400        28.38
GET       2.500        30.60
GET       2.600        32.38
GET       2.700        33.90
GET       2.800        35.26
GET       2.900        36.27
GET       3.000        37.16
GET       3.100        38.18
GET       3.200        39.03
GET       3.300        39.80
GET       3.400        40.38
GET       3.500        41.02
GET       3.600        41.61
GET       3.700        42.14
GET       3.800        42.77
GET       3.900        43.36
GET       4.000        43.92
GET       4.100        44.38
GET       4.200        44.96
GET       4.300        45.63
GET       4.400        46.28
GET       4.500        47.01
GET       4.600        47.74
GET       4.700        48.46
GET       4.800        49.23
GET       4.900        50.01
GET       5.000        50.88
GET       5.100        51.64
GET       5.200        52.62
GET       5.300        53.44
GET       5.400        54.49
GET       5.500        55.67
GET       5.600        56.95
GET       5.700        58.14
GET       5.800        59.41
GET       5.900        60.92
GET       6.000        62.33
GET       6.100        63.80
GET       6.200        65.47
GET       6.300        67.07
GET       6.400        68.83
GET       6.500        70.76
GET       6.600        72.75
GET       6.700        74.94
GET       6.800        76.80
GET       6.900        78.88
GET       7.000        80.81
GET       7.100        82.85
GET       7.200        84.70
GET       7.300        86.40
GET       7.400        87.95
GET       7.500        89.19
GET       7.600        90.23
GET       7.700        91.27
GET       7.800        92.16
GET       7.900        92.96
GET       8.000        93.67
GET       8.100        94.19
GET       8.200        94.73
GET       8.300        95.13
GET       8.400        95.54
GET       8.500        95.89
GET       8.600        96.17
GET       8.700        96.43
GET       8.800        96.69
GET       8.900        96.89
GET       9.000        97.09
GET       9.100        97.30
GET       9.200        97.41
GET       9.300        97.58
GET       9.400        97.70
GET       9.500        97.84
GET       9.600        97.95
GET       9.700        98.04
GET       9.800        98.09
GET       9.900        98.16
GET      10.000        98.62
GET      11.000        99.02
GET      12.000        99.30
GET      13.000        99.53
GET      14.000        99.74
GET      15.000        99.89
GET      16.000        99.94
GET      17.000        99.95
GET      18.000        99.97
GET      20.000        99.98
GET      21.000        99.99
GET      52.000       100.00
---
