1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          82.74          ---          ---     11.17900       334.23 
Gets          82.71      1477.21        11.63     12.97900      5970.06 
Waits          0.00          ---          ---      0.00000          --- 
Totals       165.46      1477.21        11.63     12.07900      6304.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.700         0.02
SET       1.800         0.05
SET       1.900         0.10
SET       2.000         0.26
SET       2.100         0.45
SET       2.200         0.60
SET       2.300         1.00
SET       2.400         1.48
SET       2.500         2.05
SET       2.600         2.76
SET       2.700         3.42
SET       2.800         4.26
SET       2.900         4.92
SET       3.000         5.68
SET       3.100         6.34
SET       3.200         6.99
SET       3.300         7.58
SET       3.400         8.32
SET       3.500         8.75
SET       3.600         9.34
SET       3.700         9.86
SET       3.800        10.46
SET       3.900        10.95
SET       4.000        11.48
SET       4.100        12.07
SET       4.200        12.64
SET       4.300        13.14
SET       4.400        13.64
SET       4.500        14.17
SET       4.600        14.54
SET       4.700        15.19
SET       4.800        15.62
SET       4.900        16.02
SET       5.000        16.51
SET       5.100        17.06
SET       5.200        17.58
SET       5.300        18.01
SET       5.400        18.49
SET       5.500        19.08
SET       5.600        19.44
SET       5.700        19.99
SET       5.800        20.55
SET       5.900        21.05
SET       6.000        21.53
SET       6.100        22.10
SET       6.200        22.63
SET       6.300        23.20
SET       6.400        23.90
SET       6.500        24.45
SET       6.600        25.05
SET       6.700        25.69
SET       6.800        26.43
SET       6.900        27.18
SET       7.000        27.85
SET       7.100        28.54
SET       7.200        29.25
SET       7.300        30.01
SET       7.400        30.65
SET       7.500        31.61
SET       7.600        32.54
SET       7.700        33.55
SET       7.800        34.51
SET       7.900        35.22
SET       8.000        35.89
SET       8.100        36.74
SET       8.200        37.66
SET       8.300        38.69
SET       8.400        39.40
SET       8.500        40.19
SET       8.600        41.23
SET       8.700        42.09
SET       8.800        42.78
SET       8.900        43.44
SET       9.000        44.23
SET       9.100        44.84
SET       9.200        45.51
SET       9.300        46.41
SET       9.400        47.36
SET       9.500        48.22
SET       9.600        48.93
SET       9.700        49.62
SET       9.800        50.17
SET       9.900        50.85
SET      10.000        53.66
SET      11.000        58.29
SET      12.000        62.43
SET      13.000        66.73
SET      14.000        72.03
SET      15.000        79.56
SET      16.000        84.79
SET      17.000        87.17
SET      18.000        88.47
SET      19.000        90.14
SET      20.000        91.56
SET      21.000        92.85
SET      22.000        94.04
SET      23.000        95.17
SET      24.000        95.87
SET      25.000        96.37
SET      26.000        96.81
SET      27.000        97.29
SET      28.000        97.58
SET      29.000        98.17
SET      30.000        98.93
SET      31.000        99.45
SET      32.000        99.53
SET      33.000        99.59
SET      34.000        99.79
SET      35.000        99.83
SET      36.000        99.93
SET      37.000        99.95
SET      38.000        99.97
SET      40.000        99.98
SET      46.000       100.00
---
GET       2.000         0.02
GET       2.100         0.09
GET       2.200         0.10
GET       2.300         0.22
GET       2.400         0.40
GET       2.500         0.69
GET       2.600         0.97
GET       2.700         1.19
GET       2.800         1.68
GET       2.900         2.23
GET       3.000         2.80
GET       3.100         3.30
GET       3.200         3.92
GET       3.300         4.58
GET       3.400         5.30
GET       3.500         6.03
GET       3.600         6.61
GET       3.700         7.41
GET       3.800         8.48
GET       3.900         9.12
GET       4.000        10.05
GET       4.100        10.73
GET       4.200        11.30
GET       4.300        12.12
GET       4.400        12.87
GET       4.500        13.45
GET       4.600        14.25
GET       4.700        14.89
GET       4.800        15.44
GET       4.900        15.92
GET       5.000        16.61
GET       5.100        17.15
GET       5.200        17.65
GET       5.300        18.26
GET       5.400        18.72
GET       5.500        19.15
GET       5.600        19.74
GET       5.700        20.26
GET       5.800        20.62
GET       5.900        21.09
