[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  92   1   0   0|  48k 1090k|   0     0 |   0     0 | 554  2004 
 20   4  75   0   0   1|   0     0 |  11M   12M|   0     0 |1251  3652 
 17   3  79   0   0   1|   0     0 |  19M   20M|   0     0 |1453  5328 
 12   4  84   0   0   1|   0     0 |  19M   20M|   0     0 |1167  4883 
 14   4  81   0   0   1|   0     0 |  19M   20M|   0     0 |1183  4770 
 11   4  84   0   0   1|   0     0 |  19M   20M|   0     0 |1155  4493 
 12   4  84   0   0   1|   0     0 |  19M   20M|   0     0 |1304  4462 
 13   3  82   0   0   1|   0     0 |  19M   20M|   0     0 |1219  4260 
 11   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1114  4566 
 11   4  85   0   0   1|   0     0 |  19M   21M|   0     0 |1198  4465 
 12   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1313  4776 
 20   4  75   0   0   1|   0     0 |  19M   20M|   0     0 |1417  4634 
 15   3  81   0   0   0|   0     0 |  19M   21M|   0     0 |1335  4706 
 19   4  76   0   0   1|   0     0 |  18M   19M|   0     0 |1369  4330 
 10   4  85   0   0   1|   0     0 |  19M   20M|   0     0 |1238  4555 
 12   3  85   0   0   0|   0     0 |  19M   20M|   0     0 |1253  4604 
 11   3  85   0   0   0|   0     0 |  19M   20M|   0     0 |1263  4438 
 11   4  85   0   0   1|   0    20k|  20M   21M|   0     0 |1552  4907 
 10   3  86   0   0   1|   0     0 |  19M   20M|   0     0 |1414  4414 
 10   3  86   0   0   0|   0     0 |  18M   19M|   0     0 |1323  4394 
 10   3  86   0   0   1|   0     0 |  19M   20M|   0     0 |1319  4452 
 11   4  85   0   0   0|   0     0 |  19M   21M|   0     0 |1367  4403 
 11   4  85   0   0   1|   0     0 |  19M   20M|   0     0 |1268  4134 
 11   4  85   0   0   0|   0     0 |  19M   20M|   0     0 |1395  4121 
 12   3  84   0   0   0|   0     0 |  19M   20M|   0     0 |1422  4322 
 12   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1397  4286 
 11   3  85   0   0   0|   0     0 |  18M   20M|   0     0 |1369  4170 
 12   3  85   0   0   1|   0    32k|  19M   20M|   0     0 |1409  4260 
 11   4  84   0   0   1|   0     0 |  20M   22M|   0     0 |1409  4485 
 12   3  85   0   0   0|   0     0 |  19M   20M|   0     0 |1420  4496 
 11   3  86   0   0   0|   0     0 |  19M   20M|   0     0 |1389  4487 
 11   3  85   0   0   1|   0    24k|  19M   20M|   0     0 |1412  4512 
 10   4  86   0   0   0|   0    36k|  18M   20M|   0     0 |1364  4389 
 11   3  86   0   0   0|   0     0 |  19M   21M|   0     0 |1352  4664 
 10   4  86   0   0   1|   0     0 |  19M   20M|   0     0 |1237  4452 
 10   3  86   0   0   1|   0     0 |  19M   20M|   0     0 |1206  4400 
 11   4  85   0   0   0|   0     0 |  19M   21M|   0     0 |1251  4751 
 10   4  85   0   0   1|   0     0 |  19M   20M|   0     0 |1299  4462 
 11   4  85   0   0   0|   0     0 |  20M   21M|   0     0 |1351  4542 
 11   3  85   0   0   1|   0     0 |  19M   21M|   0     0 |1438  4864 
 11   4  85   0   0   0|   0     0 |  19M   20M|   0     0 |1393  4563 
 10   4  86   0   0   0|   0     0 |  19M   20M|   0     0 |1400  4621 
 10   4  86   0   0   1|   0     0 |  19M   20M|   0     0 |1206  4194 
 11   4  85   0   0   0|   0     0 |  20M   22M|   0     0 |1314  4569 
 10   4  85   0   0   0|   0     0 |  19M   21M|   0     0 |1431  4424 
 12   4  84   0   0   1|   0     0 |  18M   19M|   0     0 |1399  4236 
 10   4  86   0   0   1|   0     0 |  20M   21M|   0     0 |1405  4323 
 11   3  85   0   0   1|   0     0 |  19M   21M|   0     0 |1343  4281 
 11   4  85   0   0   1|   0     0 |  20M   21M|   0     0 |1320  4595 
 11   3  85   0   0   1|   0     0 |  19M   21M|   0     0 |1514  4819 
 10   3  86   0   0   0|   0     0 |  18M   19M|   0     0 |1327  4246 
 11   4  85   0   0   0|   0     0 |  20M   21M|   0     0 |1402  4704 
 12   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1458  4567 
 11   4  85   0   0   0|   0     0 |  19M   20M|   0     0 |1454  4114 
 11   4  85   0   0   0|   0     0 |  20M   21M|   0     0 |1380  4354 
 10   4  85   0   0   1|   0     0 |  19M   20M|   0     0 |1287  4218 
 10   4  86   0   0   0|   0     0 |  19M   20M|   0     0 |1302  4257 
 11   3  86   0   0   1|   0     0 |  20M   21M|   0     0 |1232  4136 
 11   3  86   0   0   1|   0    20k|  20M   21M|   0     0 |1338  4177 
 11   4  84   0   0   1|   0     0 |  20M   21M|   0     0 |1372  4387 
 11   3  86   0   0   0|   0     0 |  18M   20M|   0     0 |1252  4141 
 12   3  84   1   0   0|   0    24k|  19M   21M|   0     0 |1253  4195 
 12   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1229  4202 
 11   3  85   0   0   1|   0  8192B|  20M   21M|   0     0 |1256  4221 
 11   3  85   0   0   1|   0     0 |  19M   20M|   0     0 |1215  4058 
 10   3  86   0   0   1|   0     0 |  19M   20M|   0     0 |1192  3926 
 12   3  85   0   0   0|   0     0 |  19M   20M|   0     0 |1160  4155 
 11   3  86   0   0   1|   0     0 |  18M   20M|   0     0 |1177  3974 
 11   3  86   0   0   0|   0  8192B|  19M   20M|   0     0 |1202  4132 
 11   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1334  4505 
 11   4  84   0   0   0|   0     0 |  20M   22M|   0     0 |1278  4482 
