Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,35,0.010556,144777,34,0.018313,2512049,5,607,0,0.000000
1,43,0.009862,177868,43,0.013076,3178314,6,768,0,0.000000
2,39,0.010771,161321,39,0.015251,2884511,5,697,0,0.000000
3,42,0.010780,173729,42,0.012982,3107916,5,751,0,0.000000
4,40,0.011098,165456,40,0.013906,2942483,9,711,0,0.000000
5,45,0.009242,186136,45,0.012589,3331421,5,805,0,0.000000
6,39,0.011454,161320,39,0.014395,2896836,2,700,0,0.000000
7,44,0.010230,181997,45,0.012485,3314913,9,801,0,0.000000
8,43,0.009521,177869,42,0.013886,3103867,6,750,0,0.000000
9,46,0.009754,190270,46,0.012057,3401764,6,822,0,0.000000
10,39,0.010643,161323,39,0.014788,2888616,4,698,0,0.000000
11,39,0.010755,161323,40,0.014373,2950731,7,713,0,0.000000
12,42,0.009597,173731,42,0.014024,3103850,6,750,0,0.000000
13,43,0.009002,177869,43,0.014642,3170082,8,766,0,0.000000
14,42,0.010580,173726,42,0.013212,3116235,3,753,0,0.000000
15,37,0.011378,153049,37,0.015628,2743727,3,663,0,0.000000
16,40,0.011094,165458,40,0.013857,2971348,2,718,0,0.000000
17,44,0.009492,182000,43,0.013552,3174227,7,767,0,0.000000
18,41,0.009838,169590,41,0.014608,3029336,6,732,0,0.000000
19,41,0.011052,169590,42,0.012935,3091447,9,747,0,0.000000
20,45,0.010559,186139,44,0.011985,3232185,11,781,0,0.000000
21,41,0.010249,169584,41,0.013919,3025229,7,731,0,0.000000
22,45,0.009498,186133,45,0.012816,3339669,3,807,0,0.000000
23,43,0.010207,177864,43,0.013061,3174231,7,767,0,0.000000
24,41,0.010910,169587,42,0.013124,3099734,7,749,0,0.000000
25,45,0.008750,186144,45,0.013553,3331425,5,805,0,0.000000
26,41,0.008868,169593,41,0.015434,3008735,11,727,0,0.000000
27,46,0.009354,190268,45,0.012594,3314891,9,801,0,0.000000
28,39,0.009536,161313,40,0.015714,2963112,4,716,0,0.000000
29,45,0.008299,186143,45,0.013923,3323175,7,803,0,0.000000
30,42,0.008637,173723,42,0.014999,3107917,5,751,0,0.000000
31,42,0.008548,173724,42,0.015228,3107945,5,751,0,0.000000
32,40,0.010015,165455,40,0.015172,2975483,1,719,0,0.000000
33,39,0.010144,161318,39,0.015448,2892719,3,699,0,0.000000
34,45,0.009899,186133,44,0.012546,3248693,7,785,0,0.000000
35,41,0.011133,169593,42,0.012993,3112074,4,752,0,0.000000
36,39,0.011775,161320,39,0.013770,2884497,5,697,0,0.000000
37,44,0.011359,182002,43,0.011621,3157665,11,763,0,0.000000
38,42,0.010550,173728,43,0.012955,3190707,3,771,0,0.000000
39,42,0.011411,173727,41,0.012793,3016967,9,729,0,0.000000
40,41,0.010969,169590,41,0.013262,3037614,4,734,0,0.000000
41,41,0.011105,169595,41,0.013296,3033445,5,733,0,0.000000
42,41,0.009541,169588,42,0.014506,3083189,11,745,0,0.000000
43,42,0.008584,173722,41,0.015528,3012836,10,728,0,0.000000
44,45,0.008298,186136,45,0.013980,3323183,7,803,0,0.000000
45,41,0.009468,169590,42,0.014487,3112108,4,752,0,0.000000
46,46,0.008979,190279,45,0.013014,3335522,4,806,0,0.000000
47,42,0.009406,173733,43,0.013990,3198915,1,773,0,0.000000
48,42,0.009950,173728,41,0.014172,3045840,2,736,0,0.000000
49,45,0.010319,186141,45,0.011989,3323167,7,803,0,0.000000
50,45,0.010038,186139,46,0.011751,3410028,4,824,0,0.000000
51,41,0.010477,169594,40,0.014383,2950709,7,713,0,0.000000
52,40,0.011579,165454,40,0.013445,2942469,9,711,0,0.000000
53,39,0.010035,161316,40,0.015214,2942455,9,711,0,0.000000
54,40,0.010811,165456,39,0.014322,2892713,3,699,0,0.000000
55,42,0.011235,173733,42,0.012563,3087328,10,746,0,0.000000
56,44,0.009602,182008,45,0.012962,3314881,9,801,0,0.000000
57,42,0.008984,173726,41,0.015183,3033473,5,733,0,0.000000
58,38,0.009901,157178,39,0.015981,2876231,7,695,0,0.000000
59,44,0.008809,182001,43,0.014203,3182433,5,769,0,0.000000
60,40,0.009124,165464,40,0.015545,2963088,4,716,0,0.000000
61,45,0.007771,186136,46,0.014479,3397677,7,821,0,0.000000
62,43,0.009394,177862,42,0.014101,3107965,5,751,0,0.000000
63,43,0.009902,177863,43,0.013314,3190701,3,771,0,0.000000
64,45,0.010200,186143,45,0.012043,3327306,6,804,0,0.000000
65,44,0.010355,182005,45,0.012157,3323175,7,803,0,0.000000
66,45,0.010141,186133,45,0.011976,3331425,5,805,0,0.000000
67,46,0.010947,190279,45,0.011029,3323141,7,803,0,0.000000
68,40,0.009330,165459,41,0.015272,3041743,3,735,0,0.000000
69,62,0.007148,256441,61,0.008895,4510888,8,1090,0,0.000000
70,0,0.000000,0,1,0.018435,74494,0,18,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   2.700,0.07
   2.800,0.20
   2.900,0.30
   3.000,0.40
   3.100,0.54
   3.200,0.81
   3.300,1.01
   3.400,1.25
   3.500,1.35
   3.600,1.69
   3.700,2.09
   3.800,2.43
   3.900,2.70
   4.000,3.24
   4.100,3.71
   4.200,3.95
   4.300,4.15
   4.400,4.52
   4.500,4.89
   4.600,5.53
   4.700,5.73
   4.800,6.24
   4.900,6.44
   5.000,6.68
   5.100,7.02
   5.200,7.55
   5.300,7.89
   5.400,8.33
   5.500,8.57
   5.600,8.84
   5.700,9.14
   5.800,9.48
   5.900,9.75
   6.000,10.08
   6.100,10.42
   6.200,10.73
   6.300,11.06
   6.400,11.40
   6.500,11.64
   6.600,12.18
   6.700,12.45
   6.800,12.65
   6.900,13.22
   7.000,13.66
   7.100,14.00
   7.200,14.47
   7.300,15.04
   7.400,15.31
   7.500,15.92
   7.600,16.19
   7.700,16.56
   7.800,17.07
   7.900,17.64
   8.000,18.15
   8.100,18.89
   8.200,19.39
   8.300,19.83
   8.400,20.37
   8.500,20.84
   8.600,21.48
   8.700,21.99
   8.800,22.73
   8.900,23.10
   9.000,23.88
   9.100,24.49
   9.200,25.03
   9.300,25.73
   9.400,26.27
   9.500,26.71
   9.600,27.22
   9.700,27.69
   9.800,28.53
   9.900,29.24
  10.000,31.80
  11.000,36.73
  12.000,42.02
  13.000,47.18
  14.000,51.87
  15.000,60.27
  16.000,74.54
  17.000,82.97
  18.000,87.18
  19.000,90.12
  20.000,91.94
  21.000,93.32
  22.000,94.44
  23.000,95.24
  24.000,96.02
  25.000,96.86
  26.000,97.44
  27.000,97.84
  28.000,98.08
  29.000,98.25
  30.000,98.62
  31.000,98.82
  32.000,99.12
  33.000,99.22
  34.000,99.36
  35.000,99.43
  36.000,99.46
  46.000,99.49
  52.000,99.53
  54.000,99.56
  55.000,99.66
  56.000,99.73
  57.000,99.80
  59.000,99.83
  62.000,99.87
  63.000,99.90
  64.000,99.93
  71.000,99.97
  77.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent
   1.800,0.07
   1.900,0.17
   2.000,0.37
   2.100,0.67
   2.200,1.15
   2.300,1.52
   2.400,2.46
   2.500,3.14
   2.600,4.08
   2.700,5.06
   2.800,6.00
   2.900,7.25
   3.000,8.50
   3.100,9.31
   3.200,10.19
   3.300,11.13
   3.400,12.01
   3.500,12.78
   3.600,13.76
   3.700,14.37
   3.800,15.14
   3.900,15.92
   4.000,16.42
   4.100,17.23
   4.200,17.81
   4.300,18.55
   4.400,19.22
   4.500,19.66
   4.600,20.13
   4.700,20.64
   4.800,21.28
   4.900,21.72
   5.000,22.29
   5.100,22.87
   5.200,23.41
   5.300,23.95
   5.400,24.49
   5.500,24.92
   5.600,25.43
   5.700,25.90
   5.800,26.41
   5.900,26.78
   6.000,27.15
   6.100,27.59
   6.200,27.99
   6.300,28.53
   6.400,29.34
   6.500,30.05
   6.600,30.79
   6.700,31.33
   6.800,31.94
   6.900,32.48
   7.000,32.92
   7.100,33.36
   7.200,34.06
   7.300,34.94
   7.400,35.38
   7.500,35.92
   7.600,36.73
   7.700,37.20
   7.800,37.81
   7.900,38.48
   8.000,39.33
   8.100,40.13
   8.200,40.64
   8.300,41.25
   8.400,41.92
   8.500,42.56
   8.600,43.34
   8.700,43.91
   8.800,44.45
   8.900,44.96
   9.000,45.33
   9.100,45.77
   9.200,46.37
   9.300,46.95
   9.400,47.32
   9.500,48.03
   9.600,48.53
   9.700,49.11
   9.800,49.58
   9.900,50.08
  10.000,52.61
  11.000,57.50
  12.000,63.04
  13.000,69.27
  14.000,78.41
  15.000,91.20
  16.000,95.68
  17.000,96.83
  18.000,97.57
  19.000,98.11
  20.000,98.52
  21.000,98.75
  22.000,98.85
  24.000,98.99
  25.000,99.16
  26.000,99.26
  27.000,99.36
  28.000,99.53
  29.000,99.70
  30.000,99.90
  31.000,99.93
  32.000,99.97
  34.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
