1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          85.30          ---          ---      9.88700       344.56 
Gets          85.30      1523.45        11.93     13.54200      6156.92 
Waits          0.00          ---          ---      0.00000          --- 
Totals       170.60      1523.45        11.93     11.71500      6501.47 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.700         0.02
SET       1.800         0.08
SET       1.900         0.18
SET       2.000         0.33
SET       2.100         0.65
SET       2.200         1.21
SET       2.300         1.76
SET       2.400         2.60
SET       2.500         3.33
SET       2.600         4.24
SET       2.700         5.24
SET       2.800         6.38
SET       2.900         7.50
SET       3.000         8.76
SET       3.100         9.58
SET       3.200        10.42
SET       3.300        11.25
SET       3.400        12.14
SET       3.500        12.91
SET       3.600        13.80
SET       3.700        14.57
SET       3.800        15.27
SET       3.900        15.96
SET       4.000        16.58
SET       4.100        17.32
SET       4.200        17.95
SET       4.300        18.69
SET       4.400        19.28
SET       4.500        19.73
SET       4.600        20.16
SET       4.700        20.57
SET       4.800        21.07
SET       4.900        21.54
SET       5.000        22.04
SET       5.100        22.63
SET       5.200        23.11
SET       5.300        23.51
SET       5.400        24.03
SET       5.500        24.59
SET       5.600        25.07
SET       5.700        25.47
SET       5.800        26.01
SET       5.900        26.54
SET       6.000        26.91
SET       6.100        27.32
SET       6.200        27.77
SET       6.300        28.39
SET       6.400        29.21
SET       6.500        29.76
SET       6.600        30.48
SET       6.700        31.12
SET       6.800        31.75
SET       6.900        32.21
SET       7.000        32.64
SET       7.100        33.28
SET       7.200        33.98
SET       7.300        34.72
SET       7.400        35.35
SET       7.500        35.86
SET       7.600        36.64
SET       7.700        37.26
SET       7.800        37.90
SET       7.900        38.60
SET       8.000        39.32
SET       8.100        40.08
SET       8.200        40.51
SET       8.300        41.17
SET       8.400        41.67
SET       8.500        42.47
SET       8.600        43.07
SET       8.700        43.73
SET       8.800        44.33
SET       8.900        44.87
SET       9.000        45.40
SET       9.100        45.91
SET       9.200        46.46
SET       9.300        46.99
SET       9.400        47.38
SET       9.500        48.08
SET       9.600        48.58
SET       9.700        49.15
SET       9.800        49.77
SET       9.900        50.16
SET      10.000        52.92
SET      11.000        58.25
SET      12.000        63.86
SET      13.000        69.92
SET      14.000        79.08
SET      15.000        91.74
SET      16.000        95.83
SET      17.000        97.12
SET      18.000        97.86
SET      19.000        98.34
SET      20.000        98.66
SET      21.000        98.84
SET      22.000        98.98
SET      23.000        99.08
SET      24.000        99.20
SET      25.000        99.33
SET      26.000        99.41
SET      27.000        99.51
SET      28.000        99.63
SET      29.000        99.73
SET      30.000        99.92
SET      31.000        99.95
SET      32.000        99.97
SET      33.000        99.98
SET      34.000       100.00
---
GET       2.400         0.02
GET       2.500         0.03
GET       2.600         0.08
GET       2.700         0.15
GET       2.800         0.23
GET       2.900         0.30
GET       3.000         0.42
GET       3.100         0.64
GET       3.200         0.85
GET       3.300         1.09
GET       3.400         1.32
GET       3.500         1.54
GET       3.600         1.86
GET       3.700         2.24
GET       3.800         2.75
GET       3.900         3.08
GET       4.000         3.52
GET       4.100         4.09
GET       4.200         4.49
GET       4.300         4.79
GET       4.400         5.12
GET       4.500         5.51
GET       4.600         6.08
GET       4.700         6.28
GET       4.800         6.68
GET       4.900         6.83
GET       5.000         7.12
GET       5.100         7.45
GET       5.200         7.80
GET       5.300         8.09
GET       5.400         8.44
GET       5.500         8.74
GET       5.600         9.06
GET       5.700         9.36
GET       5.800         9.66
GET       5.900         9.90
GET       6.000        10.22
GET       6.100        10.57
GET       6.200        10.85
GET       6.300        11.20
GET       6.400        11.56
GET       6.500        11.91
GET       6.600        12.41
GET       6.700        12.78
GET       6.800        12.98
GET       6.900        13.48
GET       7.000        13.85
GET       7.100        14.19
GET       7.200        14.70
GET       7.300        15.44
GET       7.400        15.74
GET       7.500        16.33
GET       7.600        16.75
GET       7.700        17.27
GET       7.800        17.89
GET       7.900        18.37
GET       8.000        18.89
GET       8.100        19.46
GET       8.200        20.08
GET       8.300        20.65
GET       8.400        21.37
GET       8.500        21.79
GET       8.600        22.37
GET       8.700        23.03
GET       8.800        23.80
GET       8.900        24.42
GET       9.000        25.04
GET       9.100        25.51
GET       9.200        26.18
GET       9.300        26.90
GET       9.400        27.48
GET       9.500        27.95
GET       9.600        28.39
GET       9.700        28.94
GET       9.800        29.64
GET       9.900        30.25
GET      10.000        33.03
GET      11.000        37.92
GET      12.000        42.81
GET      13.000        47.83
GET      14.000        52.35
GET      15.000        60.43
GET      16.000        74.44
GET      17.000        82.85
GET      18.000        86.90
GET      19.000        90.00
GET      20.000        92.21
GET      21.000        93.65
GET      22.000        94.72
GET      23.000        95.60
GET      24.000        96.27
GET      25.000        97.09
GET      26.000        97.57
GET      27.000        97.94
GET      28.000        98.19
GET      29.000        98.36
GET      30.000        98.56
GET      31.000        98.88
GET      32.000        99.18
GET      33.000        99.30
GET      34.000        99.41
GET      35.000        99.46
GET      36.000        99.51
GET      46.000        99.55
GET      50.000        99.56
GET      52.000        99.58
GET      53.000        99.60
GET      54.000        99.61
GET      55.000        99.67
GET      56.000        99.70
GET      57.000        99.73
GET      59.000        99.78
GET      60.000        99.80
GET      61.000        99.85
GET      62.000        99.88
GET      63.000        99.90
GET      64.000        99.92
GET      66.000        99.93
GET      71.000        99.95
GET      73.000        99.97
GET      77.000       100.00
---
