1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          84.08          ---          ---     10.21100       339.63 
Gets          84.06      1501.35        11.80     13.55900      6067.64 
Waits          0.00          ---          ---      0.00000          --- 
Totals       168.14      1501.35        11.80     11.88500      6407.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.700         0.07
SET       1.800         0.10
SET       1.900         0.17
SET       2.000         0.36
SET       2.100         0.54
SET       2.200         0.83
SET       2.300         1.29
SET       2.400         1.82
SET       2.500         2.31
SET       2.600         3.14
SET       2.700         3.91
SET       2.800         4.66
SET       2.900         5.49
SET       3.000         6.61
SET       3.100         7.59
SET       3.200         8.41
SET       3.300         9.17
SET       3.400        10.02
SET       3.500        10.70
SET       3.600        11.42
SET       3.700        12.11
SET       3.800        12.83
SET       3.900        13.35
SET       4.000        13.93
SET       4.100        14.58
SET       4.200        15.10
SET       4.300        15.61
SET       4.400        15.99
SET       4.500        16.58
SET       4.600        16.94
SET       4.700        17.57
SET       4.800        18.18
SET       4.900        18.71
SET       5.000        19.01
SET       5.100        19.47
SET       5.200        19.95
SET       5.300        20.49
SET       5.400        21.05
SET       5.500        21.56
SET       5.600        22.10
SET       5.700        22.83
SET       5.800        23.34
SET       5.900        23.99
SET       6.000        24.46
SET       6.100        25.18
SET       6.200        25.77
SET       6.300        26.18
SET       6.400        26.69
SET       6.500        27.32
SET       6.600        27.96
SET       6.700        28.58
SET       6.800        29.19
SET       6.900        29.82
SET       7.000        30.72
SET       7.100        31.43
SET       7.200        32.14
SET       7.300        32.65
SET       7.400        33.23
SET       7.500        34.17
SET       7.600        34.86
SET       7.700        35.63
SET       7.800        36.24
SET       7.900        37.09
SET       8.000        37.92
SET       8.100        38.77
SET       8.200        39.62
SET       8.300        40.37
SET       8.400        40.79
SET       8.500        41.28
SET       8.600        41.61
SET       8.700        42.07
SET       8.800        42.61
SET       8.900        43.15
SET       9.000        43.63
SET       9.100        44.07
SET       9.200        44.56
SET       9.300        45.07
SET       9.400        45.60
SET       9.500        46.01
SET       9.600        46.64
SET       9.700        46.92
SET       9.800        47.33
SET       9.900        47.84
SET      10.000        50.37
SET      11.000        55.33
SET      12.000        60.52
SET      13.000        66.48
SET      14.000        77.12
SET      15.000        90.43
SET      16.000        95.36
SET      17.000        96.76
SET      18.000        97.72
SET      19.000        98.28
SET      20.000        98.67
SET      21.000        98.90
SET      22.000        99.01
SET      23.000        99.17
SET      24.000        99.37
SET      25.000        99.46
SET      26.000        99.59
SET      27.000        99.63
SET      28.000        99.71
SET      29.000        99.85
SET      30.000        99.92
SET      31.000        99.93
SET      32.000        99.95
SET      34.000        99.97
SET      38.000        99.98
SET      44.000       100.00
---
GET       2.400         0.02
GET       2.500         0.03
GET       2.600         0.07
GET       2.700         0.10
GET       2.800         0.17
GET       2.900         0.27
GET       3.000         0.41
GET       3.100         0.58
GET       3.200         0.80
GET       3.300         0.99
GET       3.400         1.27
GET       3.500         1.46
GET       3.600         1.68
GET       3.700         1.94
GET       3.800         2.45
GET       3.900         2.91
GET       4.000         3.19
GET       4.100         3.76
GET       4.200         4.28
GET       4.300         4.83
GET       4.400         5.22
GET       4.500         5.59
GET       4.600         5.91
GET       4.700         6.22
GET       4.800         6.66
GET       4.900         7.02
GET       5.000         7.27
GET       5.100         7.66
GET       5.200         7.95
GET       5.300         8.16
GET       5.400         8.51
GET       5.500         8.82
GET       5.600         9.16
GET       5.700         9.53
GET       5.800         9.96
GET       5.900        10.25
GET       6.000        10.48
GET       6.100        10.74
GET       6.200        11.01
GET       6.300        11.30
GET       6.400        11.55
GET       6.500        11.91
GET       6.600        12.13
GET       6.700        12.39
GET       6.800        12.68
GET       6.900        13.02
GET       7.000        13.41
GET       7.100        13.76
GET       7.200        14.02
GET       7.300        14.48
GET       7.400        14.83
GET       7.500        15.11
GET       7.600        15.62
GET       7.700        16.02
GET       7.800        16.41
GET       7.900        16.98
GET       8.000        17.50
GET       8.100        18.08
GET       8.200        18.66
GET       8.300        19.10
GET       8.400        19.63
GET       8.500        20.20
GET       8.600        20.90
GET       8.700        21.50
GET       8.800        22.02
GET       8.900        22.65
GET       9.000        23.30
GET       9.100        23.84
GET       9.200        24.49
GET       9.300        24.98
GET       9.400        25.66
GET       9.500        26.27
GET       9.600        26.98
GET       9.700        27.60
GET       9.800        28.21
GET       9.900        28.94
GET      10.000        31.88
GET      11.000        37.15
GET      12.000        42.50
GET      13.000        47.22
GET      14.000        52.06
GET      15.000        59.90
GET      16.000        75.41
GET      17.000        84.69
GET      18.000        88.84
GET      19.000        91.03
GET      20.000        92.85
GET      21.000        94.02
GET      22.000        95.04
GET      23.000        95.97
GET      24.000        96.50
GET      25.000        96.94
GET      26.000        97.40
GET      27.000        97.88
GET      28.000        98.22
GET      29.000        98.47
GET      30.000        98.62
GET      31.000        99.03
GET      32.000        99.20
GET      33.000        99.27
GET      34.000        99.32
GET      35.000        99.35
GET      36.000        99.37
GET      37.000        99.39
GET      38.000        99.41
GET      40.000        99.42
GET      44.000        99.44
GET      49.000        99.49
GET      50.000        99.54
GET      51.000        99.56
GET      53.000        99.59
GET      55.000        99.63
GET      56.000        99.64
GET      57.000        99.66
GET      58.000        99.69
GET      59.000        99.76
GET      60.000        99.86
GET      61.000        99.90
GET      63.000        99.93
GET      65.000        99.97
GET      66.000        99.98
GET      72.000       100.00
---
