1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          57.81          ---          ---     13.99500       233.53 
Gets          57.80      1550.90         9.69     20.58300      6267.54 
Waits          0.00          ---          ---      0.00000          --- 
Totals       115.61      1550.90         9.69     17.28900      6501.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.900         0.02
SET       2.000         0.05
SET       2.100         0.12
SET       2.200         0.15
SET       2.300         0.42
SET       2.400         0.74
SET       2.500         1.36
SET       2.600         1.75
SET       2.700         2.13
SET       2.800         2.55
SET       2.900         3.04
SET       3.000         3.41
SET       3.100         3.95
SET       3.200         4.57
SET       3.300         5.24
SET       3.400         5.83
SET       3.500         6.35
SET       3.600         6.92
SET       3.700         7.56
SET       3.800         8.10
SET       3.900         8.67
SET       4.000         9.36
SET       4.100         9.71
SET       4.200        10.13
SET       4.300        10.53
SET       4.400        10.87
SET       4.500        11.39
SET       4.600        11.89
SET       4.700        12.26
SET       4.800        12.75
SET       4.900        13.22
SET       5.000        13.66
SET       5.100        13.99
SET       5.200        14.28
SET       5.300        14.80
SET       5.400        15.17
SET       5.500        15.74
SET       5.600        16.21
SET       5.700        16.60
SET       5.800        17.07
SET       5.900        17.72
SET       6.000        17.91
SET       6.100        18.29
SET       6.200        18.51
SET       6.300        19.03
SET       6.400        19.64
SET       6.500        20.04
SET       6.600        20.61
SET       6.700        21.08
SET       6.800        21.79
SET       6.900        22.34
SET       7.000        22.93
SET       7.100        23.45
SET       7.200        24.12
SET       7.300        24.91
SET       7.400        25.25
SET       7.500        25.72
SET       7.600        26.41
SET       7.700        27.30
SET       7.800        27.87
SET       7.900        28.34
SET       8.000        29.01
SET       8.100        29.78
SET       8.200        30.29
SET       8.300        30.99
SET       8.400        31.48
SET       8.500        32.12
SET       8.600        32.72
SET       8.700        33.26
SET       8.800        33.78
SET       8.900        34.42
SET       9.000        34.96
SET       9.100        35.46
SET       9.200        35.88
SET       9.300        36.20
SET       9.400        36.64
SET       9.500        37.04
SET       9.600        37.44
SET       9.700        37.78
SET       9.800        38.00
SET       9.900        38.47
SET      10.000        40.75
SET      11.000        44.65
SET      12.000        47.96
SET      13.000        50.85
SET      14.000        55.45
SET      15.000        62.98
SET      16.000        69.46
SET      17.000        73.17
SET      18.000        76.48
SET      19.000        78.50
SET      20.000        80.28
SET      21.000        82.01
SET      22.000        83.74
SET      23.000        85.37
SET      24.000        86.51
SET      25.000        87.69
SET      26.000        89.10
SET      27.000        90.34
SET      28.000        91.23
SET      29.000        92.12
SET      30.000        94.81
SET      31.000        96.96
SET      32.000        97.65
SET      33.000        98.47
SET      34.000        98.96
SET      35.000        99.31
SET      36.000        99.46
SET      37.000        99.65
SET      38.000        99.75
SET      39.000        99.78
SET      41.000        99.83
SET      42.000        99.88
SET      46.000        99.90
SET      47.000        99.95
SET      49.000        99.98
SET      62.000       100.00
---
GET       2.400         0.05
GET       2.600         0.15
GET       2.700         0.25
GET       2.800         0.35
GET       2.900         0.52
GET       3.000         0.72
GET       3.100         0.94
GET       3.200         1.38
GET       3.300         1.88
GET       3.400         2.35
GET       3.500         2.89
GET       3.600         3.34
GET       3.700         4.03
GET       3.800         4.87
GET       3.900         5.39
GET       4.000         6.13
GET       4.100         6.75
GET       4.200         7.34
GET       4.300         8.08
GET       4.400         8.90
GET       4.500         9.76
GET       4.600        10.36
GET       4.700        11.15
GET       4.800        11.79
GET       4.900        12.41
GET       5.000        12.98
GET       5.100        13.69
GET       5.200        14.11
GET       5.300        14.53
GET       5.400        15.10
GET       5.500        15.60
GET       5.600        16.21
GET       5.700        16.81
GET       5.800        17.05
GET       5.900        17.67
GET       6.000        18.07
GET       6.100        18.51
GET       6.200        18.96
