[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  97   1   0   1|  37k  273k|   0     0 |   0     0 | 275  1004 
  3   2  93   0   0   3|   0     0 |  12M  589k|   0     0 | 913  2903 
  2   2  95   0   0   2|   0     0 |  13M  587k|   0     0 | 583  2460 
  2   1  94   0   0   3|   0     0 |  13M  572k|   0     0 | 846  2612 
  2   3  93   0   0   3|   0     0 |  12M  576k|   0     0 | 580  2387 
  4   3  92   0   0   2|   0     0 |  12M  546k|   0     0 | 266  2385 
  2   2  94   0   0   2|   0     0 |  11M  514k|   0     0 | 965  2242 
  1   2  95   0   0   2|   0     0 |  11M  509k|   0     0 | 351  2164 
  2   4  93   0   0   1|   0     0 |  12M  539k|   0     0 | 733  2134 
  2   2  94   0   0   3|   0     0 |  12M  534k|   0     0 | 563  2192 
  2   1  95   0   0   2|   0     0 |  13M  595k|   0     0 | 558  2269 
  3   2  94   0   0   2|   0     0 |  11M  498k|   0     0 | 899  2155 
  1   3  95   0   0   1|   0    56k|  12M  544k|   0     0 | 914  2180 
  3   3  93   0   0   1|   0     0 |  12M  575k|   0     0 | 378  2344 
  1   2  95   0   0   2|   0     0 |  13M  599k|   0     0 |1041  2280 
  1   1  96   0   0   3|   0     0 |  12M  558k|   0     0 | 960  2107 
  1   3  95   0   0   2|   0     0 |  13M  566k|   0     0 | 803  2285 
  1   2  96   0   0   2|   0     0 |  11M  519k|   0     0 | 366  2007 
  2   2  93   0   0   3|   0     0 |  13M  577k|   0     0 | 655  2145 
  1   2  96   0   0   1|   0     0 |  12M  530k|   0     0 | 495  2058 
  1   2  95   0   0   2|   0     0 |  12M  545k|   0     0 | 927  2206 
  2   2  94   0   0   3|   0     0 |  13M  578k|   0     0 | 978  2198 
  3   2  95   0   0   1|   0     0 |  12M  540k|   0     0 | 735  2073 
  2   3  94   0   0   2|   0     0 |  12M  546k|   0     0 | 555  2057 
  2   2  94   0   0   2|   0     0 |  13M  572k|   0     0 | 782  2042 
  2   2  94   0   0   2|   0     0 |  12M  553k|   0     0 | 424  2079 
  1   1  95   0   0   3|   0     0 |  12M  562k|   0     0 | 876  2064 
  2   2  94   0   0   2|   0     0 |  12M  561k|   0     0 | 889  2086 
  1   3  94   0   0   2|   0     0 |  12M  548k|   0     0 | 766  2142 
  2   2  94   0   0   2|   0     0 |  13M  574k|   0     0 | 965  2115 
  2   2  94   1   0   2|   0   104k|  12M  559k|   0     0 | 973  2131 
  2   2  95   0   0   1|   0  4096B|  12M  556k|   0     0 | 441  2082 
  1   2  96   0   0   2|   0  8192B|  12M  554k|   0     0 | 716  2156 
  2   2  94   0   0   3|   0     0 |  12M  544k|   0     0 | 949  2124 
  2   3  94   0   0   1|   0     0 |  12M  534k|   0     0 | 846  1984 
  1   2  96   0   0   2|   0     0 |  13M  585k|   0     0 | 761  2114 
  2   2  95   0   0   2|   0     0 |  12M  522k|   0     0 | 625  1991 
  3   2  93   0   0   3|   0     0 |  13M  571k|   0     0 | 777  2019 
  2   2  95   0   0   2|   0     0 |  12M  533k|   0     0 | 641  2139 
  1   2  96   0   0   2|   0     0 |  12M  561k|   0     0 | 586  1985 
  1   3  95   0   0   1|   0     0 |  12M  526k|   0     0 | 832  1966 
  2   2  95   0   0   2|   0     0 |  12M  562k|   0     0 | 242  2107 
  1   2  96   0   0   1|   0     0 |  12M  533k|   0     0 | 317  2076 
  1   2  96   0   0   1|   0     0 |  12M  555k|   0     0 | 769  1937 
  2   2  94   0   0   2|   0     0 |  12M  522k|   0     0 | 806  1948 
  1   2  96   0   0   2|   0     0 |  13M  578k|   0     0 | 430  2131 
  2   2  93   0   0   3|   0     0 |  12M  522k|   0     0 | 616  2016 
  1   2  95   0   0   2|   0     0 |  13M  567k|   0     0 | 574  2159 
  2   1  95   0   0   2|   0     0 |  13M  586k|   0     0 | 210  2132 
  2   2  96   0   0   1|   0     0 |  12M  540k|   0     0 | 773  2063 
  1   2  95   0   0   2|   0     0 |  15M  646k|   0     0 | 675  2116 
  1   1  96   0   0   2|   0     0 |  12M  545k|   0     0 | 933  2098 
  2   2  95   0   0   1|   0     0 |  12M  529k|   0     0 | 904  1980 
  2   2  94   0   0   2|   0     0 |  13M  569k|   0     0 | 773  1976 
  1   2  94   0   0   3|   0     0 |  13M  575k|   0     0 | 931  2120 
  2   2  94   0   0   2|   0     0 |  12M  527k|   0     0 | 879  2138 
  2   1  96   0   0   2|   0     0 |  12M  553k|   0     0 | 560  2292 
  2   3  95   0   0   1|   0     0 |  13M  571k|   0     0 | 552  1958 
  2   2  95   0   0   2|   0     0 |  12M  553k|   0     0 | 514  1999 
  3   2  94   0   0   1|   0     0 |  11M  517k|   0     0 | 125  2032 
  2   3  95   0   0   1|   0     0 |  13M  564k|   0     0 | 462  2005 
  1   1  80  16   0   2|   0    20k|  12M  529k|   0     0 | 746  2003 
  2   2  95   0   0   1|   0     0 |  13M  580k|   0     0 | 422  2123 
  1   2  96   0   0   1|   0   116k|  13M  568k|   0     0 | 558  2046 
  3   1  93   0   0   3|   0     0 |  13M  571k|   0     0 | 995  2185 
  3   4  91   0   0   2|   0     0 |  13M  587k|   0     0 | 894  2104 
  0   3  95   0   0   2|   0     0 |  12M  547k|   0     0 | 385  2079 
  1   1  96   0   0   3|   0     0 |  12M  563k|   0     0 | 968  2114 
  1   2  95   0   0   3|   0     0 |  12M  544k|   0     0 | 916  2086 
  2   2  96   0   0   1|   0     0 |  13M  581k|   0     0 | 769  2140 
  2   1  95   0   0   2|   0     0 |  11M  498k|   0     0 | 643  1855 
