1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          53.12          ---          ---     13.97800       214.58 
Gets          53.12      1425.34         8.90     23.65100      5760.14 
Waits          0.00          ---          ---      0.00000          --- 
Totals       106.24      1425.34         8.90     18.81500      5974.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.05
SET       2.200         0.19
SET       2.300         0.38
SET       2.400         0.56
SET       2.500         1.21
SET       2.600         1.59
SET       2.700         2.12
SET       2.800         2.96
SET       2.900         3.68
SET       3.000         4.46
SET       3.100         5.03
SET       3.200         5.73
SET       3.300         6.29
SET       3.400         6.80
SET       3.500         7.48
SET       3.600         7.91
SET       3.700         8.52
SET       3.800         8.98
SET       3.900         9.46
SET       4.000         9.95
SET       4.100        10.35
SET       4.200        10.81
SET       4.300        11.16
SET       4.400        11.40
SET       4.500        11.64
SET       4.600        11.91
SET       4.700        12.15
SET       4.800        12.58
SET       4.900        12.93
SET       5.000        13.23
SET       5.100        13.36
SET       5.200        13.63
SET       5.300        13.85
SET       5.400        14.14
SET       5.500        14.52
SET       5.600        14.68
SET       5.700        15.00
SET       5.800        15.22
SET       5.900        15.38
SET       6.000        15.60
SET       6.100        15.84
SET       6.200        16.19
SET       6.300        16.43
SET       6.400        16.59
SET       6.500        16.78
SET       6.600        16.94
SET       6.700        17.13
SET       6.800        17.26
SET       6.900        17.50
SET       7.000        17.61
SET       7.100        17.93
SET       7.200        18.10
SET       7.300        18.61
SET       7.400        19.04
SET       7.500        19.28
SET       7.600        19.49
SET       7.700        20.01
SET       7.800        20.44
SET       7.900        20.79
SET       8.000        21.03
SET       8.100        21.32
SET       8.200        21.54
SET       8.300        21.89
SET       8.400        22.29
SET       8.500        22.67
SET       8.600        22.94
SET       8.700        23.31
SET       8.800        23.72
SET       8.900        24.09
SET       9.000        24.33
SET       9.100        24.66
SET       9.200        24.82
SET       9.300        25.19
SET       9.400        25.52
SET       9.500        25.76
SET       9.600        26.19
SET       9.700        26.51
SET       9.800        26.89
SET       9.900        27.16
SET      10.000        29.44
SET      11.000        33.21
SET      12.000        36.86
SET      13.000        42.16
SET      14.000        52.16
SET      15.000        69.00
SET      16.000        80.42
SET      17.000        82.79
SET      18.000        84.30
SET      19.000        85.43
SET      20.000        86.23
SET      21.000        86.99
SET      22.000        87.47
SET      23.000        87.93
SET      24.000        88.36
SET      25.000        89.16
SET      26.000        89.94
SET      27.000        90.86
SET      28.000        92.09
SET      29.000        94.49
SET      30.000        97.90
SET      31.000        99.01
SET      32.000        99.27
SET      33.000        99.52
SET      34.000        99.62
SET      35.000        99.78
SET      36.000        99.92
SET      40.000        99.95
SET      41.000        99.97
SET      48.000       100.00
---
GET       3.300         0.05
GET       3.500         0.13
GET       3.600         0.19
GET       3.700         0.30
GET       3.800         0.32
GET       3.900         0.40
GET       4.000         0.46
GET       4.100         0.54
GET       4.200         0.59
GET       4.300         0.67
GET       4.400         0.78
GET       4.500         0.86
GET       4.600         0.94
GET       4.700         0.99
GET       4.800         1.05
GET       4.900         1.13
GET       5.000         1.21
GET       5.100         1.29
GET       5.300         1.32
GET       5.400         1.37
GET       5.500         1.43
GET       5.600         1.53
GET       5.700         1.56
GET       5.800         1.69
GET       5.900         1.72
GET       6.000         1.80
GET       6.100         1.83
GET       6.200         1.88
GET       6.300         1.94
GET       6.400         2.02
GET       6.500         2.10
GET       6.600         2.15
GET       6.700         2.18
GET       6.800         2.23
GET       6.900         2.26
GET       7.000         2.39
GET       7.100         2.50
GET       7.200         2.53
GET       7.300         2.64
GET       7.400         2.69
GET       7.500         2.80
GET       7.600         2.90
GET       7.700         2.98
GET       7.800         3.04
GET       7.900         3.09
GET       8.000         3.17
GET       8.100         3.28
GET       8.200         3.39
GET       8.400         3.58
GET       8.500         3.74
GET       8.600         3.87
GET       8.700         4.03
GET       8.800         4.09
GET       8.900         4.17
GET       9.000         4.28
GET       9.100         4.38
GET       9.200         4.44
GET       9.300         4.52
GET       9.400         4.73
GET       9.500         4.76
GET       9.600         5.00
GET       9.700         5.03
GET       9.800         5.11
GET       9.900         5.19
GET      10.000         6.10
GET      11.000         7.07
GET      12.000         8.55
GET      13.000         9.81
GET      14.000        11.40
GET      15.000        14.06
GET      16.000        22.69
GET      17.000        33.29
GET      18.000        39.88
GET      19.000        42.97
GET      20.000        45.63
GET      21.000        47.94
GET      22.000        50.63
GET      23.000        52.49
GET      24.000        54.24
GET      25.000        55.98
GET      26.000        58.51
GET      27.000        61.44
GET      28.000        64.51
GET      29.000        66.60
GET      30.000        69.05
GET      31.000        77.98
GET      32.000        87.47
GET      33.000        90.16
GET      34.000        91.88
GET      35.000        93.41
GET      36.000        95.05
GET      37.000        96.15
GET      38.000        96.64
GET      39.000        96.93
GET      40.000        97.15
GET      41.000        97.34
GET      42.000        97.47
GET      43.000        97.69
GET      44.000        97.88
GET      45.000        98.01
GET      46.000        98.33
GET      47.000        98.68
GET      48.000        99.14
GET      49.000        99.27
GET      50.000        99.30
GET      51.000        99.35
GET      53.000        99.41
GET      54.000        99.46
GET      55.000        99.52
GET      56.000        99.54
GET      57.000        99.57
GET      59.000        99.62
GET      60.000        99.65
GET      61.000        99.68
GET      63.000        99.70
GET      64.000        99.73
GET      66.000        99.76
GET      67.000        99.78
GET      72.000        99.84
GET      74.000        99.89
GET      76.000        99.92
GET      78.000        99.95
GET      94.000        99.97
GET     120.000       100.00
---
