[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  91   0   0   0|  39k  888k|   0     0 |   0     0 | 629  2212 
 22   2  75   0   0   1|   0     0 |3104k 3218k|   0     0 | 507  1231 
 21   5  73   0   0   1|   0     0 |  19M   20M|   0     0 |1202  3928 
 17   4  79   0   0   1|   0     0 |  19M   20M|   0     0 |1104  4238 
 14   3  82   0   0   1|   0     0 |  20M   21M|   0     0 |1187  4878 
 21   3  75   0   0   1|   0     0 |  20M   21M|   0     0 |1342  4903 
 13   3  84   0   0   0|   0     0 |  20M   20M|   0     0 |1043  4757 
 15   3  82   0   0   0|   0     0 |  20M   21M|   0     0 |1173  4716 
 24   3  72   0   0   1|   0     0 |  20M   21M|   0     0 |1193  3868 
 20   3  75   0   0   1|   0     0 |  20M   21M|   0     0 |1179  3903 
 23   4  73   0   0   1|   0     0 |  20M   20M|   0     0 |1182  4040 
 14   3  83   0   0   0|   0     0 |  19M   20M|   0     0 |1190  4375 
 12   3  85   0   0   0|   0     0 |  19M   19M|   0     0 |1199  4512 
 12   3  84   0   0   1|   0     0 |  19M   20M|   0     0 |1270  4509 
 22   3  74   0   0   1|   0     0 |  20M   20M|   0     0 |1337  4627 
 24   3  73   0   0   1|   0     0 |  20M   21M|   0     0 |1308  4450 
 16   3  81   0   0   1|   0    20k|  20M   21M|   0     0 |1203  4312 
 12   3  84   0   0   1|   0     0 |  19M   20M|   0     0 |1102  4223 
 12   3  84   0   0   1|   0     0 |  19M   20M|   0     0 |1233  4251 
 12   3  84   0   0   1|   0     0 |  21M   22M|   0     0 |1459  4522 
 12   3  85   0   0   0|   0     0 |  20M   20M|   0     0 |1262  4384 
 12   3  84   0   0   1|   0     0 |  21M   22M|   0     0 |1331  4524 
 21   3  75   0   0   1|   0     0 |  19M   20M|   0     0 |1290  4328 
 19   3  77   0   0   1|   0     0 |  19M   20M|   0     0 |1420  4608 
 13   3  84   0   0   1|   0     0 |  19M   20M|   0     0 |1302  4678 
 12   2  85   0   0   1|   0    48k|  18M   19M|   0     0 |1242  4300 
 12   3  84   0   0   0|   0     0 |  19M   20M|   0     0 |1272  4500 
 12   3  84   0   0   1|   0    80k|  19M   20M|   0     0 |1201  4307 
 12   3  84   0   0   1|   0     0 |  20M   21M|   0     0 |1172  4159 
 11   3  85   0   0   1|   0     0 |  20M   20M|   0     0 |1153  4165 
 12   3  84   0   0   1|   0     0 |  19M   20M|   0     0 |1278  4611 
 12   3  84   0   0   1|   0     0 |  20M   21M|   0     0 |1323  4616 
 12   3  84   0   0   1|   0  8192B|  20M   20M|   0     0 |1266  4511 
 14   2  83   0   0   1|   0     0 |  20M   21M|   0     0 |1280  4574 
 12   3  84   0   0   1|   0     0 |  20M   21M|   0     0 |1305  4429 
 12   3  85   0   0   0|   0     0 |  19M   20M|   0     0 |1098  4420 
 12   4  84   0   0   1|   0     0 |  20M   21M|   0     0 |1290  4600 
 12   3  85   0   0   1|   0     0 |  20M   20M|   0     0 |1170  4043 
 12   3  85   0   0   1|   0     0 |  20M   21M|   0     0 |1393  4425 
 13   3  84   0   0   1|   0     0 |  20M   21M|   0     0 |1243  4334 
 12   2  85   0   0   1|   0     0 |  19M   20M|   0     0 |1237  4188 
 12   2  86   0   0   1|   0     0 |  20M   20M|   0     0 |1326  4247 
 12   3  85   0   0   0|   0     0 |  20M   21M|   0     0 |1251  4333 
 12   3  84   0   0   1|   0     0 |  20M   21M|   0     0 |1268  4306 
