1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         182.89          ---          ---      5.72500       738.77 
Gets         182.88       548.03         0.60      5.19500      2216.25 
Waits          0.00          ---          ---      0.00000          --- 
Totals       365.76       548.03         0.60      5.46000      2955.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.600         0.05
SET       1.700         0.19
SET       1.800         0.42
SET       1.900         0.87
SET       2.000         1.64
SET       2.100         3.02
SET       2.200         4.69
SET       2.300         6.58
SET       2.400         8.69
SET       2.500        11.27
SET       2.600        13.68
SET       2.700        16.06
SET       2.800        18.40
SET       2.900        20.92
SET       3.000        23.05
SET       3.100        25.30
SET       3.200        26.98
SET       3.300        28.81
SET       3.400        30.48
SET       3.500        31.74
SET       3.600        33.23
SET       3.700        34.50
SET       3.800        35.52
SET       3.900        36.45
SET       4.000        37.48
SET       4.100        38.37
SET       4.200        39.17
SET       4.300        39.77
SET       4.400        40.63
SET       4.500        41.42
SET       4.600        42.14
SET       4.700        42.87
SET       4.800        43.54
SET       4.900        44.02
SET       5.000        44.55
SET       5.100        45.09
SET       5.200        45.61
SET       5.300        46.25
SET       5.400        46.95
SET       5.500        47.68
SET       5.600        48.54
SET       5.700        49.31
SET       5.800        50.05
SET       5.900        50.91
SET       6.000        51.78
SET       6.100        52.72
SET       6.200        53.80
SET       6.300        54.83
SET       6.400        55.89
SET       6.500        57.14
SET       6.600        58.39
SET       6.700        59.80
SET       6.800        61.44
SET       6.900        63.27
SET       7.000        64.98
SET       7.100        66.69
SET       7.200        68.63
SET       7.300        70.30
SET       7.400        72.19
SET       7.500        74.19
SET       7.600        76.08
SET       7.700        77.76
SET       7.800        79.50
SET       7.900        81.02
SET       8.000        82.50
SET       8.100        83.80
SET       8.200        84.92
SET       8.300        85.96
SET       8.400        87.03
SET       8.500        87.95
SET       8.600        88.91
SET       8.700        89.64
SET       8.800        90.28
SET       8.900        90.78
SET       9.000        91.32
SET       9.100        91.78
SET       9.200        92.38
SET       9.300        92.88
SET       9.400        93.33
SET       9.500        93.65
SET       9.600        93.95
SET       9.700        94.30
SET       9.800        94.48
SET       9.900        94.74
SET      10.000        95.97
SET      11.000        97.25
SET      12.000        98.09
SET      13.000        98.66
SET      14.000        99.12
SET      15.000        99.42
SET      16.000        99.58
SET      17.000        99.74
SET      18.000        99.84
SET      19.000        99.88
SET      20.000        99.90
SET      21.000        99.95
SET      22.000        99.96
SET      24.000        99.98
SET      25.000        99.99
SET      26.000       100.00
---
GET       1.200         0.01
GET       1.400         0.02
GET       1.500         0.24
GET       1.600         0.73
GET       1.700         1.66
GET       1.800         3.21
GET       1.900         5.73
GET       2.000         8.55
GET       2.100        11.61
GET       2.200        15.14
GET       2.300        18.26
GET       2.400        21.40
GET       2.500        24.13
GET       2.600        26.96
GET       2.700        29.46
GET       2.800        31.79
GET       2.900        33.61
GET       3.000        35.06
GET       3.100        36.44
GET       3.200        37.82
GET       3.300        38.99
GET       3.400        40.26
GET       3.500        41.23
GET       3.600        42.13
GET       3.700        43.13
GET       3.800        43.90
GET       3.900        44.54
GET       4.000        45.24
GET       4.100        45.91
GET       4.200        46.75
GET       4.300        47.49
GET       4.400        48.24
GET       4.500        48.84
GET       4.600        49.58
GET       4.700        50.29
GET       4.800        51.02
GET       4.900        51.84
GET       5.000        52.74
GET       5.100        53.59
GET       5.200        54.37
GET       5.300        55.23
GET       5.400        56.09
GET       5.500        57.03
GET       5.600        57.95
GET       5.700        58.97
GET       5.800        59.93
GET       5.900        61.23
GET       6.000        62.55
GET       6.100        63.65
GET       6.200        64.87
GET       6.300        66.09
GET       6.400        67.50
GET       6.500        69.08
GET       6.600        70.61
GET       6.700        72.30
GET       6.800        73.75
GET       6.900        75.46
GET       7.000        77.08
GET       7.100        78.68
GET       7.200        80.20
GET       7.300        81.71
GET       7.400        83.04
GET       7.500        84.37
GET       7.600        85.64
GET       7.700        86.74
GET       7.800        87.68
GET       7.900        88.74
GET       8.000        89.67
GET       8.100        90.20
GET       8.200        90.97
GET       8.300        91.57
GET       8.400        92.20
GET       8.500        92.78
GET       8.600        93.31
GET       8.700        93.62
GET       8.800        93.91
GET       8.900        94.24
GET       9.000        94.62
GET       9.100        94.90
GET       9.200        95.13
GET       9.300        95.32
GET       9.400        95.53
GET       9.500        95.74
GET       9.600        95.87
GET       9.700        96.07
GET       9.800        96.31
GET       9.900        96.45
GET      10.000        97.12
GET      11.000        97.86
GET      12.000        98.37
GET      13.000        98.72
GET      14.000        98.98
GET      15.000        99.19
GET      16.000        99.32
GET      17.000        99.38
GET      18.000        99.39
GET      19.000        99.41
GET      20.000        99.41
GET      21.000        99.44
GET      43.000        99.47
GET      44.000        99.52
GET      45.000        99.58
GET      46.000        99.63
GET      47.000        99.69
GET      48.000        99.73
GET      49.000        99.80
GET      50.000        99.87
GET      51.000        99.89
GET      52.000        99.91
GET      53.000        99.98
GET      54.000        99.99
GET      57.000       100.00
---
