1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         170.06          ---          ---      5.88300       686.96 
Gets         170.05       509.57         0.57      5.86200      2060.76 
Waits          0.00          ---          ---      0.00000          --- 
Totals       340.11       509.57         0.57      5.87300      2747.71 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.01
SET       1.600         0.06
SET       1.700         0.20
SET       1.800         0.71
SET       1.900         1.57
SET       2.000         2.54
SET       2.100         4.19
SET       2.200         6.29
SET       2.300         8.68
SET       2.400        11.16
SET       2.500        13.78
SET       2.600        16.59
SET       2.700        19.13
SET       2.800        21.81
SET       2.900        23.99
SET       3.000        25.98
SET       3.100        27.86
SET       3.200        29.58
SET       3.300        31.10
SET       3.400        32.49
SET       3.500        33.83
SET       3.600        35.21
SET       3.700        36.33
SET       3.800        37.39
SET       3.900        38.35
SET       4.000        39.26
SET       4.100        40.07
SET       4.200        40.94
SET       4.300        41.68
SET       4.400        42.17
SET       4.500        42.81
SET       4.600        43.45
SET       4.700        44.07
SET       4.800        44.75
SET       4.900        45.14
SET       5.000        45.75
SET       5.100        46.31
SET       5.200        46.85
SET       5.300        47.33
SET       5.400        47.89
SET       5.500        48.46
SET       5.600        48.95
SET       5.700        49.41
SET       5.800        49.87
SET       5.900        50.44
SET       6.000        51.07
SET       6.100        51.68
SET       6.200        52.44
SET       6.300        53.05
SET       6.400        53.89
SET       6.500        54.53
SET       6.600        55.29
SET       6.700        55.99
SET       6.800        56.90
SET       6.900        57.86
SET       7.000        58.89
SET       7.100        59.99
SET       7.200        61.23
SET       7.300        62.57
SET       7.400        63.95
SET       7.500        65.68
SET       7.600        67.43
SET       7.700        69.19
SET       7.800        71.00
SET       7.900        72.68
SET       8.000        74.55
SET       8.100        76.22
SET       8.200        78.06
SET       8.300        79.67
SET       8.400        81.29
SET       8.500        82.79
SET       8.600        83.98
SET       8.700        85.12
SET       8.800        86.22
SET       8.900        87.13
SET       9.000        87.98
SET       9.100        88.70
SET       9.200        89.41
SET       9.300        90.05
SET       9.400        90.63
SET       9.500        91.24
SET       9.600        91.74
SET       9.700        92.17
SET       9.800        92.61
SET       9.900        92.99
SET      10.000        94.75
SET      11.000        96.49
SET      12.000        97.55
SET      13.000        98.19
SET      14.000        98.78
SET      15.000        99.11
SET      16.000        99.45
SET      17.000        99.71
SET      18.000        99.87
SET      19.000        99.92
SET      20.000        99.95
SET      22.000        99.96
SET      24.000        99.97
SET      26.000        99.97
SET      27.000        99.98
SET      29.000       100.00
---
GET       1.200         0.01
GET       1.300         0.03
GET       1.400         0.14
GET       1.500         0.54
GET       1.600         1.39
GET       1.700         2.70
GET       1.800         4.56
GET       1.900         6.88
GET       2.000         9.29
GET       2.100        11.90
GET       2.200        14.59
GET       2.300        16.86
GET       2.400        18.98
GET       2.500        20.85
GET       2.600        22.83
GET       2.700        24.51
GET       2.800        26.10
GET       2.900        27.53
GET       3.000        28.77
GET       3.100        29.86
GET       3.200        30.77
GET       3.300        31.70
GET       3.400        32.59
GET       3.500        33.26
GET       3.600        33.99
GET       3.700        34.83
GET       3.800        35.44
GET       3.900        36.16
GET       4.000        36.87
GET       4.100        37.36
GET       4.200        37.89
GET       4.300        38.44
GET       4.400        38.94
GET       4.500        39.47
GET       4.600        40.03
GET       4.700        40.68
GET       4.800        41.17
GET       4.900        41.78
GET       5.000        42.49
GET       5.100        43.15
GET       5.200        43.76
GET       5.300        44.35
GET       5.400        45.04
GET       5.500        45.69
GET       5.600        46.50
GET       5.700        47.26
GET       5.800        47.95
GET       5.900        48.98
GET       6.000        49.86
GET       6.100        50.69
GET       6.200        51.66
GET       6.300        52.79
GET       6.400        53.93
GET       6.500        55.32
GET       6.600        56.43
GET       6.700        57.66
GET       6.800        59.33
GET       6.900        60.81
GET       7.000        62.45
GET       7.100        64.31
GET       7.200        65.88
GET       7.300        67.73
GET       7.400        69.44
GET       7.500        71.51
GET       7.600        73.45
GET       7.700        75.52
GET       7.800        77.28
GET       7.900        79.09
GET       8.000        80.52
GET       8.100        82.17
GET       8.200        83.43
GET       8.300        84.66
GET       8.400        85.74
GET       8.500        86.78
GET       8.600        87.56
GET       8.700        88.31
GET       8.800        89.08
GET       8.900        89.71
GET       9.000        90.33
GET       9.100        90.94
GET       9.200        91.46
GET       9.300        91.92
GET       9.400        92.25
GET       9.500        92.66
GET       9.600        92.93
GET       9.700        93.30
GET       9.800        93.62
GET       9.900        93.95
GET      10.000        95.09
GET      11.000        96.36
GET      12.000        97.14
GET      13.000        97.82
GET      14.000        98.37
GET      15.000        98.87
GET      16.000        99.22
GET      17.000        99.42
GET      18.000        99.49
GET      19.000        99.54
GET      20.000        99.55
GET      21.000        99.61
GET      23.000        99.62
GET      24.000        99.65
GET      25.000        99.66
GET      28.000        99.66
GET      43.000        99.70
GET      44.000        99.72
GET      45.000        99.74
GET      46.000        99.76
GET      47.000        99.81
GET      48.000        99.83
GET      49.000        99.89
GET      50.000        99.92
GET      51.000        99.94
GET      52.000        99.97
GET      53.000        99.97
GET      54.000        99.99
GET      55.000       100.00
---
