[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   2  95   1   0   1|  20k  107k|   0     0 |   0     0 |  19  1046 
  0   0 100   0   0   0|   0     0 | 364k  325k|   0     0 |  18   356 
  4   4  92   0   0   0|   0     0 |4435k 4299k|   0     0 |  18  3145 
  2   8  90   0   0   0|   0     0 |4505k 4367k|   0     0 |  18  3101 
  3   6  91   0   0   0|   0     0 |4733k 4559k|   0     0 |  19  3272 
  3   4  92   0   0   0|   0     0 |4845k 4678k|   0     0 |  18  3442 
  3   5  90   0   0   1|   0     0 |4553k 4426k|   0     0 |  18  3197 
  2   7  91   0   0   0|   0     0 |4569k 4411k|   0     0 |  18  3214 
  5  10  84   0   0   1|   0     0 |4783k 4631k|   0     0 |  18  3525 
  4   6  89   0   0   0|   0     0 |4523k 4384k|   0     0 |  19  3240 
  4  10  86   0   0   0|   0     0 |4448k 4327k|   0     0 |  18  3189 
  1   7  89   2   0   0|   0    28k|4231k 4098k|   0     0 |  18  3209 
  5   6  87   0   0   1|   0     0 |4680k 4538k|   0     0 |  18  3198 
  1   9  90   0   0   0|   0  4096B|4651k 4501k|   0     0 |  18  3293 
  1   5  91   0   0   2|   0     0 |4551k 4407k|   0     0 |  19  3039 
  3   5  91   0   0   0|   0     0 |4621k 4478k|   0     0 |  18  3244 
  2   7  91   0   0   0|   0     0 |4379k 4268k|   0     0 |  17  3258 
  2   6  91   0   0   1|   0     0 |4535k 4385k|   0     0 |  19  3155 
  3   6  91   0   0   0|   0     0 |4480k 4328k|   0     0 |  19  2941 
  2   8  89   0   0   1|   0     0 |4569k 4425k|   0     0 |  18  3069 
  2   4  93   0   0   0|   0     0 |4959k 4818k|   0     0 |  18  2910 
  3   4  90   0   0   2|   0     0 |5034k 4874k|   0     0 |  18  3191 
  1   8  89   0   0   2|   0     0 |4537k 4398k|   0     0 |  18  2896 
  2   8  90   0   0   0|   0     0 |4735k 4588k|   0     0 |  19  3141 
  3   5  89   0   0   2|   0     0 |4774k 4629k|   0     0 |  18  3228 
  0   4  96   0   0   0|   0     0 |4342k 4205k|   0     0 |  18  3046 
  1   6  93   0   0   0|   0     0 |4360k 4227k|   0     0 |  18  3050 
  3   4  91   0   0   1|   0     0 |4395k 4284k|   0     0 |  18  2851 
  3   6  89   0   0   1|   0     0 |5018k 4833k|   0     0 |  19  3325 
  2   5  92   0   0   0|   0     0 |5076k 4919k|   0     0 |  18  3169 
  5   6  87   0   0   1|   0     0 |4801k 4659k|   0     0 |  18  3192 
  2   9  88   0   0   1|   0     0 |4992k 4849k|   0     0 |  18  3116 
  3   5  91   0   0   0|   0     0 |4816k 4673k|   0     0 |  18  3135 
  4  10  86   0   0   0|   0     0 |4677k 4517k|   0     0 |  18  3021 
  2   7  90   0   0   1|   0  4096B|4877k 4734k|   0     0 |  19  3462 
  1   5  92   0   0   1|   0     0 |4909k 4764k|   0     0 |  18  3724 
  5   4  90   0   0   0|   0     0 |4755k 4608k|   0     0 |  18  3194 
  1   9  90   0   0   0|   0     0 |4740k 4600k|   0     0 |  18  3342 
  3   9  86   0   0   2|   0     0 |4879k 4717k|   0     0 |  19  3229 
  3   8  88   0   0   0|   0     0 |4964k 4809k|   0     0 |  18  3262 
  1   3  94   0   0   1|   0     0 |4811k 4665k|   0     0 |  18  2757 
  0   8  91   1   0   0|   0    20k|4906k 4772k|   0     0 |  18  2962 
  2   5  91   0   0   1|   0     0 |4777k 4613k|   0     0 |  18  3026 
  2   9  88   0   0   1|   0     0 |4784k 4652k|   0     0 |  19  3280 
  0   5  92   0   0   2|   0    16k|4820k 4670k|   0     0 |  18  3336 
  3   5  91   0   0   0|   0     0 |4608k 4448k|   0     0 |  18  3197 
  2   4  92   0   0   1|   0     0 |5011k 4854k|   0     0 |  18  3047 
  4   5  90   0   0   1|   0     0 |4746k 4601k|   0     0 |  18  2784 
  3   8  87   0   0   1|   0     0 |4489k 4349k|   0     0 |  19  2889 
  1   3  96   0   0   0|   0     0 |4693k 4541k|   0     0 |  18  2875 
  3   7  90   0   0   0|   0     0 |4895k 4738k|   0     0 |  18  3195 
  4   6  89   0   0   0|   0     0 |4826k 4668k|   0     0 |  18  3141 
  2   4  93   0   0   0|   0     0 |4829k 4665k|   0     0 |  18  3201 
  4   7  88   0   0   1|   0     0 |4778k 4634k|   0     0 |  19  3162 
  3   6  90   0   0   0|   0     0 |4643k 4488k|   0     0 |  18  2933 
  3   4  92   0   0   0|   0     0 |4886k 4730k|   0     0 |  18  3219 
  3   7  89   0   0   1|   0     0 |4689k 4540k|   0     0 |  18  2900 
  3   7  90   0   0   0|   0     0 |4933k 4787k|   0     0 |  19  2876 
  3   3  93   0   0   0|   0     0 |4655k 4514k|   0     0 |  18  2878 
  1   7  92   0   0   0|   0     0 |4767k 4597k|   0     0 |  18  2978 
  4   6  89   0   0   0|   0     0 |4882k 4714k|   0     0 |  18  3225 
  1   7  90   0   0   2|   0     0 |4833k 4717k|   0     0 |  18  3046 
  2   5  92   0   0   0|   0     0 |4771k 4601k|   0     0 |  19  3204 
  2   7  90   0   0   1|   0     0 |4522k 4381k|   0     0 |  18  2794 
