1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          27.70          ---          ---     19.02300       111.89 
Gets          27.70      1487.10         8.63     53.16000      6009.44 
Waits          0.00          ---          ---      0.00000          --- 
Totals        55.40      1487.10         8.63     36.09200      6121.32 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.800         0.05
SET       2.000         0.15
SET       2.300         0.31
SET       2.400         0.57
SET       2.500         0.72
SET       2.600         0.98
SET       2.700         1.13
SET       2.800         1.24
SET       2.900         1.50
SET       3.000         1.70
SET       3.100         2.42
SET       3.200         2.84
SET       3.300         3.09
SET       3.400         3.25
SET       3.500         3.51
SET       3.600         3.87
SET       3.700         4.28
SET       3.800         4.38
SET       3.900         4.80
SET       4.000         5.16
SET       4.100         5.47
SET       4.200         5.72
SET       4.300         6.03
SET       4.400         6.34
SET       4.500         6.60
SET       4.600         6.91
SET       4.700         7.22
SET       4.800         7.43
SET       4.900         7.68
SET       5.000         8.05
SET       5.100         8.46
SET       5.200         8.56
SET       5.300         8.87
SET       5.400         9.03
SET       5.500         9.39
SET       5.600         9.54
SET       5.700         9.80
SET       5.800         9.90
SET       5.900        10.31
SET       6.000        10.57
SET       6.100        10.68
SET       6.200        11.09
SET       6.300        11.35
SET       6.400        11.86
SET       6.500        12.07
SET       6.600        12.22
SET       6.700        12.58
SET       6.800        12.89
SET       6.900        13.25
SET       7.000        13.31
SET       7.100        13.46
SET       7.200        13.77
SET       7.300        14.13
SET       7.400        14.85
SET       7.500        15.06
SET       7.600        15.63
SET       7.700        16.09
SET       7.800        16.66
SET       7.900        17.02
SET       8.000        17.23
SET       8.100        17.53
SET       8.200        17.84
SET       8.300        17.95
SET       8.400        18.36
SET       8.500        18.62
SET       8.600        18.98
SET       8.700        19.29
SET       8.800        19.75
SET       8.900        20.11
SET       9.000        20.84
SET       9.100        21.20
SET       9.200        21.61
SET       9.300        21.92
SET       9.400        22.12
SET       9.500        22.33
SET       9.600        22.43
SET       9.700        22.64
SET       9.800        23.00
SET       9.900        23.26
SET      10.000        24.60
SET      11.000        26.15
SET      12.000        27.75
SET      13.000        30.22
SET      14.000        33.94
SET      15.000        40.38
SET      16.000        44.40
SET      17.000        47.65
SET      18.000        50.08
SET      19.000        52.60
SET      20.000        55.23
SET      21.000        58.54
SET      22.000        62.66
SET      23.000        67.04
SET      24.000        69.52
SET      25.000        70.96
SET      26.000        72.46
SET      27.000        74.16
SET      28.000        76.17
SET      29.000        78.96
SET      30.000        85.04
SET      31.000        89.94
SET      32.000        92.88
SET      33.000        94.43
SET      34.000        95.26
SET      35.000        96.49
SET      36.000        97.89
