[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   2  95   1   0   1|  30k  158k|   0     0 |   0     0 |  19   801 
  2   1  95   0   0   2|   0     0 | 835k   11M|   0     0 |  18  1209 
  2   4  91   0   0   3|   0     0 | 803k   12M|   0     0 |  19  1131 
  1   1  62  34   0   2|   0    76k| 817k   12M|   0     0 |  18  1054 
  1   3  94   0   0   2|   0     0 | 798k   11M|   0     0 |  18   942 
  1   2  95   0   0   2|   0     0 | 826k   12M|   0     0 |  18   864 
  1   0  98   0   0   1|   0     0 | 821k   12M|   0     0 |  19   859 
  1   3  96   0   0   0|   0     0 | 819k   12M|   0     0 |  18   941 
  1   2  96   0   0   1|   0     0 | 811k   12M|   0     0 |  18   899 
  1   2  95   0   0   2|   0     0 | 833k   12M|   0     0 |  18   873 
  0   2  96   0   0   2|   0     0 | 811k   12M|   0     0 |  18   841 
  1   2  96   0   0   1|   0     0 | 825k   12M|   0     0 |  19   719 
  0   2  97   0   0   1|   0     0 | 811k   12M|   0     0 |  18   767 
  2   3  93   0   0   2|   0     0 | 804k   12M|   0     0 |  18   792 
  0   0  98   0   0   2|   0     0 | 830k   12M|   0     0 |  18   824 
  1   1  98   0   0   0|   0     0 | 804k   12M|   0     0 |  19   749 
  1   3  94   0   0   2|   0     0 | 820k   12M|   0     0 |  18   794 
  0   2  96   0   0   2|   0     0 | 814k   12M|   0     0 |  18   721 
  2   2  96   0   0   0|   0     0 | 805k   12M|   0     0 |  18   763 
  0   2  97   0   0   1|   0     0 | 789k   12M|   0     0 |  18   718 
  1   1  96   0   0   2|   0     0 | 830k   12M|   0     0 |  19   827 
  1   1  98   0   0   0|   0     0 | 795k   12M|   0     0 |  18   745 
  0   2  95   0   0   3|   0     0 | 826k   12M|   0     0 |  18   747 
  4   2  92   0   0   2|   0     0 | 817k   12M|   0     0 |  18   848 
  1   1  96   0   0   2|   0  8192B| 795k   12M|   0     0 |  18   750 
  1   3  95   0   0   1|   0     0 | 813k   12M|   0     0 |  19   779 
  1   1  97   0   0   1|   0     0 | 806k   12M|   0     0 |  18   775 
  1   3  93   0   0   3|   0     0 | 809k   12M|   0     0 |  18   727 
  0   3  97   0   0   0|   0     0 | 800k   11M|   0     0 |  18   724 
  3   1  96   0   0   0|   0     0 | 808k   12M|   0     0 |  18   754 
  1   2  96   0   0   1|   0     0 | 805k   12M|   0     0 |  19   666 
  0   2  97   0   0   1|   0     0 | 796k   12M|   0     0 |  18   664 
  0   1  98   0   0   1|   0     0 | 809k   12M|   0     0 |  18   768 
  1   1  97   0   0   1|   0     0 | 822k   12M|   0     0 |  18   878 
  1   3  93   2   0   1|   0    76k| 816k   12M|   0     0 |  18   762 
  1   3  94   0   0   2|   0     0 | 819k   12M|   0     0 |  19   718 
  1   2  97   0   0   0|   0     0 | 799k   12M|   0     0 |  18   732 
  0   2  96   0   0   2|   0     0 | 794k   12M|   0     0 |  18   741 
  2   1  95   0   0   2|   0     0 | 792k   11M|   0     0 |  18   801 
  0   3  97   0   0   0|   0     0 | 820k   12M|   0     0 |  18   735 
  1   1  97   0   0   1|   0     0 | 786k   12M|   0     0 |  19   743 
  2   1  96   0   0   1|   0     0 | 781k   12M|   0     0 |  18   804 
  1   2  97   0   0   0|   0     0 | 799k   12M|   0     0 |  18   710 
  0   2  98   0   0   0|   0     0 | 813k   12M|   0     0 |  18   721 
  1   2  96   0   0   1|   0     0 | 819k   12M|   0     0 |  18   784 
  1   2  96   0   0   1|   0     0 | 806k   12M|   0     0 |  19   696 
  0   1  99   0   0   0|   0     0 | 810k   12M|   0     0 |  18   715 
  2   1  96   0   0   1|   0     0 | 811k   12M|   0     0 |  18   728 
  2   3  94   0   0   1|   0     0 | 800k   12M|   0     0 |  18   839 
  2   3  95   0   0   0|   0     0 | 788k   11M|   0     0 |  19   708 
  1   1  97   0   0   1|   0     0 | 805k   12M|   0     0 |  18   673 
  0   1  97   0   0   2|   0     0 | 816k   12M|   0     0 |  18   729 
  1   1  97   0   0   1|   0     0 | 799k   12M|   0     0 |  18   689 
  0   3  95   0   0   2|   0     0 | 811k   12M|   0     0 |  18   737 
  0   2  98   0   0   0|   0     0 | 803k   12M|   0     0 |  19   715 
  1   1  97   0   0   1|   0     0 | 811k   12M|   0     0 |  18   719 
  2   3  94   0   0   1|   0     0 | 818k   12M|   0     0 |  18   771 
  1   2  95   0   0   2|   0     0 | 804k   12M|   0     0 |  18   744 
  0   2  96   0   0   2|   0     0 | 796k   12M|   0     0 |  18   737 
  2   2  94   0   0   2|   0     0 | 767k   11M|   0     0 |  19   714 
  1   2  97   0   0   0|   0     0 | 817k   12M|   0     0 |  18   715 
  1   1  98   0   0   0|   0     0 | 812k   12M|   0     0 |  18   655 
  0   2  97   0   0   1|   0     0 | 818k   12M|   0     0 |  18   718 
  1   1  97   0   0   1|   0     0 | 811k   12M|   0     0 |  18   721 
  1   1  93   3   0   2|   0    44k| 800k   12M|   0     0 |  19   711 
  2   1  95   0   0   2|   0    40k| 824k   12M|   0     0 |  17   735 
  1   1  98   0   0   0|   0     0 | 799k   12M|   0     0 |  19   698 
  0   1  99   0   0   0|   0     0 | 803k   12M|   0     0 |  18   726 
  2   2  95   0   0   1|   0     0 | 794k   12M|   0     0 |  18   755 
  1   2  96   0   0   1|   0     0 | 810k   12M|   0     0 |  19   771 
  0   0 100   0   0   0|   0     0 | 785k   12M|   0     0 |  18   713 
