1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          27.82          ---          ---     18.92000       112.39 
Gets          27.82      1493.80         8.70     52.94000      6036.51 
Waits          0.00          ---          ---      0.00000          --- 
Totals        55.65      1493.80         8.70     35.93000      6148.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.10
SET       2.200         0.31
SET       2.300         0.41
SET       2.400         0.72
SET       2.500         0.98
SET       2.600         1.23
SET       2.700         1.80
SET       2.800         2.05
SET       2.900         2.67
SET       3.000         2.98
SET       3.100         3.29
SET       3.200         3.75
SET       3.300         4.06
SET       3.400         4.26
SET       3.500         4.67
SET       3.600         4.93
SET       3.700         5.49
SET       3.800         5.70
SET       3.900         6.11
SET       4.000         6.52
SET       4.100         6.83
SET       4.200         7.24
SET       4.300         7.39
SET       4.400         7.80
SET       4.500         8.16
SET       4.600         8.42
SET       4.700         8.62
SET       4.800         9.03
SET       4.900         9.29
SET       5.000         9.45
SET       5.100         9.65
SET       5.200         9.91
SET       5.300        10.06
SET       5.400        10.32
SET       5.500        10.42
SET       5.600        10.52
SET       5.700        10.88
SET       5.800        10.99
SET       5.900        11.09
SET       6.000        11.40
SET       6.100        11.65
SET       6.300        11.86
SET       6.400        11.96
SET       6.500        12.17
SET       6.600        12.22
SET       6.800        12.37
SET       6.900        12.47
SET       7.000        12.68
SET       7.200        13.14
SET       7.300        13.40
SET       7.400        13.60
SET       7.500        13.96
SET       7.600        14.17
SET       7.700        14.22
SET       7.800        14.43
SET       7.900        14.68
SET       8.000        14.89
SET       8.100        15.14
SET       8.200        15.40
SET       8.300        15.61
SET       8.400        15.76
SET       8.500        15.91
SET       8.600        16.12
SET       8.700        16.22
SET       8.800        16.38
SET       8.900        16.43
SET       9.000        16.63
SET       9.100        16.99
SET       9.200        17.04
SET       9.300        17.30
SET       9.400        17.35
SET       9.500        17.66
SET       9.600        17.76
SET       9.700        17.81
SET       9.800        17.92
SET       9.900        18.17
SET      10.000        18.69
SET      11.000        20.02
SET      12.000        22.69
SET      13.000        25.92
SET      14.000        32.08
SET      15.000        44.05
SET      16.000        53.29
SET      17.000        56.52
SET      18.000        58.88
SET      19.000        60.06
SET      20.000        61.34
SET      21.000        62.89
SET      22.000        63.60
SET      23.000        64.99
SET      24.000        65.66
SET      25.000        66.27
SET      26.000        67.15
SET      27.000        68.43
SET      28.000        70.48
SET      29.000        73.72
SET      30.000        85.16
SET      31.000        95.74
SET      32.000        96.87
SET      33.000        97.54
SET      34.000        98.31
SET      35.000        98.82
SET      36.000        99.13
SET      37.000        99.28
SET      38.000        99.44
SET      39.000        99.54
SET      45.000        99.64
SET      46.000       100.00
---
GET       9.600         0.05
GET      10.000         0.10
GET      16.000         0.41
GET      17.000         0.72
GET      18.000         1.13
GET      19.000         1.49
GET      20.000         1.69
GET      21.000         1.80
GET      22.000         1.90
GET      23.000         2.00
GET      24.000         2.31
GET      25.000         2.77
GET      26.000         3.29
GET      27.000         3.75
GET      28.000         4.16
GET      29.000         4.47
GET      30.000         4.98
GET      31.000         6.31
GET      32.000        10.11
GET      33.000        12.27
GET      34.000        13.66
GET      35.000        14.37
GET      36.000        14.84
GET      37.000        15.40
GET      38.000        16.12
GET      39.000        17.15
GET      40.000        18.43
GET      41.000        19.35
GET      42.000        21.00
GET      43.000        23.00
GET      44.000        24.64
GET      45.000        26.39
GET      46.000        29.16
GET      47.000        36.86
GET      48.000        46.66
GET      49.000        49.18
GET      50.000        50.92
GET      51.000        52.21
GET      52.000        53.29
GET      53.000        54.36
GET      54.000        55.54
GET      55.000        56.67
GET      56.000        57.75
GET      57.000        59.29
GET      58.000        60.93
GET      59.000        62.94
GET      60.000        64.53
GET      61.000        66.17
GET      62.000        70.28
GET      63.000        80.29
GET      64.000        84.14
GET      65.000        86.04
GET      66.000        87.58
GET      67.000        88.35
GET      68.000        89.12
GET      69.000        89.73
GET      70.000        90.14
GET      71.000        90.45
GET      72.000        90.86
GET      73.000        91.22
GET      74.000        91.38
GET      75.000        91.58
GET      76.000        91.94
GET      77.000        92.61
GET      78.000        94.10
GET      79.000        96.46
GET      80.000        97.13
GET      81.000        97.48
GET      82.000        97.90
GET      83.000        98.10
GET      84.000        98.25
GET      85.000        98.36
GET      86.000        98.46
GET      87.000        98.51
GET      88.000        98.67
GET      89.000        98.72
GET      90.000        98.82
GET      91.000        98.97
GET      93.000        99.02
GET      94.000        99.23
GET      95.000        99.33
GET      96.000        99.44
GET      98.000        99.49
GET     100.000        99.59
GET     110.000        99.69
GET     120.000        99.90
GET     150.000       100.00
---
