[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  96   1   0   1|  24k  177k|   0     0 |   0     0 | 347  1223 
  3   2  93   0   0   2|   0     0 |6379k 1122k|   0     0 | 834  2602 
  1   2  94   0   0   3|   0     0 |7841k 1371k|   0     0 |1211  2825 
  1   2  95   0   0   2|   0     0 |8300k 1442k|   0     0 |1300  2944 
  2   3  93   0   0   2|   0     0 |7650k 1335k|   0     0 |1015  2857 
  1   2  95   0   0   2|   0     0 |8092k 1405k|   0     0 |1212  2997 
  1   2  94   0   0   3|   0     0 |8247k 1439k|   0     0 | 251  3113 
  1   2  95   0   0   2|   0     0 |8338k 1458k|   0     0 | 533  3102 
  2   3  94   0   0   2|   0     0 |8291k 1441k|   0     0 |1141  2979 
  1   2  94   0   0   4|   0     0 |7209k 1248k|   0     0 | 896  2737 
  2   3  94   0   0   2|   0     0 |7728k 1346k|   0     0 |1227  2787 
  2   3  92   1   0   3|   0    36k|8700k 1513k|   0     0 | 192  3300 
  1   3  94   0   0   3|   0     0 |7491k 1304k|   0     0 |1001  2769 
  3   3  92   0   0   3|   0     0 |8284k 1445k|   0     0 |1291  2943 
  1   3  94   0   0   3|   0     0 |7981k 1383k|   0     0 | 822  2852 
  2   2  94   0   0   2|   0     0 |8317k 1454k|   0     0 |1151  2935 
  3   3  91   0   0   4|   0     0 |8564k 1485k|   0     0 |1027  3089 
  2   2  93   0   0   3|   0     0 |8983k 1566k|   0     0 |1127  3024 
  2   3  92   0   0   3|   0     0 |8508k 1471k|   0     0 |1217  2956 
  3   3  92   0   0   2|   0     0 |8742k 1531k|   0     0 |1071  3080 
  2   3  92   0   0   3|   0     0 |8551k 1490k|   0     0 |1139  3024 
  1   3  93   0   0   3|   0     0 |9097k 1575k|   0     0 | 485  3211 
  3   3  91   0   0   4|   0     0 |8918k 1549k|   0     0 |1264  3102 
  2   2  94   0   0   2|   0     0 |8070k 1413k|   0     0 | 895  2821 
  1   2  95   0   0   2|   0     0 |7732k 1336k|   0     0 |1076  2727 
  2   3  93   0   0   3|   0     0 |7899k 1379k|   0     0 | 987  2797 
  2   4  93   0   0   2|   0     0 |8873k 1536k|   0     0 |1437  3181 
  2   3  93   0   0   3|   0     0 |8591k 1503k|   0     0 |1246  2957 
  1   3  93   0   0   3|   0     0 |8127k 1414k|   0     0 |1277  2878 
  1   2  94   0   0   3|   0     0 |8980k 1562k|   0     0 |1100  2929 
  2   3  92   0   0   4|   0     0 |8770k 1519k|   0     0 |1090  2975 
  3   3  94   0   0   1|   0  8192B|8490k 1485k|   0     0 | 705  3111 
  3   3  91   0   0   4|   0     0 |8660k 1504k|   0     0 |1083  3020 
  2   2  94   0   0   2|   0     0 |8587k 1496k|   0     0 |1107  2980 
  1   3  95   0   0   2|   0     0 |8091k 1402k|   0     0 | 892  2861 
  2   3  94   0   0   2|   0     0 |7479k 1307k|   0     0 |1112  2706 
  2   3  92   0   0   4|   0     0 |8172k 1419k|   0     0 |1137  2983 
  2   2  94   0   0   3|   0     0 |7595k 1325k|   0     0 |1071  2606 
  2   3  95   0   0   1|   0     0 |6912k 1205k|   0     0 | 785  2551 
  1   2  95   0   0   2|   0     0 |8676k 1511k|   0     0 | 399  3127 
  2   3  94   0   0   1|   0     0 |8588k 1494k|   0     0 | 725  2969 
  2   1  94   1   0   2|   0    44k|8391k 1457k|   0     0 |1005  2881 
  2   3  91   2   0   4|   0  4096B|8261k 1438k|   0     0 | 502  3039 
  1   3  93   0   0   3|   0     0 |8424k 1458k|   0     0 | 933  3119 
  2   2  95   0   0   1|   0     0 |8288k 1446k|   0     0 |1266  2854 
  2   2  93   0   0   3|   0     0 |8828k 1532k|   0     0 |1289  3064 
  2   3  93   0   0   3|   0     0 |8331k 1434k|   0     0 |1398  3009 
  3   4  91   0   0   3|   0    52k|8929k 1565k|   0     0 |1169  3040 
  1   2  94   0   0   3|   0     0 |8721k 1515k|   0     0 |1447  3140 
  2   2  95   0   0   2|   0     0 |8704k 1513k|   0     0 | 826  2893 
  3   3  93   0   0   2|   0     0 |8244k 1426k|   0     0 | 918  2841 
  1   2  95   0   0   2|   0     0 |8241k 1434k|   0     0 |1203  2674 
  3   3  93   0   0   2|   0     0 |8537k 1482k|   0     0 |1243  2836 
  2   4  93   0   0   2|   0     0 |8298k 1444k|   0     0 |1015  2918 
  1   2  96   0   0   1|   0     0 |8480k 1474k|   0     0 |1084  2927 
  1   3  94   0   0   3|   0     0 |8955k 1550k|   0     0 |1286  3160 
  3   3  91   0   0   3|   0     0 |8434k 1468k|   0     0 |1025  2887 
  1   3  94   0   0   2|   0    24k|8627k 1499k|   0     0 |1148  2886 
  2   2  92   0   0   3|   0     0 |8023k 1390k|   0     0 |1214  2879 
  1   4  91   0   0   4|   0     0 |9072k 1583k|   0     0 |1025  3056 
  2   1  96   0   0   2|   0     0 |8589k 1487k|   0     0 |1052  2801 
  2   3  93   0   0   3|   0     0 |8346k 1453k|   0     0 |1038  3108 
  3   3  92   0   0   3|   0     0 |9246k 1610k|   0     0 | 744  3173 
  2   1  94   0   0   3|   0    16k|8811k 1530k|   0     0 |1193  2879 
  2   3  94   0   0   2|   0     0 |8520k 1480k|   0     0 |1035  3005 
  3   3  91   0   0   3|   0     0 |8226k 1435k|   0     0 | 923  3083 
  1   2  95   0   0   3|   0     0 |8235k 1429k|   0     0 | 960  2885 
  3   3  91   0   0   3|   0     0 |8846k 1536k|   0     0 | 994  2982 
  2   2  95   0   0   2|   0     0 |9066k 1571k|   0     0 |1378  3050 
  1   3  94   0   0   3|   0  8192B|9045k 1577k|   0     0 |1123  3084 
  2   3  94   0   0   2|   0     0 |7535k 1307k|   0     0 |1150  2610 
