Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,6,0.019653,24818,5,0.166874,1675862,0,405,0,0.000000
1,9,0.020601,37231,9,0.092562,3012405,1,728,0,0.000000
2,9,0.017141,37229,9,0.075147,3016532,0,729,0,0.000000
3,11,0.012585,45500,11,0.095726,3686872,0,891,0,0.000000
4,5,0.019605,20682,5,0.148866,1671697,1,404,0,0.000000
5,9,0.019515,37228,9,0.104657,3016540,0,729,0,0.000000
6,12,0.016626,49636,12,0.060529,4017907,1,971,0,0.000000
7,13,0.013809,53773,13,0.065492,4357192,0,1053,0,0.000000
8,8,0.018822,33093,8,0.109441,2681346,0,648,0,0.000000
9,9,0.024432,37227,9,0.084133,3016568,0,729,0,0.000000
10,9,0.024521,37225,9,0.089088,3016490,0,729,0,0.000000
11,9,0.017796,37227,9,0.093316,3016540,0,729,0,0.000000
12,10,0.017591,41363,10,0.086026,3351708,0,810,0,0.000000
13,9,0.026810,37227,9,0.081164,3016552,0,729,0,0.000000
14,11,0.019953,45501,11,0.072991,3686882,0,891,0,0.000000
15,12,0.022632,49638,12,0.058817,4017941,1,971,0,0.000000
16,8,0.019811,33094,8,0.098842,2681332,0,648,0,0.000000
17,9,0.015226,37229,9,0.100573,3016558,0,729,0,0.000000
18,9,0.022629,37228,9,0.083229,3016536,0,729,0,0.000000
19,9,0.021965,37229,9,0.100650,3016536,0,729,0,0.000000
20,10,0.021132,41366,10,0.073167,3351686,0,810,0,0.000000
21,6,0.018438,24819,6,0.116082,2002766,2,484,0,0.000000
22,10,0.018602,41367,11,0.095948,3682743,1,890,0,0.000000
23,10,0.022915,41366,10,0.076055,3347589,1,809,0,0.000000
24,7,0.026997,28956,6,0.118978,2010998,0,486,0,0.000000
25,9,0.030390,37231,9,0.079073,3012421,1,728,0,0.000000
26,10,0.016037,41366,10,0.092786,3347613,1,809,0,0.000000
27,8,0.021348,33094,8,0.095850,2677241,1,647,0,0.000000
28,8,0.020723,33092,8,0.099710,2681364,0,648,0,0.000000
29,8,0.023447,33092,9,0.103054,3016550,0,729,0,0.000000
30,8,0.022388,33092,8,0.103749,2681330,0,648,0,0.000000
31,6,0.023342,24818,5,0.170820,1675868,0,405,0,0.000000
32,7,0.019399,28956,7,0.107972,2346176,0,567,0,0.000000
33,10,0.023659,41362,10,0.082037,3351700,0,810,0,0.000000
34,8,0.021746,33090,8,0.103272,2681340,0,648,0,0.000000
35,9,0.022813,37227,9,0.069169,3016502,0,729,0,0.000000
36,11,0.022091,45501,11,0.089073,3686912,0,891,0,0.000000
37,10,0.020481,41365,10,0.073276,3351678,0,810,0,0.000000
38,12,0.019997,49639,12,0.066366,4017899,1,971,0,0.000000
39,11,0.015548,45499,11,0.072003,3686852,0,891,0,0.000000
40,7,0.016044,28955,7,0.121588,2346190,0,567,0,0.000000
41,9,0.016502,37229,9,0.108306,3016544,0,729,0,0.000000
42,7,0.023173,28953,7,0.111140,2342053,1,566,0,0.000000
43,8,0.024168,33093,8,0.101965,2681370,0,648,0,0.000000
44,9,0.021439,37224,9,0.071713,3012401,1,728,0,0.000000
45,8,0.018181,33092,8,0.125046,2681380,0,648,0,0.000000
46,9,0.015095,37229,9,0.096024,3012401,1,728,0,0.000000
47,7,0.024302,28956,7,0.109150,2337960,2,565,0,0.000000
48,9,0.025401,37227,9,0.093632,3016502,0,729,0,0.000000
49,6,0.019972,24820,6,0.143092,2010990,0,486,0,0.000000
50,6,0.023677,24819,6,0.155133,2011032,0,486,0,0.000000
51,9,0.019035,37226,9,0.078164,3016536,0,729,0,0.000000
52,8,0.019275,33091,8,0.114901,2681386,0,648,0,0.000000
53,7,0.020936,28952,7,0.112135,2342057,1,566,0,0.000000
54,10,0.019210,41365,10,0.090879,3351660,0,810,0,0.000000
55,8,0.021806,33091,8,0.099067,2677229,1,647,0,0.000000
56,8,0.021141,33091,8,0.101187,2681356,0,648,0,0.000000
57,10,0.021680,41365,10,0.080915,3351700,0,810,0,0.000000
58,9,0.023436,37223,9,0.083116,3008276,2,727,0,0.000000
59,8,0.024041,33092,8,0.112130,2681336,0,648,0,0.000000
60,9,0.018542,37228,9,0.087816,3012411,1,728,0,0.000000
61,9,0.021348,37228,9,0.088651,3016506,0,729,0,0.000000
62,8,0.023577,33093,8,0.098141,2677215,1,647,0,0.000000
63,8,0.019790,33091,8,0.115627,2681344,0,648,0,0.000000
64,9,0.019190,37227,10,0.080485,3343422,2,808,0,0.000000
65,10,0.017042,41362,10,0.083527,3351676,0,810,0,0.000000
66,11,0.019231,45499,10,0.078326,3347565,1,809,0,0.000000
67,11,0.020985,45501,11,0.058089,3686864,0,891,0,0.000000
68,9,0.012845,37226,9,0.102108,3016526,0,729,0,0.000000
69,8,0.026505,33093,8,0.102388,2677213,1,647,0,0.000000
70,0,0.000000,0,1,0.094500,335176,0,81,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   6.000,0.16
   6.100,0.32
   6.800,0.49
   7.100,0.65
   7.500,0.81
   8.500,1.29
   8.900,1.46
   9.200,1.62
   9.300,1.78
   9.400,2.27
   9.800,2.43
   9.900,2.75
  10.000,3.56
  11.000,5.18
  12.000,6.63
  13.000,8.58
  14.000,10.19
  15.000,11.00
  16.000,12.30
  17.000,12.94
  18.000,13.59
  19.000,13.75
  20.000,14.40
  21.000,14.89
  22.000,15.37
  23.000,15.86
  24.000,16.18
  25.000,17.31
  26.000,18.61
  27.000,19.90
  28.000,21.04
  29.000,21.36
  30.000,21.68
  31.000,22.82
  32.000,23.14
  33.000,23.30
  34.000,23.62
  35.000,24.11
  36.000,24.92
  37.000,25.89
  38.000,26.54
  39.000,27.02
  40.000,27.35
  41.000,27.51
  42.000,28.32
  43.000,28.96
  44.000,30.10
  45.000,30.91
  46.000,31.39
  47.000,32.36
  48.000,32.69
  49.000,33.01
  50.000,33.17
  52.000,34.14
  53.000,35.60
  54.000,36.41
  55.000,37.22
  56.000,37.54
  57.000,37.86
  58.000,39.00
  59.000,39.32
  60.000,40.29
  61.000,40.45
  62.000,40.94
  63.000,41.42
  64.000,41.75
  65.000,42.23
  66.000,42.39
  67.000,43.20
  68.000,43.53
  69.000,44.01
  70.000,44.34
  71.000,44.66
  72.000,45.31
  73.000,46.12
  74.000,46.44
  75.000,46.93
  76.000,47.09
  77.000,47.25
  78.000,47.57
  79.000,48.38
  80.000,49.03
  82.000,49.35
  83.000,50.00
  84.000,50.65
  85.000,51.29
  86.000,51.62
  87.000,52.27
  88.000,53.07
  89.000,53.88
  90.000,54.21
  91.000,55.18
  92.000,55.34
  94.000,55.83
  95.000,56.96
  96.000,57.44
  97.000,58.09
  98.000,58.74
  99.000,59.06
 100.000,62.62
 110.000,66.83
 120.000,71.04
 130.000,75.73
 140.000,79.94
 150.000,81.07
 160.000,83.82
 170.000,87.22
 180.000,88.67
 190.000,90.94
 200.000,93.20
 210.000,93.85
 220.000,95.47
 230.000,96.44
 240.000,97.09
 250.000,98.06
 260.000,98.54
 270.000,99.03
 280.000,99.19
 290.000,99.51
 310.000,99.84
 340.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent
   2.100,0.16
   2.400,0.32
   2.600,0.65
   2.700,0.97
   2.800,1.29
   3.000,1.62
   3.100,1.78
   3.300,2.10
   3.500,2.59
   3.600,3.07
   3.700,3.72
   3.800,4.21
   3.900,4.69
   4.000,5.02
   4.100,5.18
   4.300,5.34
   4.400,5.50
   4.500,5.66
   4.600,5.99
   4.700,6.15
   4.800,6.63
   4.900,6.80
   5.000,6.96
   5.100,7.12
   5.200,7.28
   5.300,7.44
   5.400,7.77
   5.600,8.58
   5.800,9.22
   5.900,9.39
   6.000,9.71
   6.600,10.03
   6.700,10.19
   6.900,10.52
   7.200,10.84
   7.300,11.33
   7.500,11.49
   7.600,11.65
   7.800,11.81
   7.900,12.14
   8.000,12.30
   8.100,12.46
   8.200,13.11
   8.400,13.43
   8.500,14.24
   8.600,15.05
   8.800,15.21
   9.000,15.53
   9.100,15.70
   9.200,16.34
   9.300,16.67
   9.400,16.83
   9.600,17.48
   9.700,17.64
   9.900,17.80
  10.000,19.09
  11.000,21.84
  12.000,22.98
  13.000,24.11
  14.000,26.38
  15.000,32.85
  16.000,37.70
  17.000,39.32
  18.000,41.26
  19.000,47.09
  20.000,52.10
  21.000,56.47
  22.000,58.25
  23.000,59.87
  24.000,61.49
  25.000,65.37
  26.000,68.28
  27.000,71.04
  28.000,72.17
  29.000,74.11
  30.000,80.42
  31.000,88.19
  32.000,90.45
  33.000,92.72
  34.000,94.82
  35.000,96.12
  36.000,97.57
  37.000,98.87
  38.000,99.68
  46.000,99.84
  49.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
