1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          18.37          ---          ---     20.12200        74.22 
Gets          18.36      1486.37         0.83     88.76300      6006.29 
Waits          0.00          ---          ---      0.00000          --- 
Totals        36.74      1486.37         0.83     54.42900      6080.52 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.400         0.23
SET       2.600         0.47
SET       2.700         0.78
SET       2.800         0.85
SET       2.900         1.01
SET       3.000         1.24
SET       3.100         1.48
SET       3.200         1.63
SET       3.300         2.10
SET       3.400         2.25
SET       3.600         2.56
SET       3.700         2.87
SET       3.800         3.11
SET       3.900         3.42
SET       4.000         3.81
SET       4.100         4.04
SET       4.200         4.35
SET       4.300         4.51
SET       4.400         4.82
SET       4.500         5.36
SET       4.600         5.75
SET       4.700         6.14
SET       4.800         6.53
SET       4.900         6.99
SET       5.000         7.30
SET       5.100         7.38
SET       5.200         7.61
SET       5.300         7.85
SET       5.400         8.08
SET       5.500         8.24
SET       5.600         8.55
SET       5.700         8.70
SET       5.800         9.09
SET       5.900         9.17
SET       6.000         9.32
SET       6.100         9.40
SET       6.200         9.71
SET       6.300         9.79
SET       6.400        10.02
SET       6.500        10.26
SET       6.600        10.41
SET       6.700        10.64
SET       6.800        10.72
SET       6.900        10.96
SET       7.000        11.03
SET       7.100        11.19
SET       7.200        11.34
SET       7.300        11.50
SET       7.400        12.04
SET       7.500        12.20
SET       7.600        12.43
SET       7.700        12.74
SET       7.800        12.90
SET       7.900        13.05
SET       8.000        13.29
SET       8.100        13.52
SET       8.200        13.68
SET       8.300        14.06
SET       8.400        14.53
SET       8.500        15.00
SET       8.600        15.15
SET       8.700        15.70
SET       8.800        16.08
SET       8.900        16.39
SET       9.000        16.63
SET       9.100        17.02
SET       9.200        17.33
SET       9.300        17.72
SET       9.400        18.03
SET       9.500        18.57
SET       9.600        18.73
SET       9.700        18.88
SET       9.900        19.11
SET      10.000        20.12
SET      11.000        22.69
SET      12.000        24.09
SET      13.000        25.72
SET      14.000        28.59
SET      15.000        34.42
SET      16.000        38.85
SET      17.000        41.10
SET      18.000        43.98
SET      19.000        48.02
SET      20.000        51.98
SET      21.000        56.18
SET      22.000        58.28
SET      23.000        61.85
SET      24.000        65.11
SET      25.000        68.53
SET      26.000        70.55
SET      27.000        72.03
SET      28.000        73.50
SET      29.000        75.37
SET      30.000        82.75
SET      31.000        88.27
SET      32.000        90.37
SET      33.000        91.92
SET      34.000        93.63
SET      35.000        95.26
SET      36.000        97.44
SET      37.000        99.15
SET      38.000        99.46
SET      39.000        99.61
SET      41.000        99.77
SET      42.000        99.84
SET      51.000        99.92
SET      55.000       100.00
---
GET       6.000         0.08
GET       6.200         0.16
GET       6.300         0.23
GET       6.700         0.31
GET       6.900         0.39
GET       7.000         0.47
GET       7.300         0.54
GET       7.500         0.70
GET       7.600         0.86
GET       7.800         1.17
GET       7.900         1.32
GET       8.000         1.56
GET       8.100         1.63
GET       8.200         1.87
GET       8.300         2.26
GET       8.400         2.49
GET       8.800         2.57
GET       8.900         2.64
GET       9.000         2.72
GET       9.100         3.03
GET       9.300         3.11
GET       9.400         3.19
GET       9.500         3.27
GET       9.700         3.34
GET       9.800         3.58
GET      10.000         4.59
GET      11.000         6.69
GET      12.000         7.70
GET      13.000         9.02
GET      14.000        10.50
GET      15.000        11.98
GET      16.000        13.53
GET      17.000        14.00
GET      18.000        15.01
GET      19.000        15.94
GET      20.000        16.64
GET      21.000        17.96
GET      22.000        18.74
GET      23.000        19.36
GET      24.000        20.22
GET      25.000        21.00
GET      26.000        21.38
GET      27.000        22.32
GET      28.000        22.63
GET      29.000        22.86
GET      30.000        23.79
GET      31.000        24.03
GET      32.000        24.18
GET      33.000        24.65
GET      34.000        25.04
GET      35.000        25.43
GET      36.000        26.21
GET      37.000        26.75
GET      38.000        27.76
GET      39.000        28.46
GET      40.000        29.00
GET      41.000        29.39
GET      42.000        30.56
GET      43.000        31.42
GET      44.000        32.04
GET      45.000        33.05
GET      46.000        33.59
GET      47.000        33.90
GET      48.000        34.53
GET      49.000        34.76
GET      50.000        34.99
GET      51.000        35.23
GET      52.000        35.93
GET      53.000        36.47
GET      54.000        37.17
GET      55.000        37.48
GET      56.000        37.71
GET      57.000        38.10
GET      58.000        38.80
GET      59.000        39.66
GET      60.000        40.05
GET      61.000        40.75
GET      62.000        41.21
GET      63.000        42.15
GET      64.000        42.53
GET      65.000        42.85
GET      66.000        43.16
GET      67.000        44.17
GET      68.000        45.02
GET      69.000        45.72
GET      70.000        46.35
GET      71.000        46.73
GET      72.000        47.12
GET      73.000        47.67
GET      74.000        48.37
GET      75.000        48.99
GET      76.000        49.53
GET      77.000        49.92
GET      78.000        50.54
GET      79.000        51.63
GET      80.000        52.64
GET      81.000        53.11
GET      82.000        53.50
GET      83.000        54.20
GET      84.000        54.98
GET      85.000        56.07
GET      86.000        56.77
GET      87.000        57.00
GET      88.000        57.47
GET      89.000        57.93
GET      90.000        58.79
GET      91.000        59.41
GET      92.000        59.49
GET      93.000        59.64
GET      94.000        60.50
GET      95.000        61.59
GET      96.000        61.66
GET      97.000        61.98
GET      98.000        62.21
GET      99.000        62.83
GET     100.000        64.93
GET     110.000        68.97
GET     120.000        73.02
GET     130.000        77.06
GET     140.000        80.40
GET     150.000        82.19
GET     160.000        86.47
GET     170.000        88.72
GET     180.000        89.97
GET     190.000        91.99
GET     200.000        93.86
GET     210.000        94.40
GET     220.000        96.03
GET     230.000        96.66
GET     240.000        97.59
GET     250.000        98.52
GET     260.000        98.76
GET     270.000        99.22
GET     280.000        99.38
GET     290.000        99.46
GET     300.000        99.69
GET     310.000        99.84
GET     320.000        99.92
GET     380.000       100.00
---
