1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets          18.35          ---          ---     21.40100        74.14 
Gets          18.35      1485.83         0.81     87.54400      6004.12 
Waits          0.00          ---          ---      0.00000          --- 
Totals        36.71      1485.83         0.81     54.47200      6078.26 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.08
SET       2.200         0.16
SET       2.300         0.23
SET       2.400         0.39
SET       2.500         0.47
SET       2.600         0.86
SET       2.800         1.09
SET       2.900         1.17
SET       3.000         1.56
SET       3.100         1.63
SET       3.200         1.94
SET       3.300         2.26
SET       3.400         2.49
SET       3.500         3.11
SET       3.600         3.19
SET       3.700         3.27
SET       3.800         3.89
SET       3.900         3.97
SET       4.000         4.12
SET       4.100         4.43
SET       4.200         4.82
SET       4.500         5.13
SET       4.600         5.29
SET       4.700         5.37
SET       4.800         5.52
SET       4.900         5.68
SET       5.100         5.91
SET       5.200         5.99
SET       5.400         6.14
SET       5.500         6.22
SET       5.600         6.38
SET       5.700         6.45
SET       5.800         6.53
SET       5.900         6.69
SET       6.100         6.77
SET       6.200         7.00
SET       6.300         7.47
SET       6.400         7.62
SET       6.500         7.78
SET       6.700         7.93
SET       6.800         8.01
SET       7.000         8.24
SET       7.100         8.40
SET       7.200         8.63
SET       7.300         8.79
SET       7.400         8.86
SET       7.500         8.94
SET       7.600         9.33
SET       7.700         9.56
SET       7.800         9.72
SET       8.000         9.80
SET       8.100         9.88
SET       8.200         9.95
SET       8.300        10.03
SET       8.400        10.50
SET       8.500        10.65
SET       8.600        11.04
SET       8.700        11.20
SET       8.800        11.28
SET       8.900        11.35
SET       9.000        11.51
SET       9.100        12.05
SET       9.200        12.29
SET       9.300        12.52
SET       9.600        12.60
SET       9.700        12.83
SET       9.900        13.14
SET      10.000        14.31
SET      11.000        16.87
SET      12.000        19.52
SET      13.000        22.55
SET      14.000        26.98
SET      15.000        36.39
SET      16.000        42.30
SET      17.000        44.95
SET      18.000        45.80
SET      19.000        46.50
SET      20.000        47.28
SET      21.000        47.59
SET      22.000        48.29
SET      23.000        49.22
SET      24.000        50.16
SET      25.000        51.79
SET      26.000        54.28
SET      27.000        57.70
SET      28.000        60.81
SET      29.000        66.72
SET      30.000        79.78
SET      31.000        94.79
SET      32.000        96.42
SET      33.000        97.36
SET      34.000        97.59
SET      35.000        97.98
SET      36.000        98.29
SET      37.000        98.68
SET      38.000        98.83
SET      39.000        98.99
SET      40.000        99.14
SET      41.000        99.30
SET      42.000        99.38
SET      45.000        99.61
SET      46.000       100.00
---
GET      13.000         0.08
GET      30.000         0.16
GET      33.000         0.23
GET      34.000         0.39
GET      36.000         0.47
GET      37.000         0.54
GET      38.000         0.62
GET      42.000         0.70
GET      43.000         0.86
GET      44.000         0.93
GET      45.000         1.17
GET      46.000         1.40
GET      47.000         2.26
GET      48.000         3.50
GET      49.000         3.73
GET      50.000         4.35
GET      51.000         4.67
GET      52.000         5.05
GET      53.000         5.21
GET      54.000         5.29
GET      55.000         5.44
GET      56.000         5.91
GET      57.000         6.07
GET      58.000         6.69
GET      59.000         7.08
GET      60.000         7.39
GET      61.000         7.85
GET      62.000         9.10
GET      63.000        13.14
GET      64.000        15.09
GET      65.000        16.33
GET      66.000        17.65
GET      67.000        18.58
GET      68.000        19.05
GET      69.000        19.67
GET      70.000        20.14
GET      71.000        20.84
GET      72.000        21.07
GET      73.000        21.54
GET      74.000        22.47
GET      75.000        23.41
GET      76.000        24.18
GET      77.000        25.51
GET      78.000        28.38
GET      79.000        36.55
GET      80.000        40.28
GET      81.000        42.53
GET      82.000        44.79
GET      83.000        46.73
GET      84.000        47.82
GET      85.000        48.44
GET      86.000        49.30
GET      87.000        50.00
GET      88.000        51.09
GET      89.000        52.02
GET      90.000        53.11
GET      91.000        53.89
GET      92.000        54.51
GET      93.000        56.45
GET      94.000        63.92
GET      95.000        69.75
GET      96.000        73.02
GET      97.000        74.65
GET      98.000        76.21
GET      99.000        77.29
GET     100.000        79.78
GET     110.000        93.08
GET     120.000        95.49
GET     130.000        98.44
GET     140.000        99.46
GET     150.000        99.61
GET     160.000        99.69
GET     170.000        99.92
GET     210.000       100.00
---
