1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         169.34          ---          ---      5.91300       684.04 
Gets         169.31      1518.27         5.53      5.87900      6136.74 
Waits          0.00          ---          ---      0.00000          --- 
Totals       338.65      1518.27         5.53      5.89600      6820.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.600         0.02
SET       1.700         0.13
SET       1.800         0.32
SET       1.900         0.67
SET       2.000         1.38
SET       2.100         2.24
SET       2.200         3.48
SET       2.300         5.19
SET       2.400         7.02
SET       2.500         8.65
SET       2.600        10.60
SET       2.700        12.56
SET       2.800        14.82
SET       2.900        16.86
SET       3.000        18.74
SET       3.100        20.63
SET       3.200        22.14
SET       3.300        23.59
SET       3.400        25.15
SET       3.500        26.62
SET       3.600        27.80
SET       3.700        29.09
SET       3.800        30.25
SET       3.900        31.36
SET       4.000        32.60
SET       4.100        33.56
SET       4.200        34.65
SET       4.300        35.67
SET       4.400        36.59
SET       4.500        37.38
SET       4.600        38.21
SET       4.700        39.06
SET       4.800        40.12
SET       4.900        41.07
SET       5.000        41.94
SET       5.100        42.99
SET       5.200        43.90
SET       5.300        44.81
SET       5.400        45.82
SET       5.500        46.73
SET       5.600        47.66
SET       5.700        48.72
SET       5.800        49.89
SET       5.900        50.82
SET       6.000        52.06
SET       6.100        53.26
SET       6.200        54.55
SET       6.300        55.75
SET       6.400        56.99
SET       6.500        58.42
SET       6.600        59.75
SET       6.700        61.35
SET       6.800        62.89
SET       6.900        64.48
SET       7.000        66.24
SET       7.100        67.81
SET       7.200        69.45
SET       7.300        71.06
SET       7.400        72.71
SET       7.500        74.40
SET       7.600        75.86
SET       7.700        77.53
SET       7.800        78.74
SET       7.900        80.23
SET       8.000        81.46
SET       8.100        82.49
SET       8.200        83.41
SET       8.300        84.47
SET       8.400        85.24
SET       8.500        85.97
SET       8.600        86.71
SET       8.700        87.50
SET       8.800        88.32
SET       8.900        88.91
SET       9.000        89.50
SET       9.100        90.03
SET       9.200        90.47
SET       9.300        90.98
SET       9.400        91.39
SET       9.500        91.71
SET       9.600        92.07
SET       9.700        92.39
SET       9.800        92.75
SET       9.900        92.99
SET      10.000        94.45
SET      11.000        96.41
SET      12.000        97.64
SET      13.000        98.34
SET      14.000        98.93
SET      15.000        99.31
SET      16.000        99.49
SET      17.000        99.70
SET      18.000        99.77
SET      19.000        99.84
SET      20.000        99.89
SET      21.000        99.92
SET      24.000        99.94
SET      25.000        99.96
SET      26.000        99.97
SET      28.000        99.99
SET      29.000       100.00
---
GET       1.500         0.02
GET       1.600         0.05
GET       1.700         0.13
GET       1.800         0.37
GET       1.900         0.79
GET       2.000         1.30
GET       2.100         2.33
GET       2.200         3.59
GET       2.300         5.01
GET       2.400         6.71
GET       2.500         8.93
GET       2.600        11.12
GET       2.700        13.37
GET       2.800        15.79
GET       2.900        18.01
GET       3.000        20.42
GET       3.100        22.61
GET       3.200        24.63
GET       3.300        26.26
GET       3.400        27.83
GET       3.500        29.65
GET       3.600        31.40
GET       3.700        32.87
GET       3.800        34.13
GET       3.900        35.52
GET       4.000        36.82
GET       4.100        38.07
GET       4.200        39.26
GET       4.300        40.20
GET       4.400        41.32
GET       4.500        42.24
GET       4.600        43.44
GET       4.700        44.56
GET       4.800        45.26
GET       4.900        46.27
GET       5.000        47.27
GET       5.100        48.14
GET       5.200        48.97
GET       5.300        49.91
GET       5.400        50.84
GET       5.500        51.68
GET       5.600        52.66
GET       5.700        53.54
GET       5.800        54.41
GET       5.900        55.46
GET       6.000        56.61
GET       6.100        57.43
GET       6.200        58.64
GET       6.300        59.96
GET       6.400        61.20
GET       6.500        62.19
GET       6.600        63.37
GET       6.700        64.46
GET       6.800        65.50
GET       6.900        66.61
GET       7.000        67.90
GET       7.100        69.33
GET       7.200        70.45
GET       7.300        71.88
GET       7.400        73.11
GET       7.500        74.36
GET       7.600        75.67
GET       7.700        77.04
GET       7.800        78.34
GET       7.900        79.51
GET       8.000        80.55
GET       8.100        81.49
GET       8.200        82.59
GET       8.300        83.60
GET       8.400        84.53
GET       8.500        85.30
GET       8.600        85.98
GET       8.700        86.68
GET       8.800        87.50
GET       8.900        88.18
GET       9.000        88.86
GET       9.100        89.37
GET       9.200        89.89
GET       9.300        90.47
GET       9.400        90.90
GET       9.500        91.26
GET       9.600        91.66
GET       9.700        92.00
GET       9.800        92.41
GET       9.900        92.72
GET      10.000        94.02
GET      11.000        95.74
GET      12.000        96.95
GET      13.000        97.72
GET      14.000        98.41
GET      15.000        98.83
GET      16.000        99.16
GET      17.000        99.35
GET      18.000        99.54
GET      19.000        99.60
GET      20.000        99.63
GET      21.000        99.65
GET      22.000        99.66
GET      23.000        99.67
GET      25.000        99.69
GET      26.000        99.70
GET      28.000        99.72
GET      29.000        99.73
GET      44.000        99.74
GET      45.000        99.78
GET      46.000        99.81
GET      47.000        99.82
GET      48.000        99.84
GET      49.000        99.86
GET      50.000        99.91
GET      51.000        99.94
GET      52.000        99.95
GET      53.000        99.96
GET      54.000        99.97
GET      55.000        99.97
GET      57.000       100.00
---
