1         Threads
2         Connections per thread
70        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
------------------------------------------------------------------------
Sets         157.62          ---          ---      6.26200       636.70 
Gets         157.59      1413.36         4.97      6.41100      5712.71 
Waits          0.00          ---          ---      0.00000          --- 
Totals       315.21      1413.36         4.97      6.33600      6349.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.500         0.01
SET       1.600         0.05
SET       1.700         0.23
SET       1.800         0.56
SET       1.900         1.21
SET       2.000         2.39
SET       2.100         3.88
SET       2.200         5.38
SET       2.300         7.18
SET       2.400         9.07
SET       2.500        11.31
SET       2.600        13.58
SET       2.700        15.42
SET       2.800        17.24
SET       2.900        19.08
SET       3.000        20.52
SET       3.100        22.12
SET       3.200        23.59
SET       3.300        24.90
SET       3.400        25.98
SET       3.500        27.18
SET       3.600        28.24
SET       3.700        29.29
SET       3.800        30.33
SET       3.900        31.34
SET       4.000        32.35
SET       4.100        33.12
SET       4.200        33.90
SET       4.300        34.81
SET       4.400        35.45
SET       4.500        36.09
SET       4.600        36.79
SET       4.700        37.42
SET       4.800        38.21
SET       4.900        38.96
SET       5.000        39.69
SET       5.100        40.47
SET       5.200        40.97
SET       5.300        41.76
SET       5.400        42.45
SET       5.500        43.09
SET       5.600        43.83
SET       5.700        44.55
SET       5.800        45.30
SET       5.900        46.17
SET       6.000        46.92
SET       6.100        47.77
SET       6.200        48.54
SET       6.300        49.40
SET       6.400        50.27
SET       6.500        51.18
SET       6.600        51.98
SET       6.700        53.07
SET       6.800        54.01
SET       6.900        54.95
SET       7.000        56.03
SET       7.100        57.24
SET       7.200        58.67
SET       7.300        60.12
SET       7.400        61.57
SET       7.500        63.39
SET       7.600        65.05
SET       7.700        66.68
SET       7.800        68.60
SET       7.900        70.34
SET       8.000        72.20
SET       8.100        74.12
SET       8.200        75.66
SET       8.300        77.12
SET       8.400        78.64
SET       8.500        79.95
SET       8.600        81.16
SET       8.700        82.51
SET       8.800        83.58
SET       8.900        84.43
SET       9.000        85.31
SET       9.100        86.13
SET       9.200        86.90
SET       9.300        87.55
SET       9.400        88.23
SET       9.500        88.76
SET       9.600        89.39
SET       9.700        89.89
SET       9.800        90.38
SET       9.900        90.96
SET      10.000        92.94
SET      11.000        95.18
SET      12.000        96.85
SET      13.000        97.79
SET      14.000        98.50
SET      15.000        99.01
SET      16.000        99.23
SET      17.000        99.50
SET      18.000        99.67
SET      19.000        99.76
SET      20.000        99.82
SET      21.000        99.85
SET      22.000        99.88
SET      23.000        99.89
SET      24.000        99.93
SET      26.000        99.95
SET      27.000        99.97
SET      30.000        99.99
SET      32.000       100.00
---
GET       1.400         0.02
GET       1.500         0.05
GET       1.600         0.23
GET       1.700         0.48
GET       1.800         1.09
GET       1.900         1.72
GET       2.000         2.97
GET       2.100         4.45
GET       2.200         5.94
GET       2.300         7.65
GET       2.400         9.70
GET       2.500        11.58
GET       2.600        13.61
GET       2.700        15.52
GET       2.800        17.21
GET       2.900        18.72
GET       3.000        20.26
GET       3.100        21.62
GET       3.200        23.01
GET       3.300        24.42
GET       3.400        25.46
GET       3.500        26.47
GET       3.600        27.46
GET       3.700        28.34
GET       3.800        29.16
GET       3.900        30.14
GET       4.000        31.02
GET       4.100        31.92
GET       4.200        32.59
GET       4.300        33.27
GET       4.400        33.84
GET       4.500        34.50
GET       4.600        35.30
GET       4.700        35.95
GET       4.800        36.68
GET       4.900        37.38
GET       5.000        38.22
GET       5.100        38.93
GET       5.200        39.46
GET       5.300        40.13
GET       5.400        40.82
GET       5.500        41.53
GET       5.600        42.31
GET       5.700        43.10
GET       5.800        43.91
GET       5.900        44.76
GET       6.000        45.47
GET       6.100        46.35
GET       6.200        47.47
GET       6.300        48.48
GET       6.400        49.39
GET       6.500        50.41
GET       6.600        51.52
GET       6.700        52.75
GET       6.800        53.84
GET       6.900        55.09
GET       7.000        56.32
GET       7.100        57.64
GET       7.200        58.99
GET       7.300        60.43
GET       7.400        61.98
GET       7.500        63.69
GET       7.600        65.32
GET       7.700        67.10
GET       7.800        68.70
GET       7.900        70.33
GET       8.000        72.09
GET       8.100        73.70
GET       8.200        75.22
GET       8.300        76.57
GET       8.400        77.95
GET       8.500        79.48
GET       8.600        80.59
GET       8.700        81.71
GET       8.800        82.88
GET       8.900        83.89
GET       9.000        84.72
GET       9.100        85.60
GET       9.200        86.17
GET       9.300        86.88
GET       9.400        87.42
GET       9.500        88.17
GET       9.600        88.81
GET       9.700        89.46
GET       9.800        89.94
GET       9.900        90.46
GET      10.000        92.49
GET      11.000        94.71
GET      12.000        96.19
GET      13.000        97.37
GET      14.000        98.03
GET      15.000        98.58
GET      16.000        99.14
GET      17.000        99.37
GET      18.000        99.51
GET      19.000        99.63
GET      20.000        99.65
GET      21.000        99.67
GET      22.000        99.74
GET      23.000        99.75
GET      24.000        99.78
GET      25.000        99.79
GET      26.000        99.81
GET      27.000        99.82
GET      28.000        99.83
GET      30.000        99.84
GET      45.000        99.85
GET      46.000        99.86
GET      48.000        99.88
GET      49.000        99.91
GET      50.000        99.92
GET      51.000        99.95
GET      53.000        99.95
GET      54.000        99.98
GET     100.000        99.99
GET     210.000       100.00
---
