Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,30,0.032615,124438,0,30,0,0.000000
1,0,0.000000,0,34,0.029817,132780,2,32,0,0.000000
2,0,0.000000,0,31,0.032456,128584,0,31,0,0.000000
3,0,0.000000,0,31,0.032245,124453,1,30,0,0.000000
4,0,0.000000,0,29,0.034450,120288,0,29,0,0.000000
5,0,0.000000,0,32,0.031201,132734,0,32,0,0.000000
6,0,0.000000,0,32,0.030598,128605,1,31,0,0.000000
7,0,0.000000,0,31,0.032328,128580,0,31,0,0.000000
8,0,0.000000,0,32,0.031644,132726,0,32,0,0.000000
9,0,0.000000,0,31,0.032264,128586,0,31,0,0.000000
10,0,0.000000,0,31,0.032484,128578,0,31,0,0.000000
11,0,0.000000,0,31,0.032044,128582,0,31,0,0.000000
12,0,0.000000,0,31,0.031743,128578,0,31,0,0.000000
13,0,0.000000,0,33,0.030842,132755,1,32,0,0.000000
14,0,0.000000,0,30,0.032712,124432,0,30,0,0.000000
15,0,0.000000,0,32,0.031906,132730,0,32,0,0.000000
16,0,0.000000,0,30,0.032255,124440,0,30,0,0.000000
17,0,0.000000,0,31,0.032814,128584,0,31,0,0.000000
18,0,0.000000,0,30,0.033123,124436,0,30,0,0.000000
19,0,0.000000,0,32,0.031797,128603,1,31,0,0.000000
20,0,0.000000,0,33,0.030404,132745,1,32,0,0.000000
21,0,0.000000,0,32,0.030719,128603,1,31,0,0.000000
22,0,0.000000,0,32,0.031773,132732,0,32,0,0.000000
23,0,0.000000,0,32,0.031151,128601,1,31,0,0.000000
24,0,0.000000,0,31,0.031821,128586,0,31,0,0.000000
25,0,0.000000,0,30,0.033218,124440,0,30,0,0.000000
26,0,0.000000,0,31,0.032374,124449,1,30,0,0.000000
27,0,0.000000,0,31,0.032218,128584,0,31,0,0.000000
28,0,0.000000,0,30,0.033942,124424,0,30,0,0.000000
29,0,0.000000,0,30,0.033195,120303,1,29,0,0.000000
30,0,0.000000,0,30,0.033329,124438,0,30,0,0.000000
31,0,0.000000,0,29,0.034597,120282,0,29,0,0.000000
32,0,0.000000,0,30,0.032974,124430,0,30,0,0.000000
33,0,0.000000,0,31,0.032438,128584,0,31,0,0.000000
34,0,0.000000,0,31,0.031699,124453,1,30,0,0.000000
35,0,0.000000,0,32,0.031749,132728,0,32,0,0.000000
36,0,0.000000,0,32,0.031274,128605,1,31,0,0.000000
37,0,0.000000,0,30,0.033320,124432,0,30,0,0.000000
38,0,0.000000,0,30,0.033151,124436,0,30,0,0.000000
39,0,0.000000,0,30,0.032942,124436,0,30,0,0.000000
40,0,0.000000,0,31,0.032563,128582,0,31,0,0.000000
41,0,0.000000,0,30,0.033010,124430,0,30,0,0.000000
42,0,0.000000,0,32,0.031682,132728,0,32,0,0.000000
43,0,0.000000,0,32,0.030797,128605,1,31,0,0.000000
44,0,0.000000,0,31,0.032919,128582,0,31,0,0.000000
45,0,0.000000,0,31,0.032308,128578,0,31,0,0.000000
46,0,0.000000,0,31,0.031539,124455,1,30,0,0.000000
47,0,0.000000,0,30,0.033378,124428,0,30,0,0.000000
48,0,0.000000,0,30,0.033842,124438,0,30,0,0.000000
49,0,0.000000,0,29,0.033899,120286,0,29,0,0.000000
50,0,0.000000,0,30,0.033144,120305,1,29,0,0.000000
