Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,163,0.006122,663727,3,160,0,0.000000
1,0,0.000000,0,193,0.005166,796401,1,192,0,0.000000
2,0,0.000000,0,201,0.004979,829585,1,200,0,0.000000
3,0,0.000000,0,196,0.005072,796460,4,192,0,0.000000
4,0,0.000000,0,203,0.004913,833744,2,201,0,0.000000
5,0,0.000000,0,205,0.004881,842042,2,203,0,0.000000
6,0,0.000000,0,201,0.004982,829579,1,200,0,0.000000
7,0,0.000000,0,194,0.005143,796412,2,192,0,0.000000
8,0,0.000000,0,204,0.004900,833773,3,201,0,0.000000
9,0,0.000000,0,199,0.005022,817164,2,197,0,0.000000
10,0,0.000000,0,202,0.004926,825483,3,199,0,0.000000
11,0,0.000000,0,203,0.004939,837881,1,202,0,0.000000
12,0,0.000000,0,181,0.005484,738370,3,178,0,0.000000
13,0,0.000000,0,205,0.004887,846159,1,204,0,0.000000
14,0,0.000000,0,204,0.004903,846118,0,204,0,0.000000
15,0,0.000000,0,197,0.005073,812991,1,196,0,0.000000
16,0,0.000000,0,200,0.004987,813056,4,196,0,0.000000
17,0,0.000000,0,206,0.004844,837938,4,202,0,0.000000
18,0,0.000000,0,205,0.004845,846177,1,204,0,0.000000
19,0,0.000000,0,201,0.004977,825466,2,199,0,0.000000
20,0,0.000000,0,219,0.004577,895993,3,216,0,0.000000
21,0,0.000000,0,204,0.004891,842017,1,203,0,0.000000
22,0,0.000000,0,207,0.004825,846203,3,204,0,0.000000
23,0,0.000000,0,197,0.005073,812993,1,196,0,0.000000
24,0,0.000000,0,199,0.005018,808900,4,195,0,0.000000
25,0,0.000000,0,196,0.005079,812964,0,196,0,0.000000
26,0,0.000000,0,195,0.005129,808798,0,195,0,0.000000
27,0,0.000000,0,204,0.004889,842035,1,203,0,0.000000
28,0,0.000000,0,194,0.005162,796420,2,192,0,0.000000
29,0,0.000000,0,199,0.005017,817152,2,197,0,0.000000
30,0,0.000000,0,198,0.005042,817135,1,197,0,0.000000
31,0,0.000000,0,198,0.005031,804740,4,194,0,0.000000
32,0,0.000000,0,213,0.004708,866986,4,209,0,0.000000
33,0,0.000000,0,205,0.004841,842042,2,203,0,0.000000
34,0,0.000000,0,195,0.005144,804709,1,194,0,0.000000
35,0,0.000000,0,201,0.004968,833716,0,201,0,0.000000
36,0,0.000000,0,199,0.005022,821290,1,198,0,0.000000
37,0,0.000000,0,206,0.004849,842057,3,203,0,0.000000
38,0,0.000000,0,210,0.004747,862768,2,208,0,0.000000
39,0,0.000000,0,198,0.005036,817145,1,197,0,0.000000
40,0,0.000000,0,202,0.004958,833705,1,201,0,0.000000
41,0,0.000000,0,208,0.004809,854502,2,206,0,0.000000
42,0,0.000000,0,205,0.004858,837925,3,202,0,0.000000
43,0,0.000000,0,206,0.004854,850319,1,205,0,0.000000
44,0,0.000000,0,192,0.005170,796362,0,192,0,0.000000
45,0,0.000000,0,206,0.004879,833825,5,201,0,0.000000
46,0,0.000000,0,204,0.004893,846146,0,204,0,0.000000
47,0,0.000000,0,207,0.004823,846225,3,204,0,0.000000
48,0,0.000000,0,196,0.005076,812964,0,196,0,0.000000
49,0,0.000000,0,203,0.004939,833742,2,201,0,0.000000
50,0,0.000000,0,212,0.004689,866969,3,209,0,0.000000
51,0,0.000000,0,197,0.005083,800632,4,193,0,0.000000
52,0,0.000000,0,208,0.004798,858605,1,207,0,0.000000
53,0,0.000000,0,198,0.005048,813006,2,196,0,0.000000
54,0,0.000000,0,209,0.004784,858632,2,207,0,0.000000
55,0,0.000000,0,201,0.004973,821337,3,198,0,0.000000
56,0,0.000000,0,199,0.004993,821297,1,198,0,0.000000
57,0,0.000000,0,196,0.005127,804714,2,194,0,0.000000
58,0,0.000000,0,204,0.004897,837896,2,202,0,0.000000
59,0,0.000000,0,211,0.004731,866956,2,209,0,0.000000
60,0,0.000000,0,210,0.004751,871032,0,210,0,0.000000
61,0,0.000000,0,209,0.004757,858632,2,207,0,0.000000
62,0,0.000000,0,211,0.004733,862797,3,208,0,0.000000
63,0,0.000000,0,203,0.004929,841998,0,203,0,0.000000
64,0,0.000000,0,203,0.004923,841986,0,203,0,0.000000
65,0,0.000000,0,208,0.004793,850377,3,205,0,0.000000
66,0,0.000000,0,207,0.004815,858600,0,207,0,0.000000
67,0,0.000000,0,203,0.004929,837873,1,202,0,0.000000
68,0,0.000000,0,201,0.004959,825454,2,199,0,0.000000
69,0,0.000000,0,215,0.004659,879395,3,212,0,0.000000
70,0,0.000000,0,1,0.007239,4148,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.920,0.01
   1.100,0.04
   1.200,0.08
   1.300,0.21
   1.400,0.50
   1.500,1.27
   1.600,2.90
   1.700,5.80
   1.800,9.40
   1.900,14.09
   2.000,19.30
   2.100,24.32
   2.200,28.77
   2.300,32.57
   2.400,35.78
   2.500,38.36
   2.600,40.40
   2.700,42.14
   2.800,43.30
   2.900,44.28
   3.000,45.05
   3.100,45.65
   3.200,46.20
   3.300,46.64
   3.400,47.15
   3.500,47.57
   3.600,47.92
   3.700,48.23
   3.800,48.45
   3.900,48.73
   4.000,49.01
   4.100,49.29
   4.200,49.49
   4.300,49.73
   4.400,50.02
   4.500,50.26
   4.600,50.47
   4.700,50.75
   4.800,51.00
   4.900,51.21
   5.000,51.45
   5.100,51.75
   5.200,51.98
   5.300,52.25
   5.400,52.56
   5.500,52.88
   5.600,53.22
   5.700,53.74
   5.800,54.16
   5.900,54.69
   6.000,55.33
   6.100,55.85
   6.200,56.60
   6.300,57.45
   6.400,58.27
   6.500,59.31
   6.600,60.51
   6.700,61.62
   6.800,62.94
   6.900,64.49
   7.000,66.06
   7.100,67.73
   7.200,69.59
   7.300,71.74
   7.400,74.09
   7.500,76.38
   7.600,78.73
   7.700,80.97
   7.800,83.23
   7.900,85.27
   8.000,87.16
   8.100,88.67
   8.200,90.15
   8.300,91.38
   8.400,92.23
   8.500,93.03
   8.600,93.75
   8.700,94.22
   8.800,94.64
   8.900,95.08
   9.000,95.38
   9.100,95.71
   9.200,95.93
   9.300,96.17
   9.400,96.34
   9.500,96.57
   9.600,96.78
   9.700,96.96
   9.800,97.13
   9.900,97.26
  10.000,97.88
  11.000,98.73
  12.000,99.16
  13.000,99.43
  14.000,99.58
  15.000,99.67
  16.000,99.75
  17.000,99.84
  18.000,99.92
  19.000,99.94
  20.000,99.96
  21.000,99.98
  22.000,99.99
  25.000,100.00

Full-Test SET Latency
Latency (<= msec),Percent

Full-Test WAIT Latency
Latency (<= msec),Percent
