[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   7  87   1   0   1|  24k   72k|   0     0 |   0     0 |  18  1511 
  8  11  79   0   0   2|   0     0 |  22M  723k|   0     0 |  18  4474 
  6  16  74   0   0   4|   0     0 |  23M  757k|   0     0 |  18  3657 
  5  17  77   0   0   1|   0     0 |  25M  824k|   0     0 |  19  3993 
  9  18  71   0   0   2|   0     0 |  25M  813k|   0     0 |  18  4202 
  8  16  76   0   0   0|   0     0 |  24M  792k|   0     0 |  18  4160 
  4  18  74   0   0   3|   0     0 |  23M  764k|   0     0 |  18  3901 
  9  18  71   0   0   2|   0     0 |  25M  808k|   0     0 |  18  3723 
  9  13  74   0   0   3|   0     0 |  23M  762k|   0     0 |  18  3736 
  7  19  71   0   0   3|   0     0 |  24M  770k|   0     0 |  19  3676 
  7  14  77   0   0   2|   0     0 |  23M  759k|   0     0 |  18  3867 
 10  14  74   0   0   2|   0     0 |  25M  827k|   0     0 |  18  4165 
 10  15  71   0   0   3|   0     0 |  27M  874k|   0     0 |  18  4316 
  9  18  71   0   0   2|   0     0 |  26M  846k|   0     0 |  19  4112 
 11  16  67   0   0   6|   0     0 |  25M  812k|   0     0 |  18  4286 
  6  18  74   0   0   2|   0     0 |  26M  842k|   0     0 |  18  4269 
  8  17  72   0   0   2|   0     0 |  24M  787k|   0     0 |  18  3912 
 11  16  69   0   0   3|   0     0 |  23M  762k|   0     0 |  18  3886 
  6  16  74   1   0   3|   0    40k|  23M  766k|   0     0 |  19  3870 
  7  20  69   0   0   5|   0    28k|  24M  796k|   0     0 |  18  3847 
  9  15  74   0   0   2|   0     0 |  24M  774k|   0     0 |  18  3958 
  4  17  77   0   0   2|   0     0 |  26M  835k|   0     0 |  18  4148 
  6  15  77   0   0   2|   0     0 |  26M  848k|   0     0 |  18  4290 
  8  17  71   0   0   3|   0     0 |  24M  803k|   0     0 |  19  3970 
  7  17  73   0   0   2|   0  4096B|  24M  777k|   0     0 |  18  3844 
  7  17  74   0   0   2|   0     0 |  25M  824k|   0     0 |  18  3986 
  7  20  72   0   0   1|   0     0 |  23M  771k|   0     0 |  18  4094 
  7  16  76   0   0   2|   0     0 |  24M  797k|   0     0 |  18  4039 
  8  14  77   0   0   1|   0     0 |  25M  813k|   0     0 |  19  3928 
 10  19  70   0   0   1|   0     0 |  23M  762k|   0     0 |  18  3731 
  6   8  84   0   0   1|   0     0 |  25M  816k|   0     0 |  18  4040 
  4  16  78   0   0   1|   0     0 |  25M  803k|   0     0 |  18  4065 
  6  17  77   0   0   0|   0     0 |  24M  794k|   0     0 |  18  3770 
  6  16  76   0   0   2|   0     0 |  25M  825k|   0     0 |  19  3888 
  6  15  76   0   0   3|   0     0 |  23M  764k|   0     0 |  18  3756 
  4  16  79   0   0   1|   0  4096B|  24M  790k|   0     0 |  18  3605 
  7  14  78   0   0   1|   0     0 |  24M  772k|   0     0 |  18  3676 
  6  11  80   0   0   4|   0     0 |  25M  806k|   0     0 |  19  3658 
  6  14  79   0   0   1|   0     0 |  25M  827k|   0     0 |  18  4142 
  6  17  76   0   0   1|   0     0 |  24M  773k|   0     0 |  18  3952 
  8  15  73   0   0   4|   0     0 |  24M  776k|   0     0 |  18  3401 
  7  13  78   0   0   2|   0     0 |  25M  825k|   0     0 |  18  4145 
  9  16  74   0   0   1|   0     0 |  24M  776k|   0     0 |  19  3660 
  8  15  76   0   0   1|   0     0 |  24M  773k|   0     0 |  18  3701 
  4  14  80   0   0   2|   0     0 |  24M  779k|   0     0 |  18  3773 
  7  12  79   0   0   2|   0     0 |  22M  735k|   0     0 |  18  3389 
  7  13  78   0   0   2|   0     0 |  25M  805k|   0     0 |  18  3634 
  7  14  79   0   0   0|   0     0 |  24M  800k|   0     0 |  18  3697 
  8  15  73   1   0   3|   0    20k|  24M  782k|   0     0 |  19  3621 
  5  16  78   0   0   1|   0     0 |  23M  762k|   0     0 |  18  3323 
  5  14  79   0   0   2|   0     0 |  25M  809k|   0     0 |  18  3604 
  8  14  74   0   0   4|   0     0 |  24M  794k|   0     0 |  18  3761 
  7  17  76   0   0   0|   0     0 |  25M  815k|   0     0 |  19  3939 
  7  17  74   0   0   2|   0     0 |  25M  829k|   0     0 |  18  3814 
  5  22  70   0   0   2|   0     0 |  23M  770k|   0     0 |  18  3744 
 10  16  74   0   0   0|   0     0 |  24M  777k|   0     0 |  18  3518 
  5  17  77   0   0   1|   0     0 |  26M  840k|   0     0 |  18  3783 
 10  13  75   0   0   1|   0     0 |  24M  772k|   0     0 |  19  3216 
  8  12  78   0   0   2|   0     0 |  25M  827k|   0     0 |  18  3703 
  5  14  80   0   0   1|   0     0 |  24M  791k|   0     0 |  18  3636 
  3  15  79   0   0   2|   0     0 |  25M  835k|   0     0 |  18  3683 
  5  16  74   0   0   4|   0     0 |  25M  815k|   0     0 |  18  3698 
  6  10  82   0   0   2|   0     0 |  24M  798k|   0     0 |  19  3634 
  9  11  77   0   0   2|   0     0 |  24M  799k|   0     0 |  18  3753 
  6  16  77   0   0   2|   0     0 |  23M  748k|   0     0 |  18  3448 
  8  14  77   0   0   1|   0     0 |  23M  767k|   0     0 |  18  3568 
  8  14  75   0   0   3|   0     0 |  24M  803k|   0     0 |  18  3727 
  6  16  76   0   0   1|   0     0 |  25M  803k|   0     0 |  19  3566 
  7  14  78   0   0   1|   0     0 |  26M  851k|   0     0 |  18  4023 
  9  17  70   0   0   3|   0     0 |  25M  820k|   0     0 |  18  4204 
  6  11  78   0   0   4|   0     0 |  19M  612k|   0     0 |  18  3003 
