[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  91   0   0   0|  14k  343k|   0     0 |   0     0 |1571  4361 
 12   3  85   0   0   0|   0     0 |1974k 1973k|   0     0 | 929  2587 
  9   2  89   0   0   0|   0     0 |2266k 2265k|   0     0 | 768  2468 
  8   4  88   0   0   0|   0     0 |2245k 2242k|   0     0 | 851  2590 
  7   3  90   0   0   0|   0     0 |2214k 2218k|   0     0 | 713  2332 
  7   4  89   0   0   0|   0     0 |2266k 2266k|   0     0 | 857  2558 
  8   4  88   0   0   0|   0     0 |2135k 2131k|   0     0 | 716  2293 
  6   4  90   0   0   0|   0     0 |2244k 2240k|   0     0 | 716  2289 
  7   3  90   0   0   0|   0     0 |2275k 2277k|   0     0 | 810  2571 
  7   4  89   0   0   0|   0     0 |2197k 2191k|   0     0 | 730  2323 
  6   4  90   0   0   0|   0     0 |2104k 2105k|   0     0 | 693  2192 
  7   3  90   0   0   0|   0     0 |2189k 2187k|   0     0 | 736  2316 
  7   4  89   0   0   0|   0     0 |2215k 2210k|   0     0 | 742  2334 
  9   4  87   0   0   0|   0     0 |2169k 2172k|   0     0 | 779  2358 
  7   4  89   0   0   0|   0     0 |2223k 2223k|   0     0 | 706  2275 
  6   4  89   0   0   0|   0    12k|2227k 2224k|   0     0 | 746  2282 
  6   4  90   0   0   0|   0     0 |2287k 2287k|   0     0 | 805  2445 
  7   4  90   0   0   0|   0     0 |2200k 2194k|   0     0 | 731  2295 
  6   4  90   0   0   0|   0     0 |2279k 2284k|   0     0 | 746  2444 
  7   4  89   0   0   0|   0     0 |2239k 2235k|   0     0 | 670  2417 
  7   3  90   0   0   0|   0     0 |2336k 2338k|   0     0 | 747  2499 
  7   3  89   0   0   0|   0    48k|2346k 2346k|   0     0 | 678  2511 
  7   3  89   0   0   0|   0     0 |2306k 2299k|   0     0 | 663  2360 
  7   4  90   0   0   0|   0     0 |2302k 2305k|   0     0 | 722  2463 
  8   3  89   0   0   0|   0     0 |2306k 2305k|   0     0 | 683  2437 
  7   4  90   0   0   0|   0    68k|2232k 2225k|   0     0 | 734  2444 
  6   4  90   0   0   0|   0     0 |2060k 2064k|   0     0 | 653  2103 
  7   3  90   0   0   0|   0     0 |2148k 2146k|   0     0 | 733  2342 
  6   4  90   0   0   0|   0     0 |2188k 2184k|   0     0 | 715  2307 
  7   3  89   0   0   0|   0     0 |2239k 2234k|   0     0 | 723  2329 
  6   4  90   0   0   0|   0     0 |2235k 2241k|   0     0 | 743  2329 
  7   3  89   0   0   0|   0     0 |2253k 2250k|   0     0 | 741  2340 
  7   4  90   0   0   0|   0     0 |2231k 2229k|   0     0 | 741  2367 
  7   3  90   0   0   0|   0     0 |2200k 2201k|   0     0 | 724  2317 
  7   3  90   0   0   0|   0     0 |2319k 2316k|   0     0 | 778  2502 
  7   4  89   0   0   0|   0  8192B|2292k 2279k|   0     0 | 762  2353 
  7   4  89   0   0   0|   0     0 |2284k 2295k|   0     0 | 782  2417 
  7   4  89   0   0   0|   0     0 |2193k 2189k|   0     0 | 714  2251 
  7   4  90   0   0   0|   0     0 |2270k 2270k|   0     0 | 795  2457 
  7   4  90   0   0   0|   0     0 |2235k 2235k|   0     0 | 716  2275 
  8   3  89   0   0   0|   0     0 |2285k 2281k|   0     0 | 786  2512 
  8   4  88   0   0   0|   0     0 |2148k 2148k|   0     0 | 715  2222 
  7   3  90   0   0   0|   0     0 |2222k 2221k|   0     0 | 708  2281 
  7   4  90   0   0   0|   0     0 |2254k 2250k|   0     0 | 742  2344 
  7   4  90   0   0   0|   0     0 |2310k 2309k|   0     0 | 766  2430 
  8   3  90   0   0   0|   0     0 |2174k 2173k|   0     0 | 691  2208 
  7   4  89   0   0   0|   0     0 |2193k 2189k|   0     0 | 699  2208 
  6   4  90   0   0   0|   0     0 |2178k 2177k|   0     0 | 734  2257 
  7   4  89   0   0   0|   0     0 |2252k 2252k|   0     0 | 755  2392 
  7   3  90   0   0   0|   0     0 |2272k 2269k|   0     0 | 756  2469 
  7   3  89   0   0   0|   0     0 |2253k 2252k|   0     0 | 782  2407 
  7   4  89   0   0   0|   0    20k|2209k 2209k|   0     0 | 754  2350 
  7   4  90   0   0   0|   0     0 |2232k 2228k|   0     0 | 732  2354 
  7   4  89   0   0   0|   0     0 |2261k 2260k|   0     0 | 734  2330 
  6   4  90   0   0   0|   0     0 |2170k 2170k|   0     0 | 723  2279 
  6   4  90   0   0   0|   0     0 |2175k 2172k|   0     0 | 694  2249 
  7   4  89   0   0   0|   0    20k|2305k 2302k|   0     0 | 812  2462 
  7   3  90   0   0   0|   0     0 |2283k 2277k|   0     0 | 781  2383 
  7   4  89   0   0   0|   0     0 |2293k 2297k|   0     0 | 776  2516 
  7   3  90   0   0   0|   0     0 |2239k 2236k|   0     0 | 737  2323 
  6   4  90   0   0   0|   0     0 |2214k 2212k|   0     0 | 752  2339 
  6   4  89   0   0   0|   0     0 |2376k 2376k|   0     0 | 750  2456 
  7   3  90   0   0   0|   0     0 |2214k 2216k|   0     0 | 739  2344 
  7   4  90   0   0   0|   0     0 |2112k 2103k|   0     0 | 722  2254 
  7   4  89   0   0   0|   0     0 |2096k 2093k|   0     0 | 698  2186 
  7   4  89   0   0   0|   0     0 |2248k 2248k|   0     0 | 754  2392 
  6   4  90   0   0   0|   0    16k|2131k 2139k|   0     0 | 720  2235 
  9   4  87   0   0   0|   0     0 |2074k 2071k|   0     0 | 754  2249 
  7   4  90   0   0   0|   0     0 |2244k 2244k|   0     0 | 799  2351 
  7   3  90   0   0   0|   0     0 |2095k 2093k|   0     0 | 735  2228 
  6   4  90   0   0   0|   0     0 |1781k 1780k|   0     0 | 586  1847 
