[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  97   0   0   1|  11k   48k|   0     0 |   0     0 | 182   760 
  1   2  95   0   0   2|   0     0 |3942k  137k|   0     0 | 916  2570 
  2   3  95   0   0   1|   0     0 |3927k  136k|   0     0 | 503  2331 
  1   2  85  10   0   3|   0    56k|3902k  136k|   0     0 | 914  2482 
  2   2  94   0   0   2|   0     0 |4090k  142k|   0     0 | 265  2765 
  3   2  94   0   0   1|   0     0 |3943k  136k|   0     0 |  96  2583 
  2   2  95   0   0   2|   0     0 |3843k  136k|   0     0 | 200  2538 
  1   2  95   0   0   3|   0     0 |3918k  136k|   0     0 | 564  2444 
  2   3  94   0   0   2|   0     0 |4090k  141k|   0     0 |  76  2462 
  2   1  95   0   0   2|   0     0 |4065k  143k|   0     0 | 147  2322 
  2   3  94   0   0   2|   0     0 |3936k  136k|   0     0 | 999  2326 
  2   4  94   0   0   1|   0     0 |4077k  140k|   0     0 | 388  2491 
  1   3  94   0   0   2|   0     0 |4016k  142k|   0     0 | 668  2417 
  2   3  94   0   0   1|   0     0 |4028k  139k|   0     0 | 514  2646 
  1   2  95   0   0   2|   0     0 |3941k  137k|   0     0 | 443  2601 
  2   4  92   0   0   2|   0     0 |3975k  140k|   0     0 | 870  2606 
  1   2  96   0   0   1|   0     0 |4025k  138k|   0     0 | 895  2196 
  2   1  94   0   0   3|   0     0 |3936k  137k|   0     0 | 747  2391 
  2   3  94   0   0   2|   0     0 |4056k  145k|   0     0 | 998  2389 
  1   2  96   0   0   2|   0     0 |4007k  138k|   0     0 | 705  2549 
  2   2  94   0   0   2|   0     0 |4119k  142k|   0     0 |1021  2373 
  1   3  93   0   0   2|   0     0 |4052k  141k|   0     0 |1031  2434 
  1   2  95   0   0   3|   0     0 |4027k  141k|   0     0 |1077  2483 
  1   3  95   0   0   2|   0     0 |4029k  139k|   0     0 |1046  2407 
  3   2  94   0   0   2|   0     0 |4060k  142k|   0     0 | 998  2382 
  1   2  94   0   0   3|   0     0 |4021k  138k|   0     0 | 953  2243 
  3   3  94   0   0   2|   0     0 |4081k  141k|   0     0 |1008  2301 
