[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   6  89   1   0   1|  13k   43k|   0     0 |   0     0 |  18   759 
  2  10  86   0   0   1|   0     0 | 451k   12M|   0     0 |  18  2117 
  1   9  90   0   0   0|   0     0 | 427k   12M|   0     0 |  18  1897 
  0   6  94   0   0   0|   0     0 | 427k   12M|   0     0 |  18  2017 
  2   6  91   0   0   0|   0     0 | 441k   12M|   0     0 |  19  1991 
  2   7  91   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1921 
  1   6  91   0   0   1|   0     0 | 431k   12M|   0     0 |  18  1977 
  3   5  91   0   0   1|   0     0 | 435k   12M|   0     0 |  18  1918 
  2   7  90   0   0   1|   0     0 | 429k   12M|   0     0 |  18  1896 
  1   6  93   0   0   0|   0     0 | 429k   12M|   0     0 |  19  1944 
  0   8  92   0   0   0|   0     0 | 433k   12M|   0     0 |  18  1972 
  2   9  89   0   0   0|   0     0 | 426k   12M|   0     0 |  18  2051 
  2   5  93   0   0   0|   0     0 | 431k   12M|   0     0 |  18  1765 
  3   5  91   0   0   1|   0     0 | 434k   12M|   0     0 |  18  1813 
  1   4  94   0   0   1|   0     0 | 431k   12M|   0     0 |  19  2035 
  2   7  91   0   0   0|   0     0 | 429k   12M|   0     0 |  18  1906 
  3   6  89   0   0   1|   0     0 | 434k   12M|   0     0 |  18  1887 
  1   6  93   0   0   0|   0     0 | 431k   12M|   0     0 |  18  1872 
  2   7  91   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1952 
  1   6  91   0   0   1|   0     0 | 435k   12M|   0     0 |  19  1873 
  1   7  91   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1822 
  1   5  91   0   0   2|   0     0 | 429k   12M|   0     0 |  18  1773 
  1   7  91   0   0   0|   0     0 | 441k   12M|   0     0 |  18  1884 
  2   7  72  17   0   2|   0    76k| 426k   12M|   0     0 |  18  1905 
  1   4  95   0   0   0|   0     0 | 430k   12M|   0     0 |  19  1835 
  4   7  89   0   0   0|   0     0 | 437k   12M|   0     0 |  18  1936 
  1  10  88   0   0   1|   0     0 | 432k   12M|   0     0 |  18  2047 
  3   4  92   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1907 
  2   3  93   0   0   1|   0     0 | 436k   12M|   0     0 |  19  1889 
  1   7  92   0   0   0|   0     0 | 430k   12M|   0     0 |  18  1877 
  1   5  94   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1840 
  3   7  88   0   0   1|   0     0 | 436k   12M|   0     0 |  18  2040 
  1   5  93   0   0   1|   0     0 | 434k   12M|   0     0 |  18  1959 
  2   4  93   0   0   1|   0  4096B| 424k   12M|   0     0 |  19  1822 
  3   6  90   0   0   1|   0     0 | 440k   12M|   0     0 |  18  2026 
  1   5  93   0   0   1|   0     0 | 429k   12M|   0     0 |  18  1948 
  2   7  89   0   0   1|   0     0 | 429k   12M|   0     0 |  18  2034 
  3   5  90   0   0   1|   0     0 | 433k   12M|   0     0 |  18  1842 
  1   5  93   0   0   1|   0     0 | 429k   12M|   0     0 |  19  1968 
  0   7  92   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1872 
  2   7  90   0   0   1|   0     0 | 437k   12M|   0     0 |  18  1902 
  1   6  93   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1973 
  0   7  92   0   0   1|   0     0 | 430k   12M|   0     0 |  18  1798 
  2   6  92   0   0   0|   0     0 | 432k   12M|   0     0 |  19  1874 
  0   7  92   0   0   1|   0     0 | 427k   12M|   0     0 |  18  1896 
  1   5  93   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1919 
  4   6  88   0   0   1|   0     0 | 435k   12M|   0     0 |  18  1798 
  2   7  91   0   0   0|   0     0 | 436k   12M|   0     0 |  19  1953 
  2   5  93   0   0   0|   0     0 | 427k   12M|   0     0 |  18  1864 
  3   6  90   0   0   1|   0     0 | 442k   12M|   0     0 |  18  1829 
  1   6  92   0   0   1|   0     0 | 436k   12M|   0     0 |  18  1991 
  1   6  92   0   0   0|   0     0 | 427k   12M|   0     0 |  18  1880 
  3   6  89   0   0   2|   0     0 | 431k   12M|   0     0 |  19  1872 
  2   6  89   3   0   0|   0   100k| 440k   12M|   0     0 |  18  1922 
  0   8  92   0   0   0|   0     0 | 430k   12M|   0     0 |  18  2058 
  3   5  92   0   0   0|   0     0 | 436k   12M|   0     0 |  18  1925 
  2   6  91   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1915 
  1   7  92   0   0   0|   0     0 | 429k   12M|   0     0 |  19  1930 
  2   5  92   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1858 
  2   5  92   0   0   1|   0     0 | 433k   12M|   0     0 |  18  1871 
  1   8  91   0   0   0|   0     0 | 429k   12M|   0     0 |  18  1908 
  4   3  91   0   0   1|   0     0 | 428k   12M|   0     0 |  18  1914 
  2   5  91   0   0   1|   0     0 | 434k   12M|   0     0 |  19  1863 
  1   5  94   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1796 
  1   8  90   0   0   1|   0  8192B| 428k   12M|   0     0 |  18  1870 
  1   3  96   0   0   0|   0     0 | 434k   12M|   0     0 |  18  1821 
  2   8  89   0   0   0|   0     0 | 428k   12M|   0     0 |  18  1966 
  3   5  90   0   0   2|   0     0 | 428k   12M|   0     0 |  19  1898 
  1   5  92   0   0   1|   0     0 | 441k   12M|   0     0 |  18  2064 
  3   6  91   0   0   0|   0     0 | 429k   12M|   0     0 |  18  1882 
  0   8  92   0   0   0|   0     0 | 390k   11M|   0     0 |  18  1882 
