[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  92   0   0   0|  19k  471k|   0     0 |   0     0 |1422  3903 
  9   0  91   0   0   0|   0     0 |5478B 2811B|   0     0 |  29   136 
 18   1  80   0   0   0|   0     0 |1641k 1463k|   0     0 |1084  2996 
 33   9  55   0   0   2|   0     0 |  21M   21M|   0     0 |4453    14k
 15   6  78   0   0   1|   0     0 |  22M   22M|   0     0 |5177    16k
 15   7  77   0   0   1|   0     0 |  23M   22M|   0     0 |5339    16k
 14   7  78   0   0   1|   0     0 |  22M   23M|   0     0 |5569    16k
 13   8  76   0   0   2|   0     0 |  23M   22M|   0     0 |5547    15k
 17   7  75   0   0   1|   0     0 |  23M   23M|   0     0 |5466    15k
 14   7  78   0   0   1|   0     0 |  23M   23M|   0     0 |5739    15k
 14   7  77   0   0   2|   0     0 |  24M   24M|   0     0 |5709    16k
 14   5  80   0   0   1|   0     0 |  23M   23M|   0     0 |5369    15k
 14   8  77   0   0   2|   0    56k|  22M   22M|   0     0 |5268    15k
 19   9  71   0   0   2|   0     0 |  23M   23M|   0     0 |5242    15k
 17   7  74   0   0   2|   0     0 |  23M   23M|   0     0 |5588    16k
 14   7  78   0   0   1|   0     0 |  23M   23M|   0     0 |5160    15k
 13   5  81   0   0   1|   0    48k|  22M   22M|   0     0 |5784    16k
 12   6  81   0   0   1|   0     0 |  23M   23M|   0     0 |5725    16k
 13   7  79   0   0   1|   0     0 |  23M   23M|   0     0 |5999    16k
 13   7  79   0   0   2|   0     0 |  23M   23M|   0     0 |6031    16k
 12   7  79   0   0   2|   0     0 |  23M   22M|   0     0 |5459    15k
 13   6  79   0   0   1|   0    20k|  23M   23M|   0     0 |5848    16k
 15   6  78   0   0   1|   0     0 |  23M   23M|   0     0 |5630    16k
 14   7  78   0   0   1|   0     0 |  22M   22M|   0     0 |5752    16k
 12   6  81   0   0   1|   0     0 |  23M   23M|   0     0 |5754    16k
 13   7  79   0   0   2|   0     0 |  22M   23M|   0     0 |5989    16k
 13   6  80   0   0   1|   0    32k|  22M   22M|   0     0 |5542    15k
 13   7  78   0   0   2|   0     0 |  22M   22M|   0     0 |5853    15k
 12   5  81   0   0   2|   0     0 |  23M   23M|   0     0 |5820    15k
 14   5  79   0   0   2|   0     0 |  22M   22M|   0     0 |5634    15k
 12   5  81   0   0   1|   0     0 |  21M   21M|   0     0 |5940    15k
 13   6  79   0   0   1|   0  4096B|  22M   23M|   0     0 |5924    16k
 12   5  81   0   0   1|   0     0 |  23M   23M|   0     0 |5943    16k
 12   7  80   0   0   1|   0     0 |  23M   23M|   0     0 |6232    17k
 14   7  77   0   0   2|   0     0 |  23M   23M|   0     0 |5962    16k
 13   6  81   0   0   1|   0     0 |  23M   22M|   0     0 |5560    15k
 13   7  79   0   0   2|   0  4096B|  22M   22M|   0     0 |5679    15k
 12   5  81   0   0   2|   0     0 |  22M   22M|   0     0 |5349    15k
 14   7  78   0   0   1|   0     0 |  23M   23M|   0     0 |6028    16k
 13   7  80   0   0   1|   0     0 |  23M   23M|   0     0 |5545    15k
 13   6  80   0   0   1|   0     0 |  22M   22M|   0     0 |5589    15k
 13   6  79   0   0   1|   0     0 |  22M   22M|   0     0 |5912    16k
 12   5  81   0   0   1|   0     0 |  22M   22M|   0     0 |5409    15k
 12   6  80   0   0   2|   0    20k|  22M   22M|   0     0 |5884    16k
 13   6  79   0   0   2|   0     0 |  23M   23M|   0     0 |5945    16k
 12   5  81   0   0   1|   0     0 |  21M   21M|   0     0 |5538    15k
 14   6  79   0   0   1|   0     0 |  22M   22M|   0     0 |6016    16k
 13   7  79   0   0   1|   0     0 |  23M   23M|   0     0 |5740    15k
 11   6  82   0   0   1|   0     0 |  21M   21M|   0     0 |5662    15k
 14   6  79   0   0   1|   0     0 |  22M   22M|   0     0 |5830    16k
 13   6  80   0   0   1|   0     0 |  22M   22M|   0     0 |6029    15k
 13   6  80   0   0   1|   0     0 |  21M   22M|   0     0 |5294    14k
 13   6  79   0   0   1|   0     0 |  22M   22M|   0     0 |6164    16k
 13   6  79   0   0   2|   0     0 |  23M   23M|   0     0 |5714    15k
 12   6  81   0   0   2|   0     0 |  22M   22M|   0     0 |5523    15k
 13   6  80   0   0   1|   0     0 |  22M   22M|   0     0 |5817    15k
 14   6  79   0   0   1|   0     0 |  22M   22M|   0     0 |5594    15k
 13   6  80   0   0   1|   0    20k|  21M   21M|   0     0 |5416    14k
 12   7  80   0   0   1|   0     0 |  22M   22M|   0     0 |6075    16k
 14   6  80   0   0   1|   0     0 |  24M   24M|   0     0 |6213    16k
 12   6  81   0   0   1|   0     0 |  22M   22M|   0     0 |5934    15k
 12   7  79   0   0   1|   0     0 |  24M   24M|   0     0 |6234    17k
 11   6  82   0   0   1|   0  8192B|  23M   23M|   0     0 |5673    15k
 11   6  82   0   0   1|   0     0 |  21M   21M|   0     0 |5421    14k
 12   7  80   0   0   2|   0     0 |  22M   22M|   0     0 |5892    15k
 13   6  80   0   0   2|   0     0 |  21M   21M|   0     0 |5810    15k
 13   7  79   0   0   2|   0     0 |  22M   22M|   0     0 |6103    16k
 12   7  79   0   0   2|   0  8192B|  22M   22M|   0     0 |5583    15k
 12   6  81   0   0   1|   0     0 |  23M   23M|   0     0 |5978    16k
 11   6  83   0   0   1|   0     0 |  22M   22M|   0     0 |6084    16k
 12   6  81   0   0   1|   0     0 |  21M   21M|   0     0 |5623    15k
