Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,27,0.036484,111682,0,0.000000,0,0,0,0,0.000000
1,34,0.029215,140639,0,0.000000,0,0,0,0,0.000000
2,40,0.025259,165453,0,0.000000,0,0,0,0,0.000000
3,37,0.027042,153050,0,0.000000,0,0,0,0,0.000000
4,36,0.028044,148911,0,0.000000,0,0,0,0,0.000000
5,35,0.028374,144774,0,0.000000,0,0,0,0,0.000000
6,36,0.027888,148909,0,0.000000,0,0,0,0,0.000000
7,33,0.029882,136505,0,0.000000,0,0,0,0,0.000000
8,35,0.028096,144775,0,0.000000,0,0,0,0,0.000000
9,38,0.026607,157188,0,0.000000,0,0,0,0,0.000000
10,38,0.026341,157184,0,0.000000,0,0,0,0,0.000000
11,39,0.026079,161324,0,0.000000,0,0,0,0,0.000000
12,33,0.030052,136497,0,0.000000,0,0,0,0,0.000000
13,35,0.028245,144771,0,0.000000,0,0,0,0,0.000000
14,37,0.027340,153046,0,0.000000,0,0,0,0,0.000000
15,35,0.028418,144775,0,0.000000,0,0,0,0,0.000000
16,36,0.027978,148909,0,0.000000,0,0,0,0,0.000000
17,37,0.026976,153042,0,0.000000,0,0,0,0,0.000000
18,37,0.026815,153049,0,0.000000,0,0,0,0,0.000000
19,36,0.027772,148912,0,0.000000,0,0,0,0,0.000000
20,36,0.027857,148909,0,0.000000,0,0,0,0,0.000000
21,38,0.026277,157184,0,0.000000,0,0,0,0,0.000000
22,38,0.026248,157181,0,0.000000,0,0,0,0,0.000000
23,38,0.026725,157184,0,0.000000,0,0,0,0,0.000000
24,36,0.027716,148907,0,0.000000,0,0,0,0,0.000000
25,37,0.026737,153047,0,0.000000,0,0,0,0,0.000000
26,36,0.027576,148910,0,0.000000,0,0,0,0,0.000000
27,38,0.026514,157179,0,0.000000,0,0,0,0,0.000000
28,36,0.027926,148908,0,0.000000,0,0,0,0,0.000000
29,39,0.025751,161316,0,0.000000,0,0,0,0,0.000000
30,35,0.028668,144776,0,0.000000,0,0,0,0,0.000000
31,35,0.027286,144771,0,0.000000,0,0,0,0,0.000000
32,38,0.027168,157183,0,0.000000,0,0,0,0,0.000000
33,38,0.025870,157183,0,0.000000,0,0,0,0,0.000000
34,37,0.027481,153051,0,0.000000,0,0,0,0,0.000000
35,35,0.028201,144775,0,0.000000,0,0,0,0,0.000000
36,37,0.027375,153050,0,0.000000,0,0,0,0,0.000000
37,37,0.026630,153044,0,0.000000,0,0,0,0,0.000000
38,36,0.028189,148910,0,0.000000,0,0,0,0,0.000000
39,33,0.030027,136495,0,0.000000,0,0,0,0,0.000000
40,36,0.028235,148907,0,0.000000,0,0,0,0,0.000000
41,36,0.027155,148911,0,0.000000,0,0,0,0,0.000000
42,37,0.026989,153045,0,0.000000,0,0,0,0,0.000000
43,37,0.027213,153046,0,0.000000,0,0,0,0,0.000000
44,38,0.026624,157181,0,0.000000,0,0,0,0,0.000000
45,34,0.029442,140639,0,0.000000,0,0,0,0,0.000000
46,35,0.028084,144775,0,0.000000,0,0,0,0,0.000000
47,37,0.027606,153047,0,0.000000,0,0,0,0,0.000000
48,38,0.025806,157178,0,0.000000,0,0,0,0,0.000000
49,37,0.027615,153045,0,0.000000,0,0,0,0,0.000000
50,32,0.030424,132362,0,0.000000,0,0,0,0,0.000000
51,37,0.027712,153045,0,0.000000,0,0,0,0,0.000000
52,37,0.027014,153042,0,0.000000,0,0,0,0,0.000000
53,36,0.027461,148909,0,0.000000,0,0,0,0,0.000000
54,36,0.027792,148915,0,0.000000,0,0,0,0,0.000000
55,36,0.027966,148909,0,0.000000,0,0,0,0,0.000000
56,36,0.027658,148912,0,0.000000,0,0,0,0,0.000000
57,38,0.025868,157183,0,0.000000,0,0,0,0,0.000000
58,37,0.027427,153048,0,0.000000,0,0,0,0,0.000000
59,33,0.029840,136503,0,0.000000,0,0,0,0,0.000000
60,37,0.027564,153049,0,0.000000,0,0,0,0,0.000000
61,35,0.027980,144768,0,0.000000,0,0,0,0,0.000000
62,39,0.026192,161319,0,0.000000,0,0,0,0,0.000000
63,36,0.027673,148917,0,0.000000,0,0,0,0,0.000000
64,34,0.029177,140636,0,0.000000,0,0,0,0,0.000000
65,37,0.027353,153044,0,0.000000,0,0,0,0,0.000000
66,36,0.027497,148910,0,0.000000,0,0,0,0,0.000000
67,37,0.026321,153041,0,0.000000,0,0,0,0,0.000000
68,36,0.028826,148911,0,0.000000,0,0,0,0,0.000000
69,36,0.027507,148910,0,0.000000,0,0,0,0,0.000000
70,1,0.018600,4137,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent

Full-Test SET Latency
Latency (<= msec),Percent
  12.000,0.08
  13.000,0.20
  14.000,0.59
  15.000,1.14
  16.000,1.66
  17.000,2.60
  18.000,4.26
  19.000,6.99
  20.000,11.44
  21.000,17.21
  22.000,23.95
  23.000,31.14
  24.000,37.53
