[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  1   1  97   0   0   0|  20k   81k|   0     0 |   0     0 | 132   538 
  4   3  92   0   0   1|   0     0 | 167k 4814k|   0     0 | 250  1339 
  2   3  92   0   0   4|   0     0 | 295k 8937k|   0     0 | 661  2016 
  2   2  94   0   0   2|   0     0 | 252k 7607k|   0     0 | 448  2083 
  3   4  92   0   0   2|   0     0 | 261k 7705k|   0     0 | 611  1937 
  1   3  94   0   0   2|   0     0 | 250k 7549k|   0     0 | 644  1798 
  2   4  91   0   0   3|   0     0 | 258k 7787k|   0     0 | 685  1830 
  2   3  92   0   0   3|   0     0 | 254k 7522k|   0     0 | 510  1982 
  1   4  95   0   0   0|   0     0 | 243k 7332k|   0     0 | 522  1843 
  1   3  93   0   0   3|   0     0 | 270k 8171k|   0     0 | 502  2079 
  1   2  96   0   0   2|   0     0 | 241k 7126k|   0     0 | 549  1882 
  2   3  93   0   0   3|   0     0 | 248k 7478k|   0     0 | 622  1909 
  1   2  94   0   0   3|   0     0 | 247k 7472k|   0     0 | 641  1847 
  1   3  94   0   0   2|   0  8192B| 255k 7556k|   0     0 | 434  2120 
  1   4  93   0   0   2|   0     0 | 251k 7598k|   0     0 | 607  2040 
  2   3  92   0   0   3|   0     0 | 253k 7638k|   0     0 | 403  2035 
  3   5  91   0   0   2|   0     0 | 275k 8107k|   0     0 | 658  2010 
  2   4  93   0   0   2|   0     0 | 256k 7740k|   0     0 | 726  1841 
  1   1  96   0   0   3|   0  8192B| 253k 7635k|   0     0 | 541  1939 
  3   3  92   0   0   3|   0     0 | 273k 8080k|   0     0 | 528  2058 
  2   2  93   0   0   4|   0     0 | 250k 7521k|   0     0 | 689  2006 
  1   3  94   0   0   3|   0     0 | 252k 7601k|   0     0 | 361  1984 
  2   3  92   0   0   3|   0     0 | 267k 7875k|   0     0 | 456  2038 
  1   1  96   0   0   2|   0   136k| 257k 7761k|   0     0 | 552  1886 
  1   2  95   0   0   2|   0     0 | 263k 7939k|   0     0 | 704  2088 
  3   1  94   0   0   2|   0     0 | 258k 7626k|   0     0 | 552  1917 
  1   4  94   0   0   1|   0     0 | 252k 7583k|   0     0 | 469  1984 
  2   2  95   0   0   2|   0     0 | 274k 8272k|   0     0 | 172  1998 
  3   2  93   0   0   3|   0    40k| 266k 7859k|   0     0 | 631  1881 
  2   3  92   0   0   3|   0     0 | 255k 7671k|   0     0 | 451  1697 
  2   3  93   0   0   3|   0     0 | 261k 7882k|   0     0 | 623  1921 
  2   3  91   2   0   3|   0    40k| 270k 7969k|   0     0 | 640  1854 
  2   3  94   0   0   2|   0     0 | 252k 7536k|   0     0 | 475  1823 
  2   3  95   0   0   1|   0    20k| 251k 7565k|   0     0 | 545  1640 
  2   2  94   0   0   2|   0     0 | 264k 7821k|   0     0 | 433  1916 
  2   4  92   0   0   3|   0     0 | 251k 7548k|   0     0 | 523  1764 
  3   2  95   0   0   1|   0     0 | 244k 7369k|   0     0 | 606  1674 
  2   2  95   0   0   1|   0     0 | 260k 7696k|   0     0 | 367  1787 
  1   3  95   0   0   1|   0     0 | 250k 7553k|   0     0 | 647  1873 
  2   2  94   0   0   2|   0     0 | 253k 7628k|   0     0 | 690  2082 
  1   2  95   0   0   3|   0     0 | 256k 7563k|   0     0 | 804  2081 
  2   3  93   0   0   2|   0     0 | 256k 7740k|   0     0 | 760  2061 
  2   4  92   0   0   2|   0     0 | 266k 8022k|   0     0 | 784  2060 
  2   4  90   0   0   3|   0     0 | 265k 7804k|   0     0 | 609  2050 
  2   3  93   0   0   3|   0     0 | 256k 7745k|   0     0 | 525  1867 
  2   3  92   0   0   4|   0     0 | 250k 7541k|   0     0 | 626  1915 
  2   3  91   0   0   4|   0     0 | 265k 7869k|   0     0 | 460  1927 
  1   3  94   0   0   2|   0     0 | 257k 7703k|   0     0 | 670  1968 
  3   2  93   0   0   2|   0     0 | 260k 7859k|   0     0 | 274  1914 
  3   3  94   0   0   1|   0     0 | 260k 7681k|   0     0 | 650  1929 
  1   2  95   0   0   2|   0     0 | 248k 7479k|   0     0 | 663  1833 
  3   2  93   0   0   3|   0     0 | 258k 7782k|   0     0 | 529  1821 
  2   3  92   0   0   3|   0     0 | 277k 8180k|   0     0 | 329  1959 
  1   3  94   0   0   2|   0     0 | 251k 7596k|   0     0 | 452  1831 
  2   2  94   0   0   2|   0     0 | 257k 7743k|   0     0 | 736  2019 
  2   4  93   0   0   2|   0     0 | 250k 7385k|   0     0 | 353  1943 
  1   3  96   0   0   1|   0     0 | 240k 7247k|   0     0 | 350  1964 
  2   3  93   0   0   3|   0     0 | 267k 8032k|   0     0 | 754  2092 
  1   3  93   0   0   3|   0     0 | 265k 7819k|   0     0 | 601  1955 
  2   3  94   0   0   1|   0     0 | 264k 7994k|   0     0 | 224  2103 
  3   3  93   0   0   2|   0     0 | 257k 7744k|   0     0 | 171  1953 
  4   3  92   1   0   1|   0    40k| 260k 7679k|   0     0 | 465  1949 
  2   3  94   0   0   1|   0     0 | 248k 7497k|   0     0 | 471  1937 
  2   3  93   0   0   2|   0     0 | 260k 7840k|   0     0 | 416  1990 
  4   3  92   0   0   1|   0    16k| 261k 7716k|   0     0 | 351  1992 
  2   3  93   0   0   2|   0     0 | 247k 7406k|   0     0 | 643  1965 
  2   4  93   0   0   2|   0     0 | 261k 7907k|   0     0 | 284  2052 
  3   1  94   0   0   2|   0     0 | 262k 7753k|   0     0 | 309  2052 
  0   4  94   0   0   3|   0     0 | 256k 7693k|   0     0 | 738  2009 
  1   2  94   0   0   3|   0     0 | 269k 8124k|   0     0 | 225  2017 
  2   3  94   0   0   2|   0     0 | 238k 7021k|   0     0 | 516  1754 
