[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  94   1   0   1|  68k  268k|   0     0 |   0     0 | 205   839 
  3   2  96   0   0   0|   0     0 |  45k 1336k|   0     0 |  43  1018 
  1   1  99   0   0   0|   0     0 |  47k 1405k|   0     0 |  46  1038 
  1   1  97   0   0   1|   0     0 |  57k 1544k|   0     0 | 147  1145 
  1   1  99   0   0   0|   0     0 |  52k 1553k|   0     0 |  57  1185 
  1   2  97   0   0   1|   0     0 |  56k 1604k|   0     0 |  73  1198 
  1   1  98   0   0   1|   0     0 |  57k 1539k|   0     0 | 277  1109 
  1   0  99   0   0   1|   0     0 |  52k 1553k|   0     0 | 111  1100 
  1   1  98   0   0   0|   0     0 |  54k 1606k|   0     0 |  66  1135 
  1   1  97   0   0   1|   0     0 |  54k 1449k|   0     0 |  84  1106 
  1   1  98   0   0   1|   0     0 |  49k 1450k|   0     0 | 158  1046 
  1   1  98   0   0   1|   0     0 |  53k 1577k|   0     0 |  34  1127 
  1   1  98   0   0   1|   0     0 |  56k 1515k|   0     0 |  40  1115 
  0   0  99   0   0   1|   0     0 |  51k 1532k|   0     0 |  52  1101 
  1   1  96   1   0   1|   0    40k|  52k 1549k|   0     0 |  60  1147 
  1   1  98   0   0   1|   0    36k|  58k 1580k|   0     0 |  54  1151 
  0   1  98   0   0   1|   0     0 |  52k 1557k|   0     0 |  47  1121 
  0   2  98   0   0   1|   0     0 |  51k 1528k|   0     0 |  32  1083 
  0   1  99   0   0   1|   0     0 |  45k 1348k|   0     0 |  59  1014 
  2   1  97   0   0   0|   0     0 |  54k 1453k|   0     0 | 183  1115 
  0   1  97   0   0   2|   0     0 |  48k 1434k|   0     0 | 319  1061 
  1   1  98   0   0   1|   0     0 |  50k 1500k|   0     0 |  87  1094 
  1   1  98   0   0   1|   0     0 |  56k 1531k|   0     0 | 243  1125 
  0   1  98   0   0   1|   0     0 |  48k 1431k|   0     0 | 384  1091 
  0   2  98   0   0   1|   0     0 |  51k 1537k|   0     0 | 329  1179 
  1   1  98   0   0   1|   0    24k|  56k 1531k|   0     0 | 118  1143 
  0   0  99   0   0   1|   0     0 |  49k 1475k|   0     0 |  54  1080 
  1   1  98   0   0   0|   0     0 |  48k 1426k|   0     0 |  65  1041 
  1   1  98   0   0   1|   0     0 |  53k 1412k|   0     0 | 332  1058 
  1   1  97   0   0   1|   0     0 |  50k 1491k|   0     0 | 185  1084 
  1   1  97   0   0   1|   0  8192B|  51k 1516k|   0     0 |  34  1114 
  1   1  97   0   0   1|   0     0 |  56k 1511k|   0     0 |  51  1110 
  0   0  99   0   0   1|   0     0 |  51k 1528k|   0     0 | 103  1085 
  1   1  98   0   0   1|   0     0 |  52k 1545k|   0     0 | 143  1084 
  2   1  97   0   0   1|   0     0 |  57k 1543k|   0     0 |  60  1147 
  0   1  99   0   0   1|   0     0 |  53k 1594k|   0     0 |  50  1139 
  1   1  98   0   0   0|   0  8192B|  50k 1496k|   0     0 |  37  1091 
  2   1  97   0   0   1|   0     0 |  58k 1564k|   0     0 | 172  1121 
  0   1  99   0   0   0|   0     0 |  51k 1524k|   0     0 | 107  1092 
  1   2  97   0   0   1|   0     0 |  53k 1578k|   0     0 |  56  1217 
  1   0  99   0   0   1|   0     0 |  58k 1588k|   0     0 |  77  1154 
  2   1  98   0   0   1|   0  8192B|  51k 1537k|   0     0 | 132  1085 
  0   0  99   0   0   1|   0     0 |  52k 1561k|   0     0 |  48  1124 
  2   1  97   0   0   1|   0     0 |  59k 1621k|   0     0 |  48  1165 
  1   1  98   0   0   1|   0     0 |  53k 1598k|   0     0 |  45  1159 
  0   1  98   2   0   0|   0    24k|  52k 1565k|   0     0 |  38  1125 
  1   1  97   0   0   1|   0     0 |  58k 1580k|   0     0 |  42  1180 
  0   0 100   0   0   0|   0    20k|  52k 1565k|   0     0 |  36  1128 
  0   1  99   0   0   1|   0     0 |  52k 1541k|   0     0 |  35  1116 
  1   0  99   0   0   0|   0     0 |  56k 1523k|   0     0 |  64  1163 
  1   1  99   0   0   0|   0     0 |  53k 1569k|   0     0 |  35  1129 
  1   1  98   0   0   1|   0     0 |  50k 1504k|   0     0 |  33  1084 
  2   1  96   0   0   1|   0  8192B|  59k 1570k|   0     0 |  58  1216 
  1   0  99   0   0   0|   0     0 |  51k 1529k|   0     0 |  37  1097 
  0   2  98   0   0   1|   0     0 |  52k 1546k|   0     0 |  53  1140 
  1   1  98   0   0   1|   0     0 |  59k 1593k|   0     0 | 110  1143 
  1   1  98   0   0   1|   0     0 |  54k 1610k|   0     0 |  47  1162 
  1   1  98   0   0   1|   0     0 |  52k 1549k|   0     0 |  76  1110 
  1   1  99   0   0   0|   0    20k|  59k 1617k|   0     0 |  59  1158 
  1   1  98   0   0   1|   0     0 |  52k 1545k|   0     0 |  80  1130 
  0   1  99   0   0   1|   0     0 |  52k 1562k|   0     0 |  38  1124 
  1   0  97   0   0   2|   0     0 |  57k 1560k|   0     0 |  40  1125 
  0   1  99   0   0   1|   0     0 |  52k 1553k|   0     0 |  36  1112 
  1   1  98   0   0   0|   0     0 |  51k 1534k|   0     0 |  40  1113 
  2   1  97   0   0   1|   0  8192B|  57k 1536k|   0     0 | 120  1149 
  2   3  94   0   0   2|   0     0 |  55k 1586k|   0     0 | 143  1214 
  0   1  97   0   0   1|   0     0 |  53k 1573k|   0     0 |  44  1144 
  1   1  98   0   0   0|   0     0 |  57k 1539k|   0     0 | 144  1136 
  1   1  97   0   0   1|   0     0 |  52k 1553k|   0     0 | 326  1120 
  0   1  99   0   0   0|   0     0 |  51k 1524k|   0     0 | 254  1128 
  1   0  99   0   0   1|   0  8192B|  54k 1445k|   0     0 | 383  1070 
