Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,31,0.031587,128228,0,0.000000,0,0,0,0,0.000000
1,39,0.025693,161318,0,0.000000,0,0,0,0,0.000000
2,40,0.025221,165457,0,0.000000,0,0,0,0,0.000000
3,43,0.023399,177870,0,0.000000,0,0,0,0,0.000000
4,37,0.026648,153043,0,0.000000,0,0,0,0,0.000000
5,39,0.025881,161321,0,0.000000,0,0,0,0,0.000000
6,41,0.024172,169594,0,0.000000,0,0,0,0,0.000000
7,40,0.025290,165459,0,0.000000,0,0,0,0,0.000000
8,39,0.025469,161324,0,0.000000,0,0,0,0,0.000000
9,39,0.025641,161319,0,0.000000,0,0,0,0,0.000000
10,38,0.026372,157187,0,0.000000,0,0,0,0,0.000000
11,37,0.026926,153045,0,0.000000,0,0,0,0,0.000000
12,43,0.022841,177863,0,0.000000,0,0,0,0,0.000000
13,41,0.024778,169593,0,0.000000,0,0,0,0,0.000000
14,41,0.024615,169587,0,0.000000,0,0,0,0,0.000000
15,41,0.024323,169590,0,0.000000,0,0,0,0,0.000000
16,41,0.024305,169592,0,0.000000,0,0,0,0,0.000000
17,41,0.024227,169596,0,0.000000,0,0,0,0,0.000000
18,39,0.025820,161318,0,0.000000,0,0,0,0,0.000000
19,40,0.025016,165456,0,0.000000,0,0,0,0,0.000000
20,42,0.023541,173728,0,0.000000,0,0,0,0,0.000000
21,40,0.025198,165457,0,0.000000,0,0,0,0,0.000000
22,38,0.026480,157180,0,0.000000,0,0,0,0,0.000000
23,45,0.021979,186137,0,0.000000,0,0,0,0,0.000000
24,42,0.023775,173727,0,0.000000,0,0,0,0,0.000000
25,38,0.026301,157181,0,0.000000,0,0,0,0,0.000000
26,42,0.023692,173720,0,0.000000,0,0,0,0,0.000000
27,41,0.024668,169596,0,0.000000,0,0,0,0,0.000000
28,38,0.025878,157181,0,0.000000,0,0,0,0,0.000000
29,39,0.026280,161320,0,0.000000,0,0,0,0,0.000000
30,39,0.025248,161318,0,0.000000,0,0,0,0,0.000000
31,41,0.024685,169599,0,0.000000,0,0,0,0,0.000000
32,36,0.027195,148910,0,0.000000,0,0,0,0,0.000000
33,41,0.024870,169595,0,0.000000,0,0,0,0,0.000000
34,35,0.028075,144768,0,0.000000,0,0,0,0,0.000000
35,39,0.025619,161320,0,0.000000,0,0,0,0,0.000000
36,43,0.023314,177860,0,0.000000,0,0,0,0,0.000000
37,38,0.026051,157183,0,0.000000,0,0,0,0,0.000000
38,39,0.026253,161319,0,0.000000,0,0,0,0,0.000000
39,37,0.026765,153042,0,0.000000,0,0,0,0,0.000000
40,41,0.024379,169592,0,0.000000,0,0,0,0,0.000000
41,44,0.022650,182002,0,0.000000,0,0,0,0,0.000000
42,40,0.025051,165459,0,0.000000,0,0,0,0,0.000000
43,39,0.025663,161313,0,0.000000,0,0,0,0,0.000000
44,38,0.026261,157182,0,0.000000,0,0,0,0,0.000000
45,37,0.027250,153046,0,0.000000,0,0,0,0,0.000000
46,42,0.023821,173727,0,0.000000,0,0,0,0,0.000000
47,36,0.027357,148906,0,0.000000,0,0,0,0,0.000000
48,40,0.025041,165451,0,0.000000,0,0,0,0,0.000000
49,43,0.023546,177871,0,0.000000,0,0,0,0,0.000000
50,38,0.025527,157182,0,0.000000,0,0,0,0,0.000000
51,38,0.027244,157185,0,0.000000,0,0,0,0,0.000000
52,39,0.025170,161319,0,0.000000,0,0,0,0,0.000000
53,42,0.023904,173732,0,0.000000,0,0,0,0,0.000000
54,41,0.024522,169591,0,0.000000,0,0,0,0,0.000000
55,39,0.025051,161321,0,0.000000,0,0,0,0,0.000000
56,40,0.025344,165453,0,0.000000,0,0,0,0,0.000000
57,40,0.024919,165459,0,0.000000,0,0,0,0,0.000000
58,44,0.023091,182001,0,0.000000,0,0,0,0,0.000000
59,36,0.027162,148909,0,0.000000,0,0,0,0,0.000000
60,41,0.024572,169593,0,0.000000,0,0,0,0,0.000000
61,41,0.024879,169585,0,0.000000,0,0,0,0,0.000000
62,37,0.026513,153048,0,0.000000,0,0,0,0,0.000000
63,40,0.025250,165457,0,0.000000,0,0,0,0,0.000000
64,41,0.024125,169593,0,0.000000,0,0,0,0,0.000000
65,37,0.027434,153049,0,0.000000,0,0,0,0,0.000000
66,38,0.026333,157178,0,0.000000,0,0,0,0,0.000000
67,39,0.025204,161321,0,0.000000,0,0,0,0,0.000000
68,34,0.029025,140638,0,0.000000,0,0,0,0,0.000000
69,35,0.028980,144766,0,0.000000,0,0,0,0,0.000000
70,1,0.031339,4136,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent

Full-Test SET Latency
Latency (<= msec),Percent
  11.000,0.07
  12.000,0.11
  13.000,0.29
  14.000,0.94
  15.000,2.03
  16.000,3.98
  17.000,6.40
  18.000,9.48
  19.000,14.33
  20.000,19.83
  21.000,26.05
  22.000,33.29
  23.000,40.52
  24.000,48.01
  25.000,54.88
  26.000,62.12
  27.000,68.52
  28.000,74.93
  29.000,79.92
  30.000,84.19
  31.000,87.52
  32.000,89.87
  33.000,92.69
  34.000,94.36
  35.000,95.26
  36.000,96.49
  37.000,96.82
  38.000,97.43
  39.000,97.79
  40.000,98.23
  41.000,98.48
  42.000,98.70
  43.000,98.81
  44.000,98.88
  45.000,99.13
  46.000,99.42
  47.000,99.64
  49.000,99.89
  54.000,99.93
  56.000,99.96
  91.000,100.00

Full-Test WAIT Latency
Latency (<= msec),Percent
