[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  6   2  92   0   0   0|  26k  290k|   0     0 |   0     0 |1302  3551 
 41  20  34   0   0   5|   0     0 |  15M   40M|   0     0 |3768    13k
 21  10  65   0   0   3|   0     0 |  18M   50M|   0     0 |5736    17k
 20  11  67   0   0   2|   0     0 |  19M   52M|   0     0 |6076    17k
 17   9  72   0   0   2|   0     0 |  18M   50M|   0     0 |6306    17k
 21   9  67   0   0   3|   0     0 |  19M   53M|   0     0 |6096    17k
 19  11  68   0   0   2|   0     0 |  19M   53M|   0     0 |6013    17k
 15   9  74   0   0   1|   0     0 |  19M   53M|   0     0 |6378    17k
 13   9  75   0   0   2|   0     0 |  19M   52M|   0     0 |6666    17k
 26  11  60   0   0   3|   0     0 |  17M   47M|   0     0 |5713    16k
 15   8  74   0   0   3|   0     0 |  19M   53M|   0     0 |6368    17k
 16   8  73   0   0   2|   0     0 |  18M   51M|   0     0 |6168    16k
 17   9  72   0   0   2|   0     0 |  19M   53M|   0     0 |6548    17k
 14  10  74   0   0   2|   0     0 |  19M   52M|   0     0 |6648    17k
 14   9  75   0   0   2|   0     0 |  19M   52M|   0     0 |6421    17k
 15   7  76   0   0   2|   0     0 |  19M   53M|   0     0 |6537    17k
 15   9  74   0   0   3|   0     0 |  19M   53M|   0     0 |6970    18k
 15   9  74   0   0   2|   0     0 |  19M   54M|   0     0 |6741    18k
 15   8  76   0   0   1|   0     0 |  19M   51M|   0     0 |6396    18k
 15   8  75   0   0   2|   0     0 |  19M   52M|   0     0 |6947    18k
 15   9  74   0   0   2|   0     0 |  19M   52M|   0     0 |6622    17k
 13   9  75   0   0   3|   0     0 |  19M   54M|   0     0 |6844    18k
 15   6  77   0   0   2|   0     0 |  19M   52M|   0     0 |6437    17k
 15   9  74   0   0   2|   0     0 |  19M   52M|   0     0 |6734    18k
 15   9  75   0   0   2|   0    32k|  18M   52M|   0     0 |6562    17k
 16   9  73   0   0   3|   0     0 |  20M   55M|   0     0 |6615    18k
 18  10  70   0   0   2|   0     0 |  19M   54M|   0     0 |6278    17k
 14   8  74   0   0   3|   0     0 |  19M   53M|   0     0 |6582    17k
 17   9  72   0   0   2|   0     0 |  20M   55M|   0     0 |6720    18k
 14   8  77   0   0   2|   0     0 |  20M   54M|   0     0 |7124    19k
 14   8  76   0   0   3|   0   132k|  19M   53M|   0     0 |7235    18k
 14  10  75   0   0   1|   0     0 |  19M   54M|   0     0 |6479    17k
 13  10  75   0   0   2|   0     0 |  18M   50M|   0     0 |6279    16k
 13   8  77   0   0   2|   0     0 |  19M   53M|   0     0 |6810    18k
 13   9  76   0   0   2|   0     0 |  19M   53M|   0     0 |6759    18k
 13   8  76   0   0   2|   0  8192B|  19M   53M|   0     0 |6367    17k
 14   9  75   0   0   2|   0     0 |  19M   53M|   0     0 |6662    18k
 14   9  76   0   0   1|   0     0 |  19M   52M|   0     0 |6638    18k
 13   7  78   0   0   2|   0     0 |  17M   48M|   0     0 |6233    16k
 15   9  74   0   0   2|   0     0 |  19M   53M|   0     0 |6420    17k
 13   8  76   0   0   2|   0     0 |  20M   55M|   0     0 |7261    19k
 14   8  75   0   0   3|   0     0 |  19M   53M|   0     0 |6253    16k
 14   8  75   0   0   3|   0     0 |  19M   52M|   0     0 |6764    18k
 13   8  78   0   0   2|   0     0 |  19M   53M|   0     0 |7092    18k
 13   8  77   0   0   2|   0     0 |  18M   50M|   0     0 |6622    17k
 12   9  77   0   0   3|   0     0 |  19M   53M|   0     0 |6854    18k
 13  10  75   0   0   2|   0     0 |  19M   53M|   0     0 |6423    17k
 12   9  77   0   0   2|   0     0 |  19M   51M|   0     0 |6207    16k
 14   9  76   0   0   2|   0     0 |  19M   53M|   0     0 |6930    18k
 12  10  76   0   0   1|   0     0 |  20M   54M|   0     0 |6610    17k
 15   8  76   0   0   1|   0     0 |  18M   51M|   0     0 |6027    16k
 14   9  76   0   0   2|   0     0 |  18M   50M|   0     0 |6680    17k
 12  10  76   0   0   2|   0     0 |  20M   54M|   0     0 |7148    18k
 14   8  76   0   0   1|   0     0 |  19M   52M|   0     0 |5996    16k
 14   8  77   0   0   1|   0     0 |  18M   49M|   0     0 |5948    16k
 13   8  77   0   0   2|   0    20k|  19M   53M|   0     0 |6586    17k
 15   9  74   0   0   2|   0     0 |  19M   52M|   0     0 |7080    19k
 13   9  76   0   0   2|   0     0 |  19M   51M|   0     0 |6576    17k
 12   9  77   0   0   2|   0     0 |  20M   55M|   0     0 |6504    17k
 12   8  78   0   0   2|   0     0 |  19M   53M|   0     0 |6111    16k
 15   9  75   0   0   2|   0    24k|  20M   54M|   0     0 |6525    17k
 14   8  76   0   0   2|   0     0 |  19M   53M|   0     0 |6713    17k
 13   7  77   0   0   2|   0     0 |  18M   49M|   0     0 |6715    17k
 12   8  77   0   0   2|   0     0 |  18M   51M|   0     0 |6609    17k
 12  11  75   0   0   2|   0     0 |  19M   53M|   0     0 |6642    17k
 12   9  78   0   0   2|   0    40k|  18M   50M|   0     0 |6209    16k
 14  10  74   0   0   2|   0     0 |  19M   52M|   0     0 |6935    18k
 13   8  77   0   0   2|   0     0 |  19M   51M|   0     0 |6657    17k
 12   9  78   0   0   2|   0     0 |  19M   53M|   0     0 |6534    17k
 12   9  77   0   0   2|   0     0 |  18M   50M|   0     0 |6538    17k
 12   7  79   0   0   1|   0     0 |  18M   49M|   0     0 |6572    17k
