[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  5  10  81   1   0   3|  25k   81k|   0     0 |   0     0 |  18  1045 
  5  15  78   0   0   2|   0     0 |  13M  432k|   0     0 |  18  4277 
  4  20  73   0   0   4|   0     0 |  15M  500k|   0     0 |  18  4361 
  6  20  70   0   0   4|   0     0 |  16M  513k|   0     0 |  18  4041 
  6  22  67   0   0   5|   0     0 |  15M  506k|   0     0 |  18  3959 
  9  21  69   0   0   1|   0     0 |  16M  512k|   0     0 |  19  3737 
  4  20  75   0   0   1|   0     0 |  15M  502k|   0     0 |  18  4174 
  8  21  66   0   0   5|   0     0 |  15M  502k|   0     0 |  18  4070 
  8  13  77   0   0   3|   0     0 |  16M  523k|   0     0 |  18  4219 
  8  21  70   0   0   1|   0     0 |  15M  501k|   0     0 |  18  4270 
  9  18  70   0   0   4|   0     0 |  16M  533k|   0     0 |  19  4132 
  7  14  76   0   0   2|   0     0 |  16M  539k|   0     0 |  18  4390 
  6  20  72   0   0   2|   0     0 |  16M  526k|   0     0 |  18  4034 
 11  13  74   0   0   3|   0     0 |  16M  529k|   0     0 |  18  3786 
  6  13  78   0   0   2|   0     0 |  16M  536k|   0     0 |  18  4152 
  8  12  79   0   0   1|   0     0 |  17M  546k|   0     0 |  19  3806 
  9  25  64   0   0   2|   0     0 |  16M  529k|   0     0 |  18  3972 
  5  14  79   0   0   2|   0     0 |  16M  529k|   0     0 |  18  3827 
  7  22  70   0   0   1|   0     0 |  16M  526k|   0     0 |  18  4189 
  9  15  73   0   0   2|   0     0 |  16M  538k|   0     0 |  19  3868 
  7  17  74   0   0   2|   0     0 |  16M  530k|   0     0 |  18  4087 
  9  20  67   0   0   3|   0     0 |  16M  527k|   0     0 |  18  3901 
  7  19  72   0   0   2|   0     0 |  16M  514k|   0     0 |  18  4138 
  7  16  75   0   0   1|   0     0 |  16M  525k|   0     0 |  18  3936 
  9  15  73   0   0   2|   0     0 |  16M  524k|   0     0 |  19  3855 
  6  16  75   0   0   3|   0     0 |  16M  533k|   0     0 |  18  3666 
  6  17  73   0   0   4|   0     0 |  17M  550k|   0     0 |  18  3903 
  5  15  77   0   0   4|   0     0 |  16M  520k|   0     0 |  18  4092 
 10  20  68   0   0   2|   0  4096B|  16M  511k|   0     0 |  18  3687 
  7  19  73   0   0   1|   0     0 |  16M  536k|   0     0 |  19  4300 
  6  17  75   0   0   2|   0     0 |  16M  539k|   0     0 |  18  4221 
  8  16  67   2   0   6|   0    40k|  17M  560k|   0     0 |  18  4336 
  6  16  75   0   0   2|   0     0 |  16M  541k|   0     0 |  18  4429 
 10  16  71   0   0   3|   0    28k|  16M  540k|   0     0 |  18  4150 
  7  18  71   0   0   4|   0     0 |  16M  519k|   0     0 |  19  3857 
  5  16  77   0   0   1|   0     0 |  16M  537k|   0     0 |  18  4169 
  9  19  70   0   0   3|   0     0 |  16M  531k|   0     0 |  18  3863 
  9  19  66   0   0   6|   0     0 |  16M  513k|   0     0 |  18  3643 
  7  18  72   0   0   4|   0     0 |  17M  547k|   0     0 |  18  4188 
  6  16  76   0   0   2|   0     0 |  16M  523k|   0     0 |  19  3984 
  7  20  69   0   0   3|   0     0 |  17M  547k|   0     0 |  18  3937 
  6  14  74   0   0   6|   0     0 |  17M  551k|   0     0 |  18  4436 
  6  15  78   0   0   1|   0     0 |  16M  532k|   0     0 |  18  4256 
 10  15  71   0   0   3|   0     0 |  15M  482k|   0     0 |  18  3726 
  8  18  70   0   0   3|   0     0 |  16M  531k|   0     0 |  19  3945 
  6  19  73   0   0   1|   0     0 |  17M  567k|   0     0 |  18  4477 
  4  19  75   0   0   3|   0     0 |  15M  503k|   0     0 |  18  3710 
 12  24  62   0   0   2|   0     0 |  16M  530k|   0     0 |  18  3969 
  6  21  70   0   0   4|   0     0 |  16M  521k|   0     0 |  18  3881 
  6  14  77   0   0   2|   0     0 |  16M  532k|   0     0 |  19  4015 
  9  20  67   0   0   3|   0     0 |  17M  553k|   0     0 |  18  4123 
  6  20  73   0   0   1|   0     0 |  16M  531k|   0     0 |  18  4146 
  6  15  78   0   0   1|   0     0 |  16M  527k|   0     0 |  18  4257 
  5  18  73   0   0   4|   0     0 |  16M  536k|   0     0 |  19  4000 
  7  16  75   0   0   2|   0     0 |  16M  529k|   0     0 |  18  4204 
  7  18  73   0   0   2|   0     0 |  16M  531k|   0     0 |  18  3629 
 10  18  67   0   0   5|   0     0 |  16M  539k|   0     0 |  18  3976 
  4  16  79   0   0   1|   0     0 |  17M  546k|   0     0 |  18  4016 
  8  17  69   0   0   6|   0     0 |  16M  511k|   0     0 |  19  3843 
  7  14  72   0   0   6|   0     0 |  17M  549k|   0     0 |  18  3866 
  7  23  67   0   0   3|   0     0 |  17M  556k|   0     0 |  18  3620 
  6  16  73   2   0   2|   0    20k|  16M  538k|   0     0 |  18  4038 
  8  19  69   0   0   5|   0     0 |  16M  537k|   0     0 |  19  3671 
  9  14  72   0   0   5|   0     0 |  15M  495k|   0     0 |  19  3715 
