Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,252,0.003963,1042373,0,0.000000,0,0,0,0,0.000000
1,251,0.003961,1038245,0,0.000000,0,0,0,0,0.000000
2,249,0.004030,1029960,0,0.000000,0,0,0,0,0.000000
3,245,0.004083,1013411,0,0.000000,0,0,0,0,0.000000
4,257,0.003886,1063048,0,0.000000,0,0,0,0,0.000000
5,234,0.004267,967909,0,0.000000,0,0,0,0,0.000000
6,263,0.003800,1087867,0,0.000000,0,0,0,0,0.000000
7,262,0.003815,1083726,0,0.000000,0,0,0,0,0.000000
8,247,0.004042,1021694,0,0.000000,0,0,0,0,0.000000
9,257,0.003884,1063053,0,0.000000,0,0,0,0,0.000000
10,269,0.003714,1112679,0,0.000000,0,0,0,0,0.000000
11,266,0.003769,1100271,0,0.000000,0,0,0,0,0.000000
12,255,0.003913,1054785,0,0.000000,0,0,0,0,0.000000
13,258,0.003857,1067198,0,0.000000,0,0,0,0,0.000000
14,260,0.003843,1075465,0,0.000000,0,0,0,0,0.000000
15,256,0.003915,1058913,0,0.000000,0,0,0,0,0.000000
16,260,0.003841,1075465,0,0.000000,0,0,0,0,0.000000
17,259,0.003861,1071315,0,0.000000,0,0,0,0,0.000000
18,264,0.003791,1092015,0,0.000000,0,0,0,0,0.000000
19,254,0.003935,1050637,0,0.000000,0,0,0,0,0.000000
20,251,0.003983,1038256,0,0.000000,0,0,0,0,0.000000
21,253,0.003944,1046500,0,0.000000,0,0,0,0,0.000000
22,249,0.004006,1029970,0,0.000000,0,0,0,0,0.000000
23,249,0.004023,1029979,0,0.000000,0,0,0,0,0.000000
24,258,0.003846,1067172,0,0.000000,0,0,0,0,0.000000
25,266,0.003784,1100293,0,0.000000,0,0,0,0,0.000000
26,261,0.003817,1079604,0,0.000000,0,0,0,0,0.000000
27,262,0.003811,1083713,0,0.000000,0,0,0,0,0.000000
28,263,0.003814,1087891,0,0.000000,0,0,0,0,0.000000
29,257,0.003887,1063062,0,0.000000,0,0,0,0,0.000000
30,258,0.003876,1067191,0,0.000000,0,0,0,0,0.000000
31,257,0.003887,1063065,0,0.000000,0,0,0,0,0.000000
32,253,0.003931,1046497,0,0.000000,0,0,0,0,0.000000
33,267,0.003758,1104415,0,0.000000,0,0,0,0,0.000000
34,257,0.003887,1063057,0,0.000000,0,0,0,0,0.000000
35,253,0.003934,1046510,0,0.000000,0,0,0,0,0.000000
36,263,0.003817,1087859,0,0.000000,0,0,0,0,0.000000
37,259,0.003859,1071329,0,0.000000,0,0,0,0,0.000000
38,251,0.003960,1038230,0,0.000000,0,0,0,0,0.000000
39,255,0.003932,1054777,0,0.000000,0,0,0,0,0.000000
40,257,0.003879,1063059,0,0.000000,0,0,0,0,0.000000
41,260,0.003836,1075455,0,0.000000,0,0,0,0,0.000000
42,261,0.003851,1079608,0,0.000000,0,0,0,0,0.000000
43,256,0.003905,1058920,0,0.000000,0,0,0,0,0.000000
44,259,0.003846,1071316,0,0.000000,0,0,0,0,0.000000
45,259,0.003867,1071313,0,0.000000,0,0,0,0,0.000000
46,251,0.003982,1038245,0,0.000000,0,0,0,0,0.000000
47,257,0.003878,1063047,0,0.000000,0,0,0,0,0.000000
48,249,0.004025,1029973,0,0.000000,0,0,0,0,0.000000
49,248,0.004020,1025808,0,0.000000,0,0,0,0,0.000000
50,256,0.003914,1058916,0,0.000000,0,0,0,0,0.000000
51,249,0.004001,1029970,0,0.000000,0,0,0,0,0.000000
52,254,0.003941,1050642,0,0.000000,0,0,0,0,0.000000
53,247,0.004024,1021678,0,0.000000,0,0,0,0,0.000000
54,253,0.003954,1046511,0,0.000000,0,0,0,0,0.000000
55,260,0.003854,1075445,0,0.000000,0,0,0,0,0.000000
56,264,0.003789,1091984,0,0.000000,0,0,0,0,0.000000
57,251,0.003976,1038231,0,0.000000,0,0,0,0,0.000000
58,258,0.003875,1067202,0,0.000000,0,0,0,0,0.000000
59,255,0.003893,1054792,0,0.000000,0,0,0,0,0.000000
60,256,0.003930,1058928,0,0.000000,0,0,0,0,0.000000
61,264,0.003771,1091994,0,0.000000,0,0,0,0,0.000000
62,263,0.003820,1087871,0,0.000000,0,0,0,0,0.000000
63,252,0.003956,1042396,0,0.000000,0,0,0,0,0.000000
64,255,0.003917,1054780,0,0.000000,0,0,0,0,0.000000
65,259,0.003859,1071317,0,0.000000,0,0,0,0,0.000000
66,245,0.004084,1013425,0,0.000000,0,0,0,0,0.000000
67,262,0.003795,1083727,0,0.000000,0,0,0,0,0.000000
68,255,0.003919,1054778,0,0.000000,0,0,0,0,0.000000
69,256,0.003916,1058915,0,0.000000,0,0,0,0,0.000000
70,271,0.003696,1120968,0,0.000000,0,0,0,0,0.000000
71,267,0.003737,1104416,0,0.000000,0,0,0,0,0.000000
72,241,0.004127,996871,0,0.000000,0,0,0,0,0.000000
73,256,0.003911,1058914,0,0.000000,0,0,0,0,0.000000
74,260,0.003852,1075470,0,0.000000,0,0,0,0,0.000000
75,257,0.003877,1063063,0,0.000000,0,0,0,0,0.000000
76,260,0.003861,1075458,0,0.000000,0,0,0,0,0.000000
77,253,0.003934,1046492,0,0.000000,0,0,0,0,0.000000
78,252,0.003970,1042348,0,0.000000,0,0,0,0,0.000000
79,258,0.003870,1067192,0,0.000000,0,0,0,0,0.000000
80,256,0.003897,1058908,0,0.000000,0,0,0,0,0.000000
81,255,0.003940,1054788,0,0.000000,0,0,0,0,0.000000
82,254,0.003932,1050638,0,0.000000,0,0,0,0,0.000000
83,250,0.003999,1034077,0,0.000000,0,0,0,0,0.000000
84,255,0.003881,1054780,0,0.000000,0,0,0,0,0.000000
85,256,0.003933,1058926,0,0.000000,0,0,0,0,0.000000
86,250,0.004001,1034092,0,0.000000,0,0,0,0,0.000000
87,245,0.004058,1013417,0,0.000000,0,0,0,0,0.000000
88,253,0.003963,1046498,0,0.000000,0,0,0,0,0.000000
89,254,0.003915,1050640,0,0.000000,0,0,0,0,0.000000
90,257,0.003907,1063044,0,0.000000,0,0,0,0,0.000000
91,253,0.003952,1046499,0,0.000000,0,0,0,0,0.000000
92,259,0.003838,1071328,0,0.000000,0,0,0,0,0.000000
93,265,0.003785,1096132,0,0.000000,0,0,0,0,0.000000
94,247,0.004052,1021691,0,0.000000,0,0,0,0,0.000000
95,253,0.003941,1046503,0,0.000000,0,0,0,0,0.000000
96,248,0.004040,1025836,0,0.000000,0,0,0,0,0.000000
97,249,0.004011,1029961,0,0.000000,0,0,0,0,0.000000
98,252,0.003961,1042372,0,0.000000,0,0,0,0,0.000000
99,267,0.003745,1104426,0,0.000000,0,0,0,0,0.000000
100,1,0.002117,4137,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent

Full-Test SET Latency
Latency (<= msec),Percent
   0.700,0.00
   0.720,0.01
   0.730,0.01
   0.760,0.02
   0.770,0.03
   0.790,0.04
   0.800,0.04
   0.810,0.05
   0.820,0.06
   0.830,0.07
   0.840,0.09
   0.850,0.10
   0.860,0.12
   0.870,0.14
   0.880,0.17
   0.890,0.19
   0.900,0.24
   0.910,0.29
   0.920,0.32
   0.930,0.39
   0.940,0.45
   0.950,0.54
   0.960,0.63
   0.970,0.72
   0.980,0.84
   0.990,0.98
   1.000,1.67
   1.100,3.44
   1.200,5.14
   1.300,7.08
   1.400,9.59
   1.500,12.71
   1.600,16.16
   1.700,19.63
   1.800,23.06
   1.900,26.44
   2.000,29.75
   2.100,32.87
   2.200,35.83
   2.300,38.95
   2.400,41.95
   2.500,45.03
   2.600,47.85
   2.700,50.46
   2.800,52.84
   2.900,55.31
   3.000,57.35
   3.100,59.15
   3.200,60.74
   3.300,62.04
   3.400,63.15
   3.500,64.13
   3.600,64.99
   3.700,65.65
   3.800,66.27
   3.900,66.75
   4.000,67.24
   4.100,67.61
   4.200,67.99
   4.300,68.31
   4.400,68.59
   4.500,68.77
   4.600,68.94
